+----------------------------------------------+----+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                                | ID | Effects                                                                                                                                                                                                                                                                                                                        |
| upgrade_aquatic:insomnia_strong              | 47 | MobEffectInstance:{MobEffect:[reg:upgrade_aquatic:insomnia,name:effect.upgrade_aquatic.insomnia,isBad:true,isBeneficial:false],amplifier:1,duration:0,isAmbient:false}                                                                                                                                                         |
| upgrade_aquatic:repellence                   | 50 | MobEffectInstance:{MobEffect:[reg:upgrade_aquatic:repellence,name:effect.upgrade_aquatic.repellence,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                 |
| upgrade_aquatic:repellence_long              | 52 | MobEffectInstance:{MobEffect:[reg:upgrade_aquatic:repellence,name:effect.upgrade_aquatic.repellence,isBad:false,isBeneficial:false],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                 |
| upgrade_aquatic:repellence_strong            | 51 | MobEffectInstance:{MobEffect:[reg:upgrade_aquatic:repellence,name:effect.upgrade_aquatic.repellence,isBad:false,isBeneficial:false],amplifier:1,duration:1800,isAmbient:false}                                                                                                                                                 |
| upgrade_aquatic:restfulness                  | 48 | MobEffectInstance:{MobEffect:[reg:upgrade_aquatic:restfulness,name:effect.upgrade_aquatic.restfulness,isBad:false,isBeneficial:true],amplifier:0,duration:0,isAmbient:false}                                                                                                                                                   |
| upgrade_aquatic:restfulness_strong           | 49 | MobEffectInstance:{MobEffect:[reg:upgrade_aquatic:restfulness,name:effect.upgrade_aquatic.restfulness,isBad:false,isBeneficial:true],amplifier:1,duration:0,isAmbient:false}                                                                                                                                                   |
| upgrade_aquatic:vibing                       | 53 | MobEffectInstance:{MobEffect:[reg:upgrade_aquatic:vibing,name:effect.upgrade_aquatic.vibing,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                         |
| upgrade_aquatic:vibing_long                  | 55 | MobEffectInstance:{MobEffect:[reg:upgrade_aquatic:vibing,name:effect.upgrade_aquatic.vibing,isBad:false,isBeneficial:false],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                         |
| upgrade_aquatic:vibing_strong                | 54 | MobEffectInstance:{MobEffect:[reg:upgrade_aquatic:vibing,name:effect.upgrade_aquatic.vibing,isBad:false,isBeneficial:false],amplifier:1,duration:1800,isAmbient:false}                                                                                                                                                         |
+----------------------------------------------+----+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                                | ID | Effects                                                                                                                                                                                                                                                                                                                        |
+----------------------------------------------+----+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
