+----------------------------------+---------------------------------------------------------+------------------------------+------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Mod name                         | Registry name                                           | Display name                 | Max Damage | Tags                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Desolation (Forge)               | desolation:ash_pile_thrown                              | Ash Pile Thrown              | 100        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Desolation (Forge)               | desolation:goggles_helmet                               | Goggles                      | 275        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Desolation (Forge)               | desolation:mask_and_goggles_helmet                      | Mask                         | 275        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Desolation (Forge)               | desolation:mask_helmet                                  | Mask                         | 275        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Farmer's Delight                 | farmersdelight:diamond_knife                            | Diamond Knife                | 1561       | farmersdelight:straw_harvesters, farmersdelight:tools/knives, forge:tools, forge:tools/knives                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| Farmer's Delight                 | farmersdelight:flint_knife                              | Flint Knife                  | 131        | farmersdelight:straw_harvesters, farmersdelight:tools/knives, forge:tools, forge:tools/knives                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| Farmer's Delight                 | farmersdelight:golden_knife                             | Golden Knife                 | 32         | farmersdelight:tools/knives, forge:tools/knives, minecraft:piglin_loved, farmersdelight:straw_harvesters, forge:tools                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| Farmer's Delight                 | farmersdelight:iron_knife                               | Iron Knife                   | 250        | farmersdelight:straw_harvesters, farmersdelight:tools/knives, forge:tools, forge:tools/knives                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| Farmer's Delight                 | farmersdelight:netherite_knife                          | Netherite Knife              | 2031       | farmersdelight:straw_harvesters, farmersdelight:tools/knives, forge:tools, forge:tools/knives                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| Farmer's Delight                 | farmersdelight:skillet                                  | Skillet                      | 250        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Kaisa's Endless Adventure's core | kaisascore:bronze_pickaxe                               | Bronze Pickaxe               | 256        | forge:tools/bronze                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Kaisa's Endless Adventure's core | kaisascore:constantan_pickaxe                           | Constantan Pickaxe           | 512        | forge:tools/constantan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Kaisa's Endless Adventure's core | kaisascore:copper_pickaxe                               | Copper Pickaxe               | 128        | forge:tools/copper                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Kaisa's Endless Adventure's core | kaisascore:diamond_pickaxe                              | Diamond Pickaxe              | 1536       | forge:tools/diamond                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Kaisa's Endless Adventure's core | kaisascore:electrum_pickaxe                             | Electrum Pickaxe             | 1024       | forge:tools/electrum                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Kaisa's Endless Adventure's core | kaisascore:flint_axe                                    | Flint Axe                    | 64         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Kaisa's Endless Adventure's core | kaisascore:flint_pick                                   | Flint Pick                   | 64         | forge:tools/flint                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Kaisa's Endless Adventure's core | kaisascore:golden_pickaxe                               | Golden Pickaxe               | 64         | forge:tools/gold                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| Kaisa's Endless Adventure's core | kaisascore:invar_pickaxe                                | Invar Pickaxe                | 768        | forge:tools/invar                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Kaisa's Endless Adventure's core | kaisascore:iron_pickaxe                                 | Iron Pickaxe                 | 256        | forge:tools/iron                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| Kaisa's Endless Adventure's core | kaisascore:lead_pickaxe                                 | Lead Pickaxe                 | 256        | forge:tools/lead                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| Kaisa's Endless Adventure's core | kaisascore:nickel_pickaxe                               | Nickel Pickaxe               | 384        | forge:tools/nickel                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
