"Mod name","Registry name","Display name","Plant Type","Tags"
"Biomes O' Plenty","biomesoplenty:huge_clover_petal","Huge Clover Petal","plains",""
"Biomes O' Plenty","biomesoplenty:icy_iris","Icy Iris","plains","supplementaries:flower_box_plantable, minecraft:tall_flowers, minecraft:flowers"
"Biomes O' Plenty","biomesoplenty:jacaranda_sapling","Jacaranda Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:lavender","Lavender","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Biomes O' Plenty","biomesoplenty:magic_sapling","Magic Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:mahogany_sapling","Mahogany Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:maple_sapling","Maple Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:orange_autumn_sapling","Orange Autumn Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:orange_cosmos","Orange Cosmos","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Biomes O' Plenty","biomesoplenty:origin_sapling","Origin Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:palm_sapling","Palm Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:pink_cherry_sapling","Pink Cherry Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:pink_daffodil","Pink Daffodil","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Biomes O' Plenty","biomesoplenty:pink_hibiscus","Pink Hibiscus","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Biomes O' Plenty","biomesoplenty:rainbow_birch_sapling","Rainbow Birch Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:redwood_sapling","Redwood Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:reed","Reed","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:rose","Rose","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Biomes O' Plenty","biomesoplenty:sea_oats","Sea Oats","desert",""
"Biomes O' Plenty","biomesoplenty:sprout","Sprout","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:tall_lavender","Tall Lavender","plains","supplementaries:flower_box_plantable, minecraft:tall_flowers, minecraft:flowers"
"Biomes O' Plenty","biomesoplenty:toadstool","Toadstool","plains","quark:seed_pouch_holdable, sereneseasons:autumn_crops, sereneseasons:winter_crops, forge:mushrooms, supplementaries:flower_box_plantable, sereneseasons:summer_crops, sereneseasons:spring_crops, farmersdelight:cabbage_roll_ingredients"
"Biomes O' Plenty","biomesoplenty:umbran_sapling","Umbran Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:violet","Violet","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Biomes O' Plenty","biomesoplenty:watergrass","Watergrass","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:white_cherry_sapling","White Cherry Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:wildflower","Wildflower","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Biomes O' Plenty","biomesoplenty:willow_sapling","Willow Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:wilted_lily","Wilted Lily","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Biomes O' Plenty","biomesoplenty:yellow_autumn_sapling","Yellow Autumn Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Born in Chaos","born_in_chaos_v1:marigolds","Marigolds","plains",""
"Born in Chaos","born_in_chaos_v1:river_mint","River Mint","plains",""
"Corn Delight","corn_delight:corn_seeds","Corn Kernel","crop","sereneseasons:autumn_crops, tconstruct:seeds, forge:seeds/corn, quark:seed_pouch_holdable, sereneseasons:summer_crops, forge:seeds"
"Corn Delight","corn_delight:wild_corn","Wild Corn","plains","farmersdelight:wild_crops"
"Creeper Overhaul","creeperoverhaul:tiny_cactus","Tiny Cactus","plains",""
"Cultural Delights","culturaldelights:avocado_pit","Avocado Pit","plains","quark:seed_pouch_holdable, forge:seeds, tconstruct:seeds"
"Cultural Delights","culturaldelights:avocado_sapling","Avocado Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Cultural Delights","culturaldelights:corn_kernels","Corn Kernels","plains","quark:seed_pouch_holdable, forge:seeds, tconstruct:seeds"
"Cultural Delights","culturaldelights:cucumber_seeds","Cucumber Seeds","crop","quark:seed_pouch_holdable, forge:seeds, tconstruct:seeds"
"Cultural Delights","culturaldelights:eggplant_seeds","Eggplant Seeds","crop","quark:seed_pouch_holdable, forge:seeds, tconstruct:seeds"
"Cultural Delights","culturaldelights:wild_corn","Wild Corn","plains",""
"Cultural Delights","culturaldelights:wild_cucumbers","Wild Cucumbers","plains",""
"Cultural Delights","culturaldelights:wild_eggplants","Wild Eggplants","plains",""
"Desolation (Forge)","desolation:cinder_fruit_plant","Cinder Fruit Plant","plains","supplementaries:flower_box_plantable"
"Desolation (Forge)","desolation:growing_cinder_fruit_plant","Cinder Fruit Plant","plains","supplementaries:flower_box_plantable"
"Desolation (Forge)","desolation:scorched_tuft","Scorched Tuft","plains","supplementaries:flower_box_plantable"
"Desolation (Forge)","desolation:scorched_tuft_glowing","Glowing Scorched Tuft","plains","supplementaries:flower_box_plantable"
"Desolation (Forge)","desolation:scorched_tuft_medium","Scorched Tuft","plains","supplementaries:flower_box_plantable"
"Desolation (Forge)","desolation:scorched_tuft_small","Scorched Tuft","plains","supplementaries:flower_box_plantable"
"Farmer's Delight","farmersdelight:brown_mushroom_colony","Brown Mushroom Colony","plains","createaddition:plants, supplementaries:flower_box_plantable"
"Farmer's Delight","farmersdelight:cabbage_seeds","Cabbage Seeds","crop","sereneseasons:autumn_crops, tconstruct:seeds, quark:seed_pouch_holdable, forge:seeds/cabbage, sereneseasons:winter_crops, forge:seeds"
"Farmer's Delight","farmersdelight:onion","Onion","crop","forge:crops/onion, sereneseasons:autumn_crops, forge:vegetables/onion, tconstruct:seeds, sereneseasons:spring_crops, forge:crops, forge:vegetables, enhancedcelestials:harvest_moon_crops"
"Farmer's Delight","farmersdelight:red_mushroom_colony","Red Mushroom Colony","plains","createaddition:plants, supplementaries:flower_box_plantable"
"Farmer's Delight","farmersdelight:rice","Rice","plains","forge:grain, tconstruct:seeds, forge:crops/rice, forge:seeds, quark:seed_pouch_holdable, forge:crops, forge:grain/rice, enhancedcelestials:harvest_moon_crops, sereneseasons:autumn_crops, sereneseasons:summer_crops, forge:seeds/rice"
"Farmer's Delight","farmersdelight:sandy_shrub","Sandy Shrub","plains","createaddition:plants"
"Farmer's Delight","farmersdelight:tomato_seeds","Tomato Seeds","crop","tconstruct:seeds, forge:seeds/tomato, sereneseasons:summer_crops, forge:seeds, quark:seed_pouch_holdable"
"Farmer's Delight","farmersdelight:wild_beetroots","Sea Beet","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers, farmersdelight:wild_crops"
"Farmer's Delight","farmersdelight:wild_cabbages","Wild Cabbage","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers, farmersdelight:wild_crops"
"Farmer's Delight","farmersdelight:wild_carrots","Wild Carrot","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers, farmersdelight:wild_crops"
"Farmer's Delight","farmersdelight:wild_onions","Wild Onion","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers, farmersdelight:wild_crops"
"Farmer's Delight","farmersdelight:wild_potatoes","Wild Potato","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers, farmersdelight:wild_crops"
"Farmer's Delight","farmersdelight:wild_rice","Wild Rice","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:tall_flowers, farmersdelight:wild_crops"
"Farmer's Delight","farmersdelight:wild_tomatoes","Tomato Shrub","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers, farmersdelight:wild_crops"
"Minecraft","minecraft:acacia_sapling","Acacia Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Minecraft","minecraft:allium","Allium","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Minecraft","minecraft:azalea","Azalea","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Minecraft","minecraft:azure_bluet","Azure Bluet","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Minecraft","minecraft:bamboo","Bamboo","plains","quark:seed_pouch_holdable, supplementaries:flower_box_plantable"
"Minecraft","minecraft:beetroot_seeds","Beetroot Seeds","crop","forge:seeds/beetroot, quark:parrot_feed, forge:seeds, tconstruct:seeds, quark:seed_pouch_holdable"
"Minecraft","minecraft:birch_sapling","Birch Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Minecraft","minecraft:blue_orchid","Blue Orchid","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Minecraft","minecraft:brown_mushroom","Brown Mushroom","cave","autumnity:snail_tempt_items, autumnity:snail_snacks, farmersdelight:cabbage_roll_ingredients, forge:mushrooms, quark:seed_pouch_holdable, supplementaries:flower_box_plantable"
"Minecraft","minecraft:cactus","Cactus","desert","supplementaries:flower_box_plantable"
"Minecraft","minecraft:carrot","Carrot","crop","forge:crops/carrot, quark:seed_pouch_holdable, tconstruct:seeds, forge:vegetables/carrot, forge:crops, forge:vegetables, enhancedcelestials:harvest_moon_crops, farmersdelight:cabbage_roll_ingredients"
"Minecraft","minecraft:cornflower","Cornflower","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Minecraft","minecraft:crimson_fungus","Crimson Fungus","plains","autumnity:snail_snacks, supplementaries:flower_box_plantable, autumnity:snail_speed_snacks, autumnity:snail_tempt_items, quark:seed_pouch_holdable"
"Minecraft","minecraft:crimson_roots","Crimson Roots","plains","supplementaries:flower_box_plantable"
"Minecraft","minecraft:dandelion","Dandelion","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Minecraft","minecraft:dark_oak_sapling","Dark Oak Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Minecraft","minecraft:dead_bush","Dead Bush","desert","supplementaries:flower_box_plantable"
"Minecraft","minecraft:fern","Fern","plains","supplementaries:flower_box_plantable"
"Minecraft","minecraft:flowering_azalea","Flowering Azalea","plains","supplementaries:flower_box_plantable, minecraft:saplings, quark:seed_pouch_holdable, minecraft:flowers"
"Minecraft","minecraft:grass","Grass","plains",""
"Minecraft","minecraft:jungle_sapling","Jungle Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Minecraft","minecraft:large_fern","Large Fern","plains",""
"Minecraft","minecraft:lilac","Lilac","plains","supplementaries:flower_box_plantable, minecraft:tall_flowers, minecraft:flowers"
"Minecraft","minecraft:lily_of_the_valley","Lily of the Valley","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Minecraft","minecraft:lily_pad","Lily Pad","water",""
"Minecraft","minecraft:mangrove_propagule","Mangrove Propagule","plains","supplementaries:flower_box_plantable, minecraft:saplings, quark:seed_pouch_holdable, minecraft:flowers"
"Minecraft","minecraft:melon","Melon","plains",""
"Minecraft","minecraft:melon_seeds","Melon Seeds","crop","tconstruct:seeds, forge:seeds/melon, quark:seed_pouch_holdable, forge:seeds"
"Minecraft","minecraft:nether_sprouts","Nether Sprouts","plains",""
"Minecraft","minecraft:nether_wart","Nether Wart","nether","forge:crops/nether_wart, tconstruct:seeds, enhancedcelestials:harvest_moon_crops, forge:crops, quark:seed_pouch_holdable"
"Minecraft","minecraft:oak_sapling","Oak Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Minecraft","minecraft:orange_tulip","Orange Tulip","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Minecraft","minecraft:oxeye_daisy","Oxeye Daisy","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Minecraft","minecraft:peony","Peony","plains","supplementaries:flower_box_plantable, minecraft:tall_flowers, minecraft:flowers"
"Minecraft","minecraft:pink_tulip","Pink Tulip","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Minecraft","minecraft:poppy","Poppy","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Minecraft","minecraft:potato","Potato","crop","quark:seed_pouch_holdable, tconstruct:seeds, forge:vegetables/potato, forge:crops, forge:crops/potato, forge:vegetables, enhancedcelestials:harvest_moon_crops, farmersdelight:cabbage_roll_ingredients"
"Minecraft","minecraft:pumpkin","Pumpkin","plains","forge:pumpkins"
"Minecraft","minecraft:pumpkin_seeds","Pumpkin Seeds","crop","tconstruct:seeds, quark:seed_pouch_holdable, forge:seeds/pumpkin, forge:seeds"
"Minecraft","minecraft:red_mushroom","Red Mushroom","cave","autumnity:snail_tempt_items, autumnity:snail_snacks, farmersdelight:cabbage_roll_ingredients, forge:mushrooms, quark:seed_pouch_holdable, supplementaries:flower_box_plantable"
"Minecraft","minecraft:red_tulip","Red Tulip","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Minecraft","minecraft:rose_bush","Rose Bush","plains","supplementaries:flower_box_plantable, minecraft:tall_flowers, minecraft:flowers"
"Minecraft","minecraft:sea_pickle","Sea Pickle","plains",""
"Minecraft","minecraft:seagrass","Seagrass","plains",""
"Minecraft","minecraft:small_dripleaf","Small Dripleaf","plains",""
"Minecraft","minecraft:spruce_sapling","Spruce Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Minecraft","minecraft:sugar_cane","Sugar Cane","beach","quark:seed_pouch_holdable"
"Minecraft","minecraft:sunflower","Sunflower","plains","supplementaries:flower_box_plantable, minecraft:tall_flowers, minecraft:flowers"
"Minecraft","minecraft:sweet_berries","Sweet Berries","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, forge:berries, minecraft:fox_food"
"Minecraft","minecraft:tall_grass","Tall Grass","plains",""
"Minecraft","minecraft:warped_fungus","Warped Fungus","plains","autumnity:snail_snacks, supplementaries:flower_box_plantable, autumnity:snail_speed_snacks, autumnity:snail_tempt_items, quark:seed_pouch_holdable"
"Minecraft","minecraft:warped_roots","Warped Roots","plains","supplementaries:flower_box_plantable"
"Minecraft","minecraft:wheat_seeds","Wheat Seeds","crop","tconstruct:seeds, quark:seed_pouch_holdable, forge:seeds, forge:seeds/wheat"
"Minecraft","minecraft:white_tulip","White Tulip","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Minecraft","minecraft:wither_rose","Wither Rose","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Quark","quark:ancient_sapling","Ancient Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Quark","quark:blue_blossom_sapling","Frosty Blossom Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Quark","quark:glow_lichen_growth","Glow Lichen Growth","plains",""
"Quark","quark:glow_shroom","Glow Shroom","plains","quark:glow_shroom_feedables, autumnity:snail_snacks, supplementaries:flower_box_plantable, autumnity:snail_tempt_items, autumnity:snail_glow_snacks"
"Quark","quark:lavender_blossom_sapling","Serene Blossom Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Quark","quark:orange_blossom_sapling","Warm Blossom Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Quark","quark:pink_blossom_sapling","Sweet Blossom Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Quark","quark:red_blossom_sapling","Fiery Blossom Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Quark","quark:yellow_blossom_sapling","Sunny Blossom Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Supplementaries","supplementaries:flax_seeds","Flax Seeds","crop","supplementaries:flower_box_plantable, forge:seeds/flax, sereneseasons:spring_crops, tconstruct:seeds, quark:seed_pouch_holdable, forge:seeds"
"Supplementaries","supplementaries:wild_flax","Wild Flax","plains","supplementaries:flower_box_plantable, minecraft:flowers"
"Thermal Series","thermal:rubberwood_sapling","Rubberwood Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Tinkers' Construct","tconstruct:blood_slime_fern","Bloody Roots","slime",""
"Tinkers' Construct","tconstruct:blood_slime_sapling","Bloodshroom","plains",""
"Tinkers' Construct","tconstruct:blood_slime_tall_grass","Tall Bloody Grass","slime",""
"Tinkers' Construct","tconstruct:earth_slime_fern","Slimy Fern","slime",""
"Tinkers' Construct","tconstruct:earth_slime_sapling","Greenheart Sapling","slime","supplementaries:flower_box_plantable, minecraft:saplings, quark:seed_pouch_holdable, tconstruct:slimy_saplings"
"Tinkers' Construct","tconstruct:earth_slime_tall_grass","Tall Slimy Grass","slime",""
"Tinkers' Construct","tconstruct:ender_slime_fern","Slimy Fern","slime",""
"Tinkers' Construct","tconstruct:ender_slime_sapling","Enderbark Propagule","slime","supplementaries:flower_box_plantable, minecraft:saplings, quark:seed_pouch_holdable, tconstruct:slimy_saplings"
"Tinkers' Construct","tconstruct:ender_slime_tall_grass","Tall Slimy Grass","slime",""
"Tinkers' Construct","tconstruct:ichor_slime_fern","Slimy Roots","slime",""
"Tinkers' Construct","tconstruct:ichor_slime_sapling","Ichor Sapling","plains",""
"Tinkers' Construct","tconstruct:ichor_slime_tall_grass","Tall Slimy Grass","slime",""
"Tinkers' Construct","tconstruct:sky_slime_fern","Slimy Fern","slime",""
"Tinkers' Construct","tconstruct:sky_slime_sapling","Skyroot Sapling","slime","supplementaries:flower_box_plantable, minecraft:saplings, quark:seed_pouch_holdable, tconstruct:slimy_saplings"
"Tinkers' Construct","tconstruct:sky_slime_tall_grass","Tall Slimy Grass","slime",""
"Upgrade Aquatic","upgrade_aquatic:beachgrass","Beachgrass","plains","supplementaries:flower_box_plantable"
"Upgrade Aquatic","upgrade_aquatic:flowering_rush","Flowering Rush","plains","supplementaries:flower_box_plantable, minecraft:tall_flowers, minecraft:flowers"
"Upgrade Aquatic","upgrade_aquatic:pink_searocket","Pink Searocket","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Upgrade Aquatic","upgrade_aquatic:river_sapling","River Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Upgrade Aquatic","upgrade_aquatic:tall_beachgrass","Tall Beachgrass","plains","supplementaries:flower_box_plantable"
"Upgrade Aquatic","upgrade_aquatic:white_searocket","White Searocket","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
