"Registry name","Display name","Hunger","Saturation","Is meat","Fast to eat","Tags","Effects"
"alexsmobs:raw_catfish","Raw Catfish",2,0.3,"true","false","alexsmobs:seal_foodstuffs, alexsmobs:platypus_foodstuffs, quark:crab_tempt_items, minecraft:fishes, alexsmobs:shoebill_foodstuffs",""
"alexsmobs:shrimp_fried_rice","Shrimp-Fried Rice",12,1.0,"false","false","",""
"alexsmobs:sopa_de_macaco","Sopa De Macaco",5,0.4,"true","false","",""
"autumnity:cooked_turkey_piece","Cooked Turkey Piece",2,0.6,"true","true","forge:cooked_turkey",""
"autumnity:foul_berries","Foul Berries",1,0.1,"false","false","supplementaries:flower_box_plantable, minecraft:fox_food, autumnity:turkey_food","{[effect.autumnity.foul_taste, Duration: 320], Probability: 1.0}"
"autumnity:foul_soup","Foul Soup",2,0.6,"false","false","","{[effect.autumnity.foul_taste x 2, Duration: 2400], Probability: 1.0}"
"autumnity:pumpkin_bread","Pumpkin Bread",8,0.4,"false","false","",""
"autumnity:syrup_bottle","Syrup Bottle",4,0.3,"false","false","supplementaries:pancake_syrup",""
"autumnity:turkey_piece","Raw Turkey Piece",1,0.3,"true","true","forge:raw_turkey","{[effect.minecraft.hunger, Duration: 600], Probability: 0.1}"
"born_in_chaos_v1:bottle_of_magical_energy","Bottle of Magical Energy",0,0.0,"false","false","",""
"born_in_chaos_v1:corpse_maggot","Corpse Maggot",1,1.0,"false","false","",""
"born_in_chaos_v1:fried_maggot","Fried Maggot",2,0.7,"false","false","",""
"born_in_chaos_v1:holiday_candy","Holiday Candy",2,2.0,"false","false","",""
"born_in_chaos_v1:intoxicating_decoction","Intoxicating Decoction",0,0.0,"false","false","",""
"born_in_chaos_v1:magical_holiday_candy","Magical Holiday Candy",2,5.0,"false","false","",""
"born_in_chaos_v1:mint_candy","Mint Candy",1,2.0,"false","false","",""
"born_in_chaos_v1:mint_ice_cream","Mint Ice Cream",3,1.0,"false","false","",""
"born_in_chaos_v1:monster_flesh","Monster Flesh",6,0.1,"true","false","",""
"born_in_chaos_v1:potion_of_rampage","Potion of Rampage",0,0.0,"false","false","",""
"born_in_chaos_v1:rotten_fish","Rotten Fish",3,0.3,"false","false","",""
"born_in_chaos_v1:sea_terror_eye","Glutton Fish Eye",1,0.5,"false","false","",""
"born_in_chaos_v1:smoked_fish","Smoked Fish",3,1.0,"false","false","",""
"born_in_chaos_v1:smoked_flesh","Smoked Flesh",4,0.3,"true","false","",""
"born_in_chaos_v1:smoked_monster_flesh","Smoked Monster Flesh",6,0.5,"true","false","",""
"corn_delight:boiled_corn","Boiled Corn",6,0.2,"false","false","",""
"corn_delight:caramel_popcorn","Caramel Popcorn",5,0.6,"false","false","",""
"corn_delight:classic_corn_dog","Classic Corn Dog",10,0.9,"false","false","",""
"corn_delight:corn","Maize",2,0.2,"false","false","sereneseasons:summer_crops, forge:vegetables/corn, forge:crops/corn, forge:crops, forge:vegetables, enhancedcelestials:harvest_moon_crops, sereneseasons:autumn_crops, forge:grain/corn",""
"corn_delight:corn_dog","Corn Dog",8,0.9,"false","false","",""
"corn_delight:corn_seeds","Corn Kernel",1,0.2,"false","false","sereneseasons:summer_crops, tconstruct:seeds, forge:seeds/corn, alexsmobs:crow_foodstuffs, forge:seeds, alexsmobs:blue_jay_foodstuffs, sereneseasons:autumn_crops, quark:seed_pouch_holdable",""
"corn_delight:corn_soup","Corn Soup",10,0.9,"false","false","","{[effect.farmersdelight.comfort, Duration: 3600], Probability: 1.0}"
"corn_delight:cornbread","Cornbread",4,0.5,"false","false","forge:bread, forge:bread/corn",""
"corn_delight:cornbread_batter","Cornbread Batter",1,0.2,"false","false","",""
"corn_delight:cornbread_stuffing","Cornbread Stuffing",12,1.0,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"corn_delight:creamed_corn","Creamed Corn",7,0.5,"false","false","","{[effect.farmersdelight.comfort, Duration: 3600], Probability: 1.0}"
"corn_delight:creamy_corn_drink","Creamy Corn Drink",2,0.6,"false","false","","{[effect.farmersdelight.comfort, Duration: 1200], Probability: 1.0}, {[effect.minecraft.regeneration, Duration: 1200], Probability: 1.0}"
"corn_delight:grilled_corn","Grilled Corn",6,0.2,"false","false","",""
"corn_delight:nachos_bowl","Nachos",12,1.0,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"corn_delight:popcorn","Popcorn",3,0.5,"false","false","forge:popcorn",""
"corn_delight:taco","Taco",12,0.8,"false","false","","{[effect.minecraft.strength, Duration: 600], Probability: 1.0}"
"corn_delight:tortilla","Tortilla",3,0.4,"false","false","forge:tortilla",""
"corn_delight:tortilla_chip","Tortilla Chip",1,0.1,"false","false","",""
"corn_delight:tortilla_raw","Raw Tortilla",1,0.2,"false","false","",""
"culturaldelights:avocado","Avocado",4,0.6,"false","false","forge:crops, culturaldelights:avocados, enhancedcelestials:harvest_moon_crops",""
"culturaldelights:avocado_toast","Avocado Toast",4,0.5,"false","false","",""
"culturaldelights:beef_burrito","Beef Burrito",14,0.7,"false","false","",""
"culturaldelights:calamari_roll","Calamari Roll",7,0.6,"false","true","",""
"culturaldelights:chicken_roll","Chicken Roll",16,0.8,"false","false","",""
"culturaldelights:chicken_roll_slice","Chicken Roll Slice",8,0.6,"false","true","",""
"culturaldelights:chicken_taco","Chicken Taco",10,0.8,"false","false","",""
"culturaldelights:cooked_calamari","Cooked Calamari",3,0.5,"false","false","",""
"culturaldelights:cooked_squid","Cooked Squid",6,0.8,"false","false","",""
"culturaldelights:corn_cob","Corn Cob",2,0.4,"false","false","forge:crops, enhancedcelestials:harvest_moon_crops, forge:crops/corn",""
"culturaldelights:corn_dough","Corn Dough",1,0.1,"false","false","",""
"culturaldelights:creamed_corn","Creamed Corn",6,0.8,"false","false","",""
"culturaldelights:cucumber","Cucumber",2,0.5,"false","false","culturaldelights:cucumbers, forge:crops, enhancedcelestials:harvest_moon_crops",""
"culturaldelights:cut_avocado","Cut Avocado",2,0.3,"false","true","forge:crops, culturaldelights:avocados, enhancedcelestials:harvest_moon_crops",""
"culturaldelights:cut_cucumber","Cut Cucumber",1,0.3,"false","true","culturaldelights:cucumbers, forge:crops, enhancedcelestials:harvest_moon_crops",""
"culturaldelights:cut_eggplant","Cut Eggplant",1,0.1,"false","true","culturaldelights:all_eggplants, forge:crops, culturaldelights:regular_eggplants, enhancedcelestials:harvest_moon_crops",""
"culturaldelights:cut_pickle","Cut pickle",2,0.5,"false","true","",""
"culturaldelights:egg_roll","Egg Roll",5,0.5,"false","true","",""
"culturaldelights:eggplant","Eggplant",3,0.2,"false","false","culturaldelights:all_eggplants, forge:crops, culturaldelights:regular_eggplants, enhancedcelestials:harvest_moon_crops",""
"culturaldelights:eggplant_burger","Eggplant Burger",12,0.7,"false","false","",""
"culturaldelights:elote","Elote",7,0.7,"false","false","",""
"culturaldelights:empanada","Empanada",6,0.6,"false","false","",""
"culturaldelights:fish_taco","Fish Taco",10,0.8,"false","false","",""
"culturaldelights:fried_eggplant_pasta","Fried Eggplant Pasta",12,0.9,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"culturaldelights:glow_squid","Glow Squid",2,0.2,"false","true","","{[effect.minecraft.glowing x 2, Duration: 40], Probability: 1.0}"
"culturaldelights:hearty_salad","Hearty Salad",7,0.7,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"culturaldelights:midori_roll","Midori Roll",14,0.7,"false","false","",""
"culturaldelights:midori_roll_slice","Midori Roll Slice",7,0.4,"false","true","",""
"culturaldelights:mutton_sandwich","Mutton Sandwich",10,0.8,"false","false","",""
"culturaldelights:pickle","Pickle",4,0.7,"false","false","",""
"culturaldelights:popcorn","Popcorn",1,0.2,"false","true","forge:popcorn",""
"culturaldelights:pork_wrap","Pork Wrap",10,0.8,"false","false","",""
"culturaldelights:pufferfish_roll","Pufferfish Roll",7,0.6,"false","true","","{[effect.minecraft.nausea, Duration: 200], Probability: 1.0}, {[effect.minecraft.hunger x 2, Duration: 200], Probability: 1.0}"
"culturaldelights:raw_calamari","Raw Calamari",1,0.2,"false","false","",""
"culturaldelights:rice_ball","Rice Ball",3,0.5,"false","true","",""
"culturaldelights:smoked_cut_eggplant","Smoked Cut Eggplant",4,0.4,"false","true","culturaldelights:smoked_regular_eggplants",""
"culturaldelights:smoked_eggplant","Smoked Eggplant",8,0.6,"false","false","culturaldelights:smoked_regular_eggplants",""
"culturaldelights:smoked_tomato","Smoked Tomato",4,0.6,"false","false","",""
"culturaldelights:smoked_white_eggplant","Smoked White Eggplant",3,0.5,"false","false","",""
"culturaldelights:spicy_curry","Spicy Curry",12,1.3,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"culturaldelights:squid","Squid",2,0.2,"false","false","",""
"culturaldelights:tortilla","Tortilla",4,0.6,"false","false","forge:tortilla",""
"culturaldelights:tortilla_chips","Tortilla Chips",2,0.3,"false","true","",""
"culturaldelights:tropical_roll","Tropical Roll",7,0.6,"false","true","",""
"culturaldelights:white_eggplant","White Eggplant",1,0.1,"false","false","forge:crops, enhancedcelestials:harvest_moon_crops, culturaldelights:all_eggplants",""
"desolation:cinder_fruit","Cinder Fruit",4,0.3,"false","false","",""
"desolation:powered_cinder_fruit","Powered Cinder Fruit",4,0.3,"false","false","",""
"domesticationinnovation:rotten_apple","Rotten Apple",3,0.3,"false","false","","{[effect.minecraft.poison x 2, Duration: 100], Probability: 1.0}"
"domesticationinnovation:sinister_carrot","Sinister Carrot",1,0.3,"false","false","","{[effect.minecraft.wither, Duration: 100], Probability: 1.0}"
"endlessbiomes:anklor_flesh","Anklor Flesh",6,8.0,"true","false","",""
"endlessbiomes:bottle_of_void","Bottle of Void",0,0.0,"false","false","",""
"endlessbiomes:endurian","Endurian",2,0.4,"false","false","",""
"endlessbiomes:marula_slice","Marula Slice",5,2.0,"false","false","",""
"farmersdelight:apple_cider","Apple Cider",0,0.0,"false","false","create:upright_on_belt","{[effect.minecraft.absorption, Duration: 1200], Probability: 1.0}"
"farmersdelight:apple_pie_slice","Slice of Apple Pie",3,0.3,"false","true","","{[effect.minecraft.speed, Duration: 600, Particles: false, Show Icon: false], Probability: 1.0}"
"farmersdelight:bacon","Raw Bacon",2,0.3,"true","true","forge:raw_pork, forge:raw_bacon, farmersdelight:cabbage_roll_ingredients",""
"farmersdelight:bacon_and_eggs","Bacon and Eggs",10,0.6,"false","false","origins:meat","{[effect.farmersdelight.nourishment, Duration: 1200], Probability: 1.0}"
"farmersdelight:bacon_sandwich","Bacon Sandwich",10,0.8,"false","false","",""
"farmersdelight:baked_cod_stew","Baked Cod Stew",14,0.75,"false","false","","{[effect.farmersdelight.comfort, Duration: 6000], Probability: 1.0}"
"farmersdelight:barbecue_stick","Barbecue on a Stick",8,0.9,"false","false","",""
"farmersdelight:beef_patty","Beef Patty",4,0.8,"true","true","forge:cooked_beef",""
"farmersdelight:beef_stew","Beef Stew",12,0.8,"false","false","","{[effect.farmersdelight.comfort, Duration: 3600], Probability: 1.0}"
"farmersdelight:bone_broth","Bone Broth",8,0.7,"false","false","","{[effect.farmersdelight.comfort, Duration: 1200], Probability: 1.0}"
"farmersdelight:cabbage","Cabbage",2,0.4,"false","false","forge:crops/cabbage, forge:salad_ingredients/cabbage, forge:crops, forge:salad_ingredients, enhancedcelestials:harvest_moon_crops",""
"farmersdelight:cabbage_leaf","Cabbage Leaf",1,0.4,"false","true","forge:crops/cabbage, forge:salad_ingredients/cabbage, forge:crops, forge:salad_ingredients, enhancedcelestials:harvest_moon_crops",""
"farmersdelight:cabbage_rolls","Cabbage Rolls",5,0.5,"false","false","",""
"farmersdelight:cake_slice","Slice of Cake",2,0.1,"false","true","","{[effect.minecraft.speed, Duration: 400, Particles: false, Show Icon: false], Probability: 1.0}"
"farmersdelight:chicken_cuts","Raw Chicken Cuts",1,0.3,"true","true","farmersdelight:wolf_prey, forge:raw_chicken, farmersdelight:cabbage_roll_ingredients","{[effect.minecraft.hunger, Duration: 600], Probability: 0.3}"
"farmersdelight:chicken_sandwich","Chicken Sandwich",10,0.8,"false","false","",""
"farmersdelight:chicken_soup","Chicken Soup",14,0.75,"false","false","","{[effect.farmersdelight.comfort, Duration: 6000], Probability: 1.0}"
"farmersdelight:chocolate_pie_slice","Slice of Chocolate Pie",3,0.3,"false","true","","{[effect.minecraft.speed, Duration: 600, Particles: false, Show Icon: false], Probability: 1.0}"
"farmersdelight:cod_roll","Cod Roll",7,0.6,"false","false","",""
"farmersdelight:cod_slice","Raw Cod Slice",1,0.1,"false","true","farmersdelight:cabbage_roll_ingredients, forge:raw_fishes, forge:raw_fishes/cod, origins:meat",""
"farmersdelight:cooked_bacon","Cooked Bacon",4,0.8,"true","true","forge:cooked_pork, forge:cooked_bacon",""
"farmersdelight:cooked_chicken_cuts","Cooked Chicken Cuts",3,0.6,"true","true","forge:cooked_chicken",""
"farmersdelight:cooked_cod_slice","Cooked Cod Slice",3,0.5,"false","true","origins:meat, forge:cooked_fishes, forge:cooked_fishes/cod",""
"farmersdelight:cooked_mutton_chops","Cooked Mutton Chops",3,0.8,"true","true","forge:cooked_mutton",""
"farmersdelight:cooked_rice","Cooked Rice",6,0.4,"false","false","","{[effect.farmersdelight.comfort, Duration: 600], Probability: 1.0}"
"farmersdelight:cooked_salmon_slice","Cooked Salmon Slice",3,0.8,"false","true","forge:cooked_fishes, origins:meat, forge:cooked_fishes/salmon",""
"farmersdelight:dog_food","Dog Food",4,0.2,"true","false","",""
"farmersdelight:dumplings","Dumplings",8,0.8,"false","false","",""
"farmersdelight:egg_sandwich","Egg Sandwich",8,0.8,"false","false","",""
"farmersdelight:fish_stew","Fish Stew",12,0.8,"false","false","","{[effect.farmersdelight.comfort, Duration: 3600], Probability: 1.0}"
"farmersdelight:fried_egg","Fried Egg",4,0.4,"false","false","forge:cooked_eggs, origins:meat",""
"farmersdelight:fried_rice","Fried Rice",14,0.75,"false","false","","{[effect.farmersdelight.comfort, Duration: 6000], Probability: 1.0}"
"farmersdelight:fruit_salad","Fruit Salad",6,0.6,"false","false","","{[effect.minecraft.regeneration, Duration: 100], Probability: 1.0}"
"farmersdelight:glow_berry_custard","Glow Berry Custard",7,0.6,"false","false","","{[effect.minecraft.glowing, Duration: 100], Probability: 1.0}"
"farmersdelight:grilled_salmon","Grilled Salmon",14,0.75,"false","false","","{[effect.farmersdelight.nourishment, Duration: 3600], Probability: 1.0}"
"farmersdelight:ham","Ham",5,0.3,"true","false","",""
"farmersdelight:hamburger","Hamburger",11,0.8,"false","false","",""
"farmersdelight:honey_cookie","Honey Cookie",2,0.1,"false","true","supplementaries:cookies",""
"farmersdelight:honey_glazed_ham","Plate of Honey Glazed Ham",14,0.75,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"farmersdelight:kelp_roll","Kelp Roll",12,0.6,"false","false","",""
"farmersdelight:kelp_roll_slice","Kelp Roll Slice",6,0.5,"false","true","",""
"farmersdelight:melon_popsicle","Melon Popsicle",3,0.2,"false","true","",""
"farmersdelight:minced_beef","Minced Beef",2,0.3,"true","true","farmersdelight:cabbage_roll_ingredients, forge:raw_beef",""
"farmersdelight:mixed_salad","Mixed Salad",6,0.6,"false","false","","{[effect.minecraft.regeneration, Duration: 100], Probability: 1.0}"
"farmersdelight:mushroom_rice","Mushroom Rice",12,0.8,"false","false","","{[effect.farmersdelight.nourishment, Duration: 3600], Probability: 1.0}"
"farmersdelight:mutton_chops","Raw Mutton Chops",1,0.3,"true","true","farmersdelight:wolf_prey, farmersdelight:cabbage_roll_ingredients, forge:raw_mutton",""
"farmersdelight:mutton_wrap","Mutton Wrap",10,0.8,"false","false","",""
"farmersdelight:nether_salad","Nether Salad",5,0.4,"false","false","","{[effect.minecraft.nausea, Duration: 240], Probability: 0.3}"
"farmersdelight:noodle_soup","Noodle Soup",14,0.75,"false","false","","{[effect.farmersdelight.comfort, Duration: 6000], Probability: 1.0}"
"farmersdelight:onion","Onion",2,0.4,"false","false","tconstruct:seeds, sereneseasons:spring_crops, forge:crops, forge:vegetables, enhancedcelestials:harvest_moon_crops, sereneseasons:autumn_crops, forge:crops/onion, forge:vegetables/onion",""
"farmersdelight:pasta_with_meatballs","Pasta with Meatballs",12,0.8,"false","false","","{[effect.farmersdelight.nourishment, Duration: 3600], Probability: 1.0}"
"farmersdelight:pasta_with_mutton_chop","Pasta with Mutton Chop",12,0.8,"false","false","","{[effect.farmersdelight.nourishment, Duration: 3600], Probability: 1.0}"
"farmersdelight:pie_crust","Pie Crust",2,0.2,"false","false","create:upright_on_belt",""
"farmersdelight:pumpkin_slice","Pumpkin Slice",3,0.3,"false","false","createaddition:plant_foods",""
"farmersdelight:pumpkin_soup","Pumpkin Soup",14,0.75,"false","false","","{[effect.farmersdelight.comfort, Duration: 6000], Probability: 1.0}"
"farmersdelight:ratatouille","Ratatouille",10,0.6,"false","false","","{[effect.farmersdelight.nourishment, Duration: 1200], Probability: 1.0}"
"farmersdelight:raw_pasta","Raw Pasta",2,0.3,"false","false","forge:pasta/raw_pasta, forge:pasta","{[effect.minecraft.hunger, Duration: 600], Probability: 0.3}"
"farmersdelight:roast_chicken","Plate of Roast Chicken",14,0.75,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"farmersdelight:roasted_mutton_chops","Roasted Mutton Chops",14,0.75,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"farmersdelight:salmon_roll","Salmon Roll",7,0.6,"false","false","",""
"farmersdelight:salmon_slice","Raw Salmon Slice",1,0.1,"false","true","forge:raw_fishes/salmon, forge:raw_fishes, origins:meat, farmersdelight:cabbage_roll_ingredients",""
"farmersdelight:shepherds_pie","Plate of Shepherd's Pie",14,0.75,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"farmersdelight:smoked_ham","Smoked Ham",10,0.8,"true","false","",""
"farmersdelight:squid_ink_pasta","Squid Ink Pasta",14,0.75,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"farmersdelight:steak_and_potatoes","Steak and Potatoes",12,0.8,"false","false","","{[effect.farmersdelight.nourishment, Duration: 3600], Probability: 1.0}"
"farmersdelight:stuffed_potato","Stuffed Potato",10,0.7,"false","false","",""
"farmersdelight:stuffed_pumpkin","Bowl of Stuffed Pumpkin",14,0.75,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"farmersdelight:sweet_berry_cheesecake_slice","Slice of Sweet Berry Cheesecake",3,0.3,"false","true","","{[effect.minecraft.speed, Duration: 600, Particles: false, Show Icon: false], Probability: 1.0}"
"farmersdelight:sweet_berry_cookie","Sweet Berry Cookie",2,0.1,"false","true","supplementaries:cookies",""
"farmersdelight:tomato","Tomato",1,0.3,"false","false","forge:crops, forge:vegetables/tomato, forge:vegetables, enhancedcelestials:harvest_moon_crops, forge:crops/tomato",""
"farmersdelight:tomato_sauce","Tomato Sauce",4,0.4,"false","false","",""
"farmersdelight:vegetable_noodles","Vegetable Noodles",14,0.75,"false","false","","{[effect.farmersdelight.nourishment, Duration: 6000], Probability: 1.0}"
"farmersdelight:vegetable_soup","Vegetable Soup",12,0.8,"false","false","","{[effect.farmersdelight.comfort, Duration: 3600], Probability: 1.0}"
"farmersdelight:wheat_dough","Wheat Dough",2,0.3,"false","false","forge:dough, forge:dough/wheat","{[effect.minecraft.hunger, Duration: 600], Probability: 0.3}"
"gothic:black_mushroom_item","Black Mushroom",2,0.3,"false","false","farmersdelight:cabbage_roll_ingredients, supplementaries:flower_box_plantable, quark:seed_pouch_holdable, forge:mushrooms",""
"gothic:blue_elder","Blue Elder",1,0.3,"false","false","forge:berries",""
"gothic:bug_meat","Bug Meat",2,0.5,"false","false","forge:raw_meats",""
"gothic:cheese","Cheese",5,0.2,"false","false","",""
"gothic:dragon_root","Dragon Root",1,0.0,"false","false","",""
"gothic:elixir_of_haste","Elixir of Haste",0,0.0,"false","false","",""
"gothic:elixir_of_health","Elixir of Health",0,0.0,"false","false","",""
"gothic:elixir_of_mental_cleansing","Elixir of Mental Cleansing",0,0.0,"false","false","",""
"gothic:elixir_of_speed","Elixir of Speed",0,0.0,"false","false","",""
"gothic:elixir_of_strength","Elixir of Strength",0,0.0,"false","false","",""
"gothic:goblin_berries","Goblin Berries",1,0.0,"false","false","forge:berries",""
"gothic:grape","Grape",4,0.3,"false","false","forge:fruits/grapes, forge:fruits, forge:berries",""
"gothic:ham","Ham",6,0.3,"true","false","forge:cooked_pork, forge:cooked_meats",""
"gothic:innos_tears","Innos Tears",0,0.0,"false","false","",""
"gothic:kings_sorrel","King's Sorrel",1,0.0,"false","false","forge:salad_ingredients",""
"gothic:lamb_sausage","Lamb Sausage",6,0.4,"true","false","forge:cooked_mutton",""
"gothic:meadow_knotweed","Meadow Knotweed",2,0.3,"false","false","forge:vegetables/onion, forge:crops, forge:crops/onion, forge:vegetables, enhancedcelestials:harvest_moon_crops",""
"gothic:meat","Meat",2,0.3,"true","false","forge:raw_meats",""
"gothic:meat_cooked","Cooked Meat",4,0.5,"true","false","forge:cooked_meats",""
"gothic:meatbug_ragout","Meatbug Ragout",7,0.9,"true","false","",""
"gothic:miners_food","Miner's Food",3,0.3,"false","false","farmersdelight:cabbage_roll_ingredients, supplementaries:flower_box_plantable, quark:seed_pouch_holdable, forge:mushrooms",""
"gothic:molerat_soup","Molerat Soup",10,0.8,"false","false","",""
"gothic:scavenger_egg","Scavenger Egg",4,1.4,"true","false","farmersdelight:cabbage_roll_ingredients, balm:eggs, forge:eggs, gothic:monster_trophy_one",""
"gothic:snapperweed","Snapperweed",1,0.0,"false","false","forge:salad_ingredients",""
"gothic:stew","Stew",10,0.8,"false","false","",""
"gothic:swampweed","Swampweed",1,0.0,"false","false","forge:salad_ingredients",""
"gothic:turnip","Turnip",2,0.3,"false","false","forge:crops, forge:crops/turnip, forge:vegetables, enhancedcelestials:harvest_moon_crops, forge:vegetables/turnip",""
"infernalexp:blindsight_tongue","Blindsight Tongue",3,0.5,"false","false","","{[effect.minecraft.jump_boost x 2, Duration: 100], Probability: 1.0}"
"infernalexp:blindsight_tongue_stew","Fungus & Tongue Stew",6,0.9,"false","false","","{[effect.minecraft.jump_boost x 2, Duration: 1200], Probability: 1.0}"
"infernalexp:cooked_hogchop","Cooked Hogchop",10,0.8,"true","false","","{[effect.minecraft.slowness x 2, Duration: 200], Probability: 1.0}"
"infernalexp:cured_jerky","Cured Jerky",5,0.6,"false","false","",""
"infernalexp:raw_hogchop","Raw Hogchop",4,0.3,"true","false","","{[effect.infernalexp.infection x 2, Duration: 200], Probability: 1.0}"
"infernalexp:spirit_eye","Spirit Eye",4,0.8,"false","false","","{[effect.minecraft.glowing, Duration: 200], Probability: 1.0}"
"minecraft:apple","Apple",4,0.3,"false","false","alexsmobs:gorilla_foodstuffs, alexsmobs:elephant_foodstuffs",""
