+----------------------------------+---------------------------------------------+------------------------------+---------------------------------------------------------------+
| Mod name                         | Registry name                               | Display name                 | Tier                                                          |
| Simply Swords                    | simplyswords:diamond_halberd                | Diamond Halberd              | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Simply Swords                    | simplyswords:diamond_katana                 | Diamond Katana               | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Simply Swords                    | simplyswords:diamond_longsword              | Diamond Longsword            | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Simply Swords                    | simplyswords:diamond_rapier                 | Diamond Rapier               | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Simply Swords                    | simplyswords:diamond_sai                    | Diamond Sai                  | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Simply Swords                    | simplyswords:diamond_scythe                 | Diamond Scythe               | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Simply Swords                    | simplyswords:diamond_spear                  | Diamond Spear                | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Simply Swords                    | simplyswords:diamond_twinblade              | Diamond Twinblade            | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Simply Swords                    | simplyswords:diamond_warglaive              | Diamond Warglaive            | uses: 1561, level: 3, speed: 8.000, dmgbns: 3.000, ench: 10   |
| Simply Swords                    | simplyswords:dormant_relic                  | Dormant Relic                | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:emberblade                     | Emberblade                   | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:frostfall                      | Frostfall                    | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:gold_chakram                   | Gold Chakram                 | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Simply Swords                    | simplyswords:gold_claymore                  | Gold Claymore                | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Simply Swords                    | simplyswords:gold_cutlass                   | Gold Cutlass                 | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Simply Swords                    | simplyswords:gold_glaive                    | Gold Glaive                  | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Simply Swords                    | simplyswords:gold_greataxe                  | Gold Greataxe                | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Simply Swords                    | simplyswords:gold_greathammer               | Gold Greathammer             | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Simply Swords                    | simplyswords:gold_halberd                   | Gold Halberd                 | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Simply Swords                    | simplyswords:gold_katana                    | Gold Katana                  | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Simply Swords                    | simplyswords:gold_longsword                 | Gold Longsword               | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Simply Swords                    | simplyswords:gold_rapier                    | Gold Rapier                  | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Simply Swords                    | simplyswords:gold_sai                       | Gold Sai                     | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Simply Swords                    | simplyswords:gold_scythe                    | Gold Scythe                  | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Simply Swords                    | simplyswords:gold_spear                     | Gold Spear                   | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Simply Swords                    | simplyswords:gold_twinblade                 | Gold Twinblade               | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Simply Swords                    | simplyswords:gold_warglaive                 | Gold Warglaive               | uses: 32, level: 0, speed: 12.000, dmgbns: 0.000, ench: 22    |
| Simply Swords                    | simplyswords:harbinger                      | Harbinger                    | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:hearthflame                    | Hearthflame                  | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:icewhisper                     | Icewhisper                   | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:iron_chakram                   | Iron Chakram                 | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Simply Swords                    | simplyswords:iron_claymore                  | Iron Claymore                | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Simply Swords                    | simplyswords:iron_cutlass                   | Iron Cutlass                 | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Simply Swords                    | simplyswords:iron_glaive                    | Iron Glaive                  | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Simply Swords                    | simplyswords:iron_greataxe                  | Iron Greataxe                | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Simply Swords                    | simplyswords:iron_greathammer               | Iron Greathammer             | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Simply Swords                    | simplyswords:iron_halberd                   | Iron Halberd                 | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Simply Swords                    | simplyswords:iron_katana                    | Iron Katana                  | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Simply Swords                    | simplyswords:iron_longsword                 | Iron Longsword               | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Simply Swords                    | simplyswords:iron_rapier                    | Iron Rapier                  | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Simply Swords                    | simplyswords:iron_sai                       | Iron Sai                     | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Simply Swords                    | simplyswords:iron_scythe                    | Iron Scythe                  | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Simply Swords                    | simplyswords:iron_spear                     | Iron Spear                   | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Simply Swords                    | simplyswords:iron_twinblade                 | Iron Twinblade               | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Simply Swords                    | simplyswords:iron_warglaive                 | Iron Warglaive               | uses: 250, level: 2, speed: 6.000, dmgbns: 2.000, ench: 14    |
| Simply Swords                    | simplyswords:livyatan                       | Livyatan                     | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:mjolnir                        | Mjolnir                      | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:molten_edge                    | Molten Edge                  | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:netherite_chakram              | Netherite Chakram            | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Simply Swords                    | simplyswords:netherite_claymore             | Netherite Claymore           | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Simply Swords                    | simplyswords:netherite_cutlass              | Netherite Cutlass            | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Simply Swords                    | simplyswords:netherite_glaive               | Netherite Glaive             | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Simply Swords                    | simplyswords:netherite_greataxe             | Netherite Greataxe           | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Simply Swords                    | simplyswords:netherite_greathammer          | Netherite Greathammer        | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Simply Swords                    | simplyswords:netherite_halberd              | Netherite Halberd            | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Simply Swords                    | simplyswords:netherite_katana               | Netherite Katana             | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Simply Swords                    | simplyswords:netherite_longsword            | Netherite Longsword          | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Simply Swords                    | simplyswords:netherite_rapier               | Netherite Rapier             | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Simply Swords                    | simplyswords:netherite_sai                  | Netherite Sai                | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Simply Swords                    | simplyswords:netherite_scythe               | Netherite Scythe             | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Simply Swords                    | simplyswords:netherite_spear                | Netherite Spear              | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Simply Swords                    | simplyswords:netherite_twinblade            | Netherite Twinblade          | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Simply Swords                    | simplyswords:netherite_warglaive            | Netherite Warglaive          | uses: 2031, level: 4, speed: 9.000, dmgbns: 4.000, ench: 15   |
| Simply Swords                    | simplyswords:righteous_relic                | Righteous Relic              | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:runic_chakram                  | Runic Chakram                | uses: 2031, level: 4, speed: 9.000, dmgbns: 5.000, ench: 25   |
| Simply Swords                    | simplyswords:runic_claymore                 | Runic Claymore               | uses: 2031, level: 4, speed: 9.000, dmgbns: 5.000, ench: 25   |
| Simply Swords                    | simplyswords:runic_cutlass                  | Runic Cutlass                | uses: 2031, level: 4, speed: 9.000, dmgbns: 5.000, ench: 25   |
| Simply Swords                    | simplyswords:runic_glaive                   | Runic Glaive                 | uses: 2031, level: 4, speed: 9.000, dmgbns: 5.000, ench: 25   |
| Simply Swords                    | simplyswords:runic_greataxe                 | Runic Greataxe               | uses: 2031, level: 4, speed: 9.000, dmgbns: 5.000, ench: 25   |
| Simply Swords                    | simplyswords:runic_greathammer              | Runic Greathammer            | uses: 2031, level: 4, speed: 9.000, dmgbns: 5.000, ench: 25   |
| Simply Swords                    | simplyswords:runic_halberd                  | Runic Halberd                | uses: 2031, level: 4, speed: 9.000, dmgbns: 5.000, ench: 25   |
| Simply Swords                    | simplyswords:runic_katana                   | Runic Katana                 | uses: 2031, level: 4, speed: 9.000, dmgbns: 5.000, ench: 25   |
| Simply Swords                    | simplyswords:runic_longsword                | Runic Longsword              | uses: 2031, level: 4, speed: 9.000, dmgbns: 5.000, ench: 25   |
| Simply Swords                    | simplyswords:runic_rapier                   | Runic Rapier                 | uses: 2031, level: 4, speed: 9.000, dmgbns: 5.000, ench: 25   |
| Simply Swords                    | simplyswords:runic_sai                      | Runic Sai                    | uses: 2031, level: 4, speed: 9.000, dmgbns: 5.000, ench: 25   |
| Simply Swords                    | simplyswords:runic_scythe                   | Runic Scythe                 | uses: 2031, level: 4, speed: 9.000, dmgbns: 5.000, ench: 25   |
| Simply Swords                    | simplyswords:runic_spear                    | Runic Spear                  | uses: 2031, level: 4, speed: 9.000, dmgbns: 5.000, ench: 25   |
| Simply Swords                    | simplyswords:runic_twinblade                | Runic Twinblade              | uses: 2031, level: 4, speed: 9.000, dmgbns: 5.000, ench: 25   |
| Simply Swords                    | simplyswords:runic_warglaive                | Runic Warglaive              | uses: 2031, level: 4, speed: 9.000, dmgbns: 5.000, ench: 25   |
| Simply Swords                    | simplyswords:shadowsting                    | Shadowsting                  | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:slumbering_lichblade           | Slumbering Lichblade         | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:soulkeeper                     | Soulkeeper                   | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:soulpyre                       | Soul Pyre                    | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:soulrender                     | Soulrender                   | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:soulstealer                    | Soulstealer                  | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:stormbringer                   | Stormbringer                 | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:storms_edge                    | Storm's Edge                 | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:sunfire                        | Sunfire                      | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:sword_on_a_stick               | Sword on a Stick             | uses: 59, level: 0, speed: 2.000, dmgbns: 0.000, ench: 15     |
| Simply Swords                    | simplyswords:tainted_relic                  | Tainted Relic                | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:thunderbrand                   | Thunderbrand                 | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:toxic_longsword                | Longsword of the Plague      | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:twisted_blade                  | Twisted Blade                | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:waking_lichblade               | Waking Lichblade             | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:watcher_claymore               | The Watcher                  | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Simply Swords                    | simplyswords:watching_warglaive             | Watching Warglaive           | uses: 3270, level: 4, speed: 15.000, dmgbns: 5.000, ench: 30  |
| Tool's Complement                | tools_complement:bronze_axe                 | Bronze Axe                   | uses: 325, level: 2, speed: 5.500, dmgbns: 2.000, ench: 16    |
| Tool's Complement                | tools_complement:bronze_excavator           | Bronze Excavator             | uses: 325, level: 2, speed: 5.500, dmgbns: 2.000, ench: 16    |
| Tool's Complement                | tools_complement:bronze_hammer              | Bronze Hammer                | uses: 325, level: 2, speed: 5.500, dmgbns: 2.000, ench: 16    |
| Tool's Complement                | tools_complement:bronze_hoe                 | Bronze Hoe                   | uses: 325, level: 2, speed: 5.500, dmgbns: 2.000, ench: 16    |
| Tool's Complement                | tools_complement:bronze_knife               | Bronze Knife                 | uses: 325, level: 2, speed: 5.500, dmgbns: 2.000, ench: 16    |
| Tool's Complement                | tools_complement:bronze_pickaxe             | Bronze Pickaxe               | uses: 325, level: 2, speed: 5.500, dmgbns: 2.000, ench: 16    |
| Tool's Complement                | tools_complement:bronze_shovel              | Bronze Shovel                | uses: 325, level: 2, speed: 5.500, dmgbns: 2.000, ench: 16    |
| Tool's Complement                | tools_complement:bronze_sickle              | Bronze Sickle                | uses: 325, level: 2, speed: 5.500, dmgbns: 2.000, ench: 16    |
| Tool's Complement                | tools_complement:bronze_sword               | Bronze Sword                 | uses: 325, level: 2, speed: 5.500, dmgbns: 2.000, ench: 16    |
| Tool's Complement                | tools_complement:constantan_axe             | Constantan Axe               | uses: 250, level: 1, speed: 5.500, dmgbns: 2.000, ench: 10    |
| Tool's Complement                | tools_complement:constantan_excavator       | Constantan Excavator         | uses: 250, level: 1, speed: 5.500, dmgbns: 2.000, ench: 10    |
| Tool's Complement                | tools_complement:constantan_hammer          | Constantan Hammer            | uses: 250, level: 1, speed: 5.500, dmgbns: 2.000, ench: 10    |
| Tool's Complement                | tools_complement:constantan_hoe             | Constantan Hoe               | uses: 250, level: 1, speed: 5.500, dmgbns: 2.000, ench: 10    |
