"Registry name","Map color (hex)","Map color (int)"
"autumnity:snail_shell_tile_vertical_slab","#4C3223","4993571"
"autumnity:snail_shell_tile_wall","#4C3223","4993571"
"autumnity:snail_shell_tiles","#4C3223","4993571"
"autumnity:soul_jack_o_lantern","#D87F33","14188339"
"autumnity:stripped_maple_log","#9F5224","10441252"
"autumnity:stripped_maple_post","#9F5224","10441252"
"autumnity:stripped_maple_wood","#9F5224","10441252"
"autumnity:tall_foul_berry_bush","#007C00","31744"
"autumnity:turkey","#000000","0"
"autumnity:turkey_egg_crate","#D1B1A1","13742497"
"autumnity:vertical_maple_planks","#9F5224","10441252"
"autumnity:yellow_maple_hedge","#9F5224","10441252"
"autumnity:yellow_maple_leaf_carpet","#BA8524","12223780"
"autumnity:yellow_maple_leaf_pile","#BA8524","12223780"
"autumnity:yellow_maple_leaves","#BA8524","12223780"
"autumnity:yellow_maple_sapling","#BA8524","12223780"
"biomesoplenty:barley","#BA8524","12223780"
"biomesoplenty:black_sand","#191919","1644825"
"biomesoplenty:black_sandstone","#191919","1644825"
"biomesoplenty:black_sandstone_slab","#191919","1644825"
"biomesoplenty:black_sandstone_stairs","#191919","1644825"
"biomesoplenty:black_sandstone_wall","#191919","1644825"
"biomesoplenty:blackstone_bulb","#191919","1644825"
"biomesoplenty:blackstone_spines","#191919","1644825"
"biomesoplenty:blood","#993333","10040115"
"biomesoplenty:blue_hydrangea","#007C00","31744"
"biomesoplenty:bramble","#700200","7340544"
"biomesoplenty:brimstone","#E5E533","15066419"
"biomesoplenty:brimstone_bud","#E5E533","15066419"
"biomesoplenty:brimstone_cluster","#E5E533","15066419"
"biomesoplenty:brimstone_fumarole","#E5E533","15066419"
"biomesoplenty:burning_blossom","#007C00","31744"
"biomesoplenty:bush","#007C00","31744"
"biomesoplenty:cattail","#976D4D","9923917"
"biomesoplenty:cherry_button","#000000","0"
"biomesoplenty:cherry_door","#993333","10040115"
"biomesoplenty:cherry_fence","#993333","10040115"
"biomesoplenty:cherry_fence_gate","#993333","10040115"
"biomesoplenty:cherry_log","#993333","10040115"
"biomesoplenty:cherry_planks","#993333","10040115"
"biomesoplenty:cherry_pressure_plate","#993333","10040115"
"biomesoplenty:cherry_sign","#8F7748","9402184"
"biomesoplenty:cherry_slab","#993333","10040115"
"biomesoplenty:cherry_stairs","#993333","10040115"
"biomesoplenty:cherry_trapdoor","#993333","10040115"
"biomesoplenty:cherry_wall_sign","#8F7748","9402184"
"biomesoplenty:cherry_wood","#993333","10040115"
"biomesoplenty:chiseled_black_sandstone","#191919","1644825"
"biomesoplenty:chiseled_orange_sandstone","#D87F33","14188339"
"biomesoplenty:chiseled_white_sandstone","#FFFCF5","16776437"
"biomesoplenty:clover","#007C00","31744"
"biomesoplenty:cut_black_sandstone","#191919","1644825"
"biomesoplenty:cut_black_sandstone_slab","#191919","1644825"
"biomesoplenty:cut_orange_sandstone","#D87F33","14188339"
"biomesoplenty:cut_orange_sandstone_slab","#D87F33","14188339"
"biomesoplenty:cut_white_sandstone","#FFFCF5","16776437"
"biomesoplenty:cut_white_sandstone_slab","#FFFCF5","16776437"
"biomesoplenty:dead_branch","#4C4C4C","5000268"
"biomesoplenty:dead_button","#000000","0"
"biomesoplenty:dead_door","#707070","7368816"
"biomesoplenty:dead_fence","#707070","7368816"
"biomesoplenty:dead_fence_gate","#707070","7368816"
"biomesoplenty:dead_grass","#8F7748","9402184"
"biomesoplenty:dead_leaves","#8F7748","9402184"
"biomesoplenty:dead_log","#707070","7368816"
"biomesoplenty:dead_planks","#707070","7368816"
"biomesoplenty:dead_pressure_plate","#707070","7368816"
"biomesoplenty:dead_sapling","#007C00","31744"
"biomesoplenty:dead_sign","#8F7748","9402184"
"biomesoplenty:dead_slab","#707070","7368816"
"biomesoplenty:dead_stairs","#707070","7368816"
"biomesoplenty:dead_trapdoor","#707070","7368816"
"biomesoplenty:dead_wall_sign","#8F7748","9402184"
"biomesoplenty:dead_wood","#707070","7368816"
"biomesoplenty:desert_grass","#9F5224","10441252"
"biomesoplenty:dried_salt","#8F7748","9402184"
"biomesoplenty:dune_grass","#677535","6780213"
"biomesoplenty:eyebulb","#8E3C2E","9321518"
"biomesoplenty:fir_button","#000000","0"
"biomesoplenty:fir_door","#D1B1A1","13742497"
"biomesoplenty:fir_fence","#D1B1A1","13742497"
"biomesoplenty:fir_fence_gate","#D1B1A1","13742497"
"biomesoplenty:fir_leaves","#007C00","31744"
"biomesoplenty:fir_log","#D1B1A1","13742497"
"biomesoplenty:fir_planks","#D1B1A1","13742497"
"biomesoplenty:fir_pressure_plate","#D1B1A1","13742497"
"biomesoplenty:fir_sapling","#007C00","31744"
"biomesoplenty:fir_sign","#8F7748","9402184"
"biomesoplenty:fir_slab","#D1B1A1","13742497"
"biomesoplenty:fir_stairs","#D1B1A1","13742497"
"biomesoplenty:fir_trapdoor","#D1B1A1","13742497"
"biomesoplenty:fir_wall_sign","#8F7748","9402184"
"biomesoplenty:fir_wood","#D1B1A1","13742497"
"biomesoplenty:flesh","#8E3C2E","9321518"
"biomesoplenty:flesh_tendons","#8E3C2E","9321518"
"biomesoplenty:flesh_tendons_strand","#8E3C2E","9321518"
"biomesoplenty:flowering_oak_leaves","#007C00","31744"
"biomesoplenty:flowering_oak_sapling","#007C00","31744"
"biomesoplenty:glowflower","#007C00","31744"
"biomesoplenty:glowing_moss_block","#5CDBD5","6085589"
"biomesoplenty:glowing_moss_carpet","#5CDBD5","6085589"
"biomesoplenty:glowshroom","#5CDBD5","6085589"
"biomesoplenty:glowshroom_block","#5CDBD5","6085589"
"biomesoplenty:glowworm_silk","#007C00","31744"
"biomesoplenty:glowworm_silk_strand","#007C00","31744"
"biomesoplenty:goldenrod","#007C00","31744"
"biomesoplenty:hair","#D8AF93","14200723"
"biomesoplenty:hanging_cobweb","#007C00","31744"
"biomesoplenty:hanging_cobweb_strand","#007C00","31744"
"biomesoplenty:hellbark_button","#000000","0"
"biomesoplenty:hellbark_door","#392923","3746083"
"biomesoplenty:hellbark_fence","#392923","3746083"
"biomesoplenty:hellbark_fence_gate","#392923","3746083"
"biomesoplenty:hellbark_leaves","#7A4958","8014168"
"biomesoplenty:hellbark_log","#392923","3746083"
"biomesoplenty:hellbark_planks","#392923","3746083"
"biomesoplenty:hellbark_pressure_plate","#392923","3746083"
"biomesoplenty:hellbark_sapling","#007C00","31744"
"biomesoplenty:hellbark_sign","#8F7748","9402184"
"biomesoplenty:hellbark_slab","#392923","3746083"
"biomesoplenty:hellbark_stairs","#392923","3746083"
"biomesoplenty:hellbark_trapdoor","#392923","3746083"
"biomesoplenty:hellbark_wall_sign","#8F7748","9402184"
"biomesoplenty:hellbark_wood","#392923","3746083"
"biomesoplenty:huge_clover_petal","#007C00","31744"
"biomesoplenty:icy_iris","#007C00","31744"
"biomesoplenty:jacaranda_button","#000000","0"
"biomesoplenty:jacaranda_door","#D1B1A1","13742497"
"biomesoplenty:jacaranda_fence","#D1B1A1","13742497"
"biomesoplenty:jacaranda_fence_gate","#D1B1A1","13742497"
"biomesoplenty:jacaranda_leaves","#7F3FB2","8339378"
"biomesoplenty:jacaranda_log","#D1B1A1","13742497"
"biomesoplenty:jacaranda_planks","#D1B1A1","13742497"
"biomesoplenty:jacaranda_pressure_plate","#D1B1A1","13742497"
"biomesoplenty:jacaranda_sapling","#007C00","31744"
"biomesoplenty:jacaranda_sign","#8F7748","9402184"
"biomesoplenty:jacaranda_slab","#D1B1A1","13742497"
"biomesoplenty:jacaranda_stairs","#D1B1A1","13742497"
"biomesoplenty:jacaranda_trapdoor","#D1B1A1","13742497"
"biomesoplenty:jacaranda_wall_sign","#8F7748","9402184"
"biomesoplenty:jacaranda_wood","#D1B1A1","13742497"
"biomesoplenty:large_rose_quartz_bud","#943F61","9715553"
"biomesoplenty:lavender","#B24CD8","11685080"
"biomesoplenty:magic_button","#000000","0"
"biomesoplenty:magic_door","#334CB2","3361970"
"biomesoplenty:magic_fence","#334CB2","3361970"
"biomesoplenty:magic_fence_gate","#334CB2","3361970"
"biomesoplenty:magic_leaves","#4C7F99","5013401"
"biomesoplenty:magic_log","#334CB2","3361970"
"biomesoplenty:magic_planks","#334CB2","3361970"
"biomesoplenty:magic_pressure_plate","#334CB2","3361970"
"biomesoplenty:magic_sapling","#007C00","31744"
"biomesoplenty:magic_sign","#8F7748","9402184"
"biomesoplenty:magic_slab","#334CB2","3361970"
"biomesoplenty:magic_stairs","#334CB2","3361970"
"biomesoplenty:magic_trapdoor","#334CB2","3361970"
"biomesoplenty:magic_wall_sign","#8F7748","9402184"
"biomesoplenty:magic_wood","#334CB2","3361970"
"biomesoplenty:mahogany_button","#000000","0"
"biomesoplenty:mahogany_door","#A04D4E","10505550"
"biomesoplenty:mahogany_fence","#A04D4E","10505550"
"biomesoplenty:mahogany_fence_gate","#A04D4E","10505550"
"biomesoplenty:mahogany_leaves","#007C00","31744"
"biomesoplenty:mahogany_log","#A04D4E","10505550"
"biomesoplenty:mahogany_planks","#A04D4E","10505550"
"biomesoplenty:mahogany_pressure_plate","#A04D4E","10505550"
"biomesoplenty:mahogany_sapling","#007C00","31744"
"biomesoplenty:mahogany_sign","#8F7748","9402184"
"biomesoplenty:mahogany_slab","#A04D4E","10505550"
"biomesoplenty:mahogany_stairs","#A04D4E","10505550"
"biomesoplenty:mahogany_trapdoor","#A04D4E","10505550"
"biomesoplenty:mahogany_wall_sign","#8F7748","9402184"
"biomesoplenty:mahogany_wood","#A04D4E","10505550"
"biomesoplenty:maple_leaves","#993333","10040115"
"biomesoplenty:maple_sapling","#007C00","31744"
"biomesoplenty:medium_rose_quartz_bud","#943F61","9715553"
"biomesoplenty:orange_autumn_leaves","#9F5224","10441252"
"biomesoplenty:orange_autumn_sapling","#007C00","31744"
"biomesoplenty:orange_cosmos","#007C00","31744"
"biomesoplenty:orange_sand","#D87F33","14188339"
"biomesoplenty:orange_sandstone","#D87F33","14188339"
"biomesoplenty:orange_sandstone_slab","#D87F33","14188339"
"biomesoplenty:orange_sandstone_stairs","#D87F33","14188339"
"biomesoplenty:orange_sandstone_wall","#D87F33","14188339"
"biomesoplenty:origin_grass_block","#7FB238","8368696"
"biomesoplenty:origin_leaves","#00D93A","55610"
"biomesoplenty:origin_sapling","#007C00","31744"
"biomesoplenty:palm_button","#000000","0"
"biomesoplenty:palm_door","#BA8524","12223780"
"biomesoplenty:palm_fence","#BA8524","12223780"
"biomesoplenty:palm_fence_gate","#BA8524","12223780"
"biomesoplenty:palm_leaves","#007C00","31744"
"biomesoplenty:palm_log","#BA8524","12223780"
"biomesoplenty:palm_planks","#BA8524","12223780"
"biomesoplenty:palm_pressure_plate","#BA8524","12223780"
"biomesoplenty:palm_sapling","#007C00","31744"
"biomesoplenty:palm_sign","#8F7748","9402184"
"biomesoplenty:palm_slab","#BA8524","12223780"
"biomesoplenty:palm_stairs","#BA8524","12223780"
"biomesoplenty:palm_trapdoor","#BA8524","12223780"
"biomesoplenty:palm_wall_sign","#8F7748","9402184"
"biomesoplenty:palm_wood","#BA8524","12223780"
"biomesoplenty:pink_cherry_leaves","#F27FA5","15892389"
"biomesoplenty:pink_cherry_sapling","#007C00","31744"
"biomesoplenty:pink_daffodil","#007C00","31744"
"biomesoplenty:pink_hibiscus","#007C00","31744"
"biomesoplenty:porous_flesh","#8E3C2E","9321518"
"biomesoplenty:potted_burning_blossom","#000000","0"
"biomesoplenty:potted_clover","#000000","0"
"biomesoplenty:potted_dead_sapling","#000000","0"
"biomesoplenty:potted_fir_sapling","#000000","0"
"biomesoplenty:potted_flowering_oak_sapling","#000000","0"
"biomesoplenty:potted_glowflower","#000000","0"
"biomesoplenty:potted_glowshroom","#000000","0"
"biomesoplenty:potted_hellbark_sapling","#000000","0"
"biomesoplenty:potted_jacaranda_sapling","#000000","0"
"biomesoplenty:potted_lavender","#000000","0"
"biomesoplenty:potted_magic_sapling","#000000","0"
"biomesoplenty:potted_mahogany_sapling","#000000","0"
"biomesoplenty:potted_maple_sapling","#000000","0"
"biomesoplenty:potted_orange_autumn_sapling","#000000","0"
"biomesoplenty:potted_orange_cosmos","#000000","0"
"biomesoplenty:potted_origin_sapling","#000000","0"
"biomesoplenty:potted_palm_sapling","#000000","0"
"biomesoplenty:potted_pink_cherry_sapling","#000000","0"
"biomesoplenty:potted_pink_daffodil","#000000","0"
"biomesoplenty:potted_pink_hibiscus","#000000","0"
"biomesoplenty:potted_rainbow_birch_sapling","#000000","0"
"biomesoplenty:potted_redwood_sapling","#000000","0"
"biomesoplenty:potted_rose","#000000","0"
"biomesoplenty:potted_sprout","#000000","0"
"biomesoplenty:potted_toadstool","#000000","0"
"biomesoplenty:potted_umbran_sapling","#000000","0"
"biomesoplenty:potted_violet","#000000","0"
"biomesoplenty:potted_white_cherry_sapling","#000000","0"
"biomesoplenty:potted_wildflower","#000000","0"
"biomesoplenty:potted_willow_sapling","#000000","0"
"biomesoplenty:potted_wilted_lily","#000000","0"
"biomesoplenty:potted_yellow_autumn_sapling","#000000","0"
"biomesoplenty:pus_bubble","#A04D4E","10505550"
"biomesoplenty:rainbow_birch_leaves","#007C00","31744"
"biomesoplenty:rainbow_birch_sapling","#007C00","31744"
"biomesoplenty:redwood_button","#000000","0"
"biomesoplenty:redwood_door","#9F5224","10441252"
"biomesoplenty:redwood_fence","#9F5224","10441252"
"biomesoplenty:redwood_fence_gate","#9F5224","10441252"
"biomesoplenty:redwood_leaves","#007C00","31744"
"biomesoplenty:redwood_log","#9F5224","10441252"
"biomesoplenty:redwood_planks","#9F5224","10441252"
"biomesoplenty:redwood_pressure_plate","#9F5224","10441252"
"biomesoplenty:redwood_sapling","#007C00","31744"
"biomesoplenty:redwood_sign","#8F7748","9402184"
"biomesoplenty:redwood_slab","#9F5224","10441252"
"biomesoplenty:redwood_stairs","#9F5224","10441252"
"biomesoplenty:redwood_trapdoor","#9F5224","10441252"
"biomesoplenty:redwood_wall_sign","#8F7748","9402184"
"biomesoplenty:redwood_wood","#9F5224","10441252"
"biomesoplenty:reed","#976D4D","9923917"
"biomesoplenty:rooted_sand","#F7E9A3","16247203"
"biomesoplenty:rose","#007C00","31744"
"biomesoplenty:rose_quartz_block","#943F61","9715553"
"biomesoplenty:rose_quartz_cluster","#943F61","9715553"
"biomesoplenty:sea_oats","#F7E9A3","16247203"
"biomesoplenty:small_rose_quartz_bud","#943F61","9715553"
"biomesoplenty:smooth_black_sandstone","#191919","1644825"
"biomesoplenty:smooth_black_sandstone_slab","#191919","1644825"
"biomesoplenty:smooth_black_sandstone_stairs","#191919","1644825"
"biomesoplenty:smooth_orange_sandstone","#D87F33","14188339"
"biomesoplenty:smooth_orange_sandstone_slab","#D87F33","14188339"
"biomesoplenty:smooth_orange_sandstone_stairs","#D87F33","14188339"
"biomesoplenty:smooth_white_sandstone","#FFFCF5","16776437"
"biomesoplenty:smooth_white_sandstone_slab","#FFFCF5","16776437"
"biomesoplenty:smooth_white_sandstone_stairs","#FFFCF5","16776437"
"biomesoplenty:spanish_moss","#007C00","31744"
"biomesoplenty:spanish_moss_plant","#007C00","31744"
"biomesoplenty:spider_egg","#007C00","31744"
"biomesoplenty:sprout","#007C00","31744"
"biomesoplenty:stringy_cobweb","#007C00","31744"
"biomesoplenty:stripped_cherry_log","#993333","10040115"
"biomesoplenty:stripped_cherry_wood","#993333","10040115"
"biomesoplenty:stripped_dead_log","#707070","7368816"
"biomesoplenty:stripped_dead_wood","#707070","7368816"
"biomesoplenty:stripped_fir_log","#D1B1A1","13742497"
"biomesoplenty:stripped_fir_wood","#D1B1A1","13742497"
"biomesoplenty:stripped_hellbark_log","#392923","3746083"
"biomesoplenty:stripped_hellbark_wood","#392923","3746083"
"biomesoplenty:stripped_jacaranda_log","#D1B1A1","13742497"
"biomesoplenty:stripped_jacaranda_wood","#D1B1A1","13742497"
"biomesoplenty:stripped_magic_log","#334CB2","3361970"
"biomesoplenty:stripped_magic_wood","#334CB2","3361970"
"biomesoplenty:stripped_mahogany_log","#A04D4E","10505550"
"biomesoplenty:stripped_mahogany_wood","#A04D4E","10505550"
"biomesoplenty:stripped_palm_log","#BA8524","12223780"
"biomesoplenty:stripped_palm_wood","#BA8524","12223780"
"biomesoplenty:stripped_redwood_log","#9F5224","10441252"
"biomesoplenty:stripped_redwood_wood","#9F5224","10441252"
"biomesoplenty:stripped_umbran_log","#4C3E5C","4996700"
"biomesoplenty:stripped_umbran_wood","#4C3E5C","4996700"
"biomesoplenty:stripped_willow_log","#677535","6780213"
"biomesoplenty:stripped_willow_wood","#677535","6780213"
"biomesoplenty:tall_lavender","#007C00","31744"
"biomesoplenty:toadstool","#D87F33","14188339"
"biomesoplenty:toadstool_block","#D87F33","14188339"
"biomesoplenty:umbran_button","#000000","0"
"biomesoplenty:umbran_door","#4C3E5C","4996700"
"biomesoplenty:umbran_fence","#4C3E5C","4996700"
"biomesoplenty:umbran_fence_gate","#4C3E5C","4996700"
"biomesoplenty:umbran_leaves","#4C3E5C","4996700"
"biomesoplenty:umbran_log","#4C3E5C","4996700"
"biomesoplenty:umbran_planks","#4C3E5C","4996700"
"biomesoplenty:umbran_pressure_plate","#4C3E5C","4996700"
"biomesoplenty:umbran_sapling","#007C00","31744"
"biomesoplenty:umbran_sign","#8F7748","9402184"
"biomesoplenty:umbran_slab","#4C3E5C","4996700"
"biomesoplenty:umbran_stairs","#4C3E5C","4996700"
"biomesoplenty:umbran_trapdoor","#4C3E5C","4996700"
"biomesoplenty:umbran_wall_sign","#8F7748","9402184"
"biomesoplenty:umbran_wood","#4C3E5C","4996700"
"biomesoplenty:violet","#007C00","31744"
"biomesoplenty:watergrass","#4040FF","4210943"
"biomesoplenty:webbing","#007C00","31744"
"biomesoplenty:white_cherry_leaves","#FFFFFF","16777215"
"biomesoplenty:white_cherry_sapling","#007C00","31744"
"biomesoplenty:white_sand","#FFFCF5","16776437"
"biomesoplenty:white_sandstone","#FFFCF5","16776437"
"biomesoplenty:white_sandstone_slab","#FFFCF5","16776437"
"biomesoplenty:white_sandstone_stairs","#FFFCF5","16776437"
"biomesoplenty:white_sandstone_wall","#FFFCF5","16776437"
"biomesoplenty:wildflower","#007C00","31744"
"biomesoplenty:willow_button","#000000","0"
"biomesoplenty:willow_door","#677535","6780213"
"biomesoplenty:willow_fence","#677535","6780213"
"biomesoplenty:willow_fence_gate","#677535","6780213"
"biomesoplenty:willow_leaves","#007C00","31744"
"biomesoplenty:willow_log","#677535","6780213"
"biomesoplenty:willow_planks","#677535","6780213"
"biomesoplenty:willow_pressure_plate","#677535","6780213"
"biomesoplenty:willow_sapling","#007C00","31744"
"biomesoplenty:willow_sign","#8F7748","9402184"
"biomesoplenty:willow_slab","#677535","6780213"
"biomesoplenty:willow_stairs","#677535","6780213"
"biomesoplenty:willow_trapdoor","#677535","6780213"
"biomesoplenty:willow_vine","#007C00","31744"
"biomesoplenty:willow_wall_sign","#8F7748","9402184"
"biomesoplenty:willow_wood","#677535","6780213"
"biomesoplenty:wilted_lily","#007C00","31744"
"biomesoplenty:yellow_autumn_leaves","#BA8524","12223780"
"biomesoplenty:yellow_autumn_sapling","#007C00","31744"
"born_in_chaos_v1:argillite_lamp","#000000","0"
"born_in_chaos_v1:black_argillite","#707070","7368816"
"born_in_chaos_v1:black_argillite_brick","#707070","7368816"
"born_in_chaos_v1:black_argillite_brick_n","#707070","7368816"
"born_in_chaos_v1:black_argillite_brick_slab","#707070","7368816"
"born_in_chaos_v1:black_argillite_brick_slab_n","#707070","7368816"
"born_in_chaos_v1:black_argillite_brick_stairs","#707070","7368816"
"born_in_chaos_v1:black_argillite_brick_stairs_n","#707070","7368816"
"born_in_chaos_v1:black_argillite_brick_wall","#707070","7368816"
"born_in_chaos_v1:black_argillite_brick_wall_n","#707070","7368816"
"born_in_chaos_v1:black_argillite_button","#707070","7368816"
"born_in_chaos_v1:black_argillite_column","#707070","7368816"
"born_in_chaos_v1:black_argillite_column_n","#707070","7368816"
"born_in_chaos_v1:black_argillite_column_slab","#707070","7368816"
"born_in_chaos_v1:black_argillite_column_slab_n","#707070","7368816"
"born_in_chaos_v1:black_argillite_n","#707070","7368816"
"born_in_chaos_v1:black_argillite_slab","#707070","7368816"
"born_in_chaos_v1:black_argillite_slab_n","#707070","7368816"
"born_in_chaos_v1:black_argillite_stairs","#707070","7368816"
"born_in_chaos_v1:black_argillite_stairs_n","#707070","7368816"
"born_in_chaos_v1:black_argillite_wall","#707070","7368816"
"born_in_chaos_v1:black_argillite_wall_n","#707070","7368816"
"born_in_chaos_v1:black_argillitepressureplate","#707070","7368816"
"born_in_chaos_v1:bundle_of_bones","#707070","7368816"
"born_in_chaos_v1:c_black_argillite_brick_n","#707070","7368816"
"born_in_chaos_v1:carved_black_argillite","#707070","7368816"
"born_in_chaos_v1:carved_black_argillite_n","#707070","7368816"
"born_in_chaos_v1:chipped_black_argillite_brick","#707070","7368816"
"born_in_chaos_v1:closed_hound_trap","#A7A7A7","10987431"
"born_in_chaos_v1:cultivated_pumpkin","#007C00","31744"
"born_in_chaos_v1:cursed_scarlet_ornate_glass_pane","#000000","0"
"born_in_chaos_v1:dark_grid","#A7A7A7","10987431"
"born_in_chaos_v1:dark_metal_block","#A7A7A7","10987431"
"born_in_chaos_v1:dark_metal_deposit","#707070","7368816"
"born_in_chaos_v1:dark_stained_glass","#000000","0"
"born_in_chaos_v1:dark_stained_glass_panel","#000000","0"
"born_in_chaos_v1:evil_carved_pumpkin","#007C00","31744"
"born_in_chaos_v1:fel_soil","#707070","7368816"
"born_in_chaos_v1:fel_soil_destructible","#707070","7368816"
"born_in_chaos_v1:fired_black_argillite","#707070","7368816"
"born_in_chaos_v1:fired_black_argillite_n","#707070","7368816"
"born_in_chaos_v1:flaming_evil_pumpkin","#007C00","31744"
"born_in_chaos_v1:fragile_scorched_boards","#8F7748","9402184"
"born_in_chaos_v1:gnawed_bones","#707070","7368816"
"born_in_chaos_v1:green_stained_glass","#000000","0"
"born_in_chaos_v1:green_stained_glass_panel","#000000","0"
"born_in_chaos_v1:hound_trap","#A7A7A7","10987431"
"born_in_chaos_v1:infected_deepslate_diamond_ore","#707070","7368816"
"born_in_chaos_v1:infected_diamond_ore","#707070","7368816"
"born_in_chaos_v1:infernal_evil_pumpkin","#007C00","31744"
"born_in_chaos_v1:infernal_evil_pumpkin_s","#007C00","31744"
"born_in_chaos_v1:marigolds","#007C00","31744"
"born_in_chaos_v1:mesh_door","#A7A7A7","10987431"
"born_in_chaos_v1:mossy_black_argillite_brick","#707070","7368816"
"born_in_chaos_v1:mossy_black_argillite_brick_n","#707070","7368816"
"born_in_chaos_v1:nightmare_stalker_skull","#707070","7368816"
"born_in_chaos_v1:orange_stained_glass","#000000","0"
"born_in_chaos_v1:orange_stained_glass_panel","#000000","0"
"born_in_chaos_v1:pile_of_skulls","#707070","7368816"
