"Mod name","Registry name","Effect Name","ID","Color","Is Bad","Is Beneficial"
"Born in Chaos","born_in_chaos_v1:infestationof_flies","effect.born_in_chaos_v1.infestationof_flies",108,"0xFF56554D ( -11119283)","false","false"
"Born in Chaos","born_in_chaos_v1:intoxication","effect.born_in_chaos_v1.intoxication",100,"0xFF80317A (  -8375942)","true","false"
"Born in Chaos","born_in_chaos_v1:jawattack","effect.born_in_chaos_v1.jawattack",117,"0xFF51554D ( -11446963)","true","false"
"Born in Chaos","born_in_chaos_v1:light_rampage","effect.born_in_chaos_v1.light_rampage",92,"0xFF7F0000 (  -8454144)","false","true"
"Born in Chaos","born_in_chaos_v1:living_bomb","effect.born_in_chaos_v1.living_bomb",113,"0xFF7DC814 (  -8533996)","true","false"
"Born in Chaos","born_in_chaos_v1:magic_depletion","effect.born_in_chaos_v1.magic_depletion",90,"0xFF4A2425 ( -11918299)","true","false"
"Born in Chaos","born_in_chaos_v1:medium_rampage","effect.born_in_chaos_v1.medium_rampage",93,"0xFF9C0000 (  -6553600)","false","true"
"Born in Chaos","born_in_chaos_v1:myiasis","effect.born_in_chaos_v1.myiasis",109,"0xFF622630 ( -10344912)","true","false"
"Born in Chaos","born_in_chaos_v1:rampant_rampage","effect.born_in_chaos_v1.rampant_rampage",96,"0xFFCB0A10 (  -3470832)","false","true"
"Born in Chaos","born_in_chaos_v1:rotten_smell","effect.born_in_chaos_v1.rotten_smell",107,"0xFF52673D ( -11376835)","true","false"
"Born in Chaos","born_in_chaos_v1:sacrifice","effect.born_in_chaos_v1.sacrifice",103,"0xFF2C2D31 ( -13882063)","true","false"
"Born in Chaos","born_in_chaos_v1:soul_stratification","effect.born_in_chaos_v1.soul_stratification",99,"0xFF639420 ( -10251232)","true","false"
"Born in Chaos","born_in_chaos_v1:strong_rampage","effect.born_in_chaos_v1.strong_rampage",94,"0xFFBA0000 (  -4587520)","false","true"
"Born in Chaos","born_in_chaos_v1:stun","effect.born_in_chaos_v1.stun",91,"0xFFEBDE46 (  -1319354)","true","false"
"Born in Chaos","born_in_chaos_v1:undead_summonun","effect.born_in_chaos_v1.undead_summonun",116,"0xFF354E2E ( -13283794)","false","false"
"Born in Chaos","born_in_chaos_v1:unity_with_darkness","effect.born_in_chaos_v1.unity_with_darkness",114,"0xFF090909 ( -16185079)","false","false"
"CoFH Core","cofh_core:chilled","effect.cofh_core.chilled",54,"0x0086AEFD (   8826621)","true","false"
"CoFH Core","cofh_core:clarity","effect.cofh_core.clarity",48,"0x0070FF00 (   7405312)","false","true"
"CoFH Core","cofh_core:cold_resistance","effect.cofh_core.cold_resistance",43,"0x0078B5E5 (   7910885)","false","true"
"CoFH Core","cofh_core:enderference","effect.cofh_core.enderference",52,"0x00093755 (    603989)","false","false"
"CoFH Core","cofh_core:explosion_resistance","effect.cofh_core.explosion_resistance",44,"0x000F0A18 (    985624)","false","true"
"CoFH Core","cofh_core:lightning_resistance","effect.cofh_core.lightning_resistance",45,"0x00A0A0A0 (  10526880)","false","true"
"CoFH Core","cofh_core:love","effect.cofh_core.love",49,"0x00FF7099 (  16740505)","false","true"
"CoFH Core","cofh_core:magic_resistance","effect.cofh_core.magic_resistance",46,"0x00580058 (   5767256)","false","true"
"CoFH Core","cofh_core:panacea","effect.cofh_core.panacea",50,"0x00769CD7 (   7773399)","false","true"
"CoFH Core","cofh_core:shocked","effect.cofh_core.shocked",55,"0x00FFF4A5 (  16774309)","true","false"
"CoFH Core","cofh_core:slimed","effect.cofh_core.slimed",53,"0x008CD782 (   9230210)","false","false"
"CoFH Core","cofh_core:sundered","effect.cofh_core.sundered",56,"0x008C6A5C (   9202268)","true","false"
"CoFH Core","cofh_core:supercharge","effect.cofh_core.supercharge",47,"0x00CC1FFF (  13377535)","false","true"
"CoFH Core","cofh_core:true_invisibility","effect.cofh_core.true_invisibility",51,"0x007F8392 (   8356754)","false","true"
"CoFH Core","cofh_core:wrenched","effect.cofh_core.wrenched",57,"0x00FF900A (  16748554)","true","false"
"Desolation (Forge)","desolation:potion_of_cinder_soul","effect.desolation.potion_of_cinder_soul",118,"0xFFFF6600 (    -39424)","false","true"
"EndlessBiomes","endlessbiomes:cowardice","effect.endlessbiomes.cowardice",159,"0xFF6BC6A2 (  -9714014)","true","false"
"EndlessBiomes","endlessbiomes:decay","effect.endlessbiomes.decay",158,"0xFF323232 ( -13487566)","true","false"
"EndlessBiomes","endlessbiomes:perplexion","effect.endlessbiomes.perplexion",156,"0xFF552885 ( -11196283)","true","false"
"EndlessBiomes","endlessbiomes:tough_dirt","effect.endlessbiomes.tough_dirt",157,"0xFF79553A (  -8825542)","true","false"
"EndlessBiomes","endlessbiomes:truth","effect.endlessbiomes.truth",154,"0xFF8C569E (  -7580002)","true","false"
"EndlessBiomes","endlessbiomes:weight","effect.endlessbiomes.weight",155,"0xFFBB4242 (  -4505022)","true","false"
"Farmer's Delight","farmersdelight:comfort","effect.farmersdelight.comfort",89,"0x00000000 (         0)","false","true"
"Farmer's Delight","farmersdelight:nourishment","effect.farmersdelight.nourishment",88,"0x00000000 (         0)","false","true"
"Infernal Expansion","infernalexp:infection","effect.infernalexp.infection",34,"0x00C42B32 (  12856114)","true","false"
"Infernal Expansion","infernalexp:luminous","effect.infernalexp.luminous",0,"0x00DCBC82 (  14466178)","false","false"
"Minecraft","minecraft:absorption","effect.minecraft.absorption",22,"0x002552A5 (   2445989)","false","true"
"Minecraft","minecraft:bad_omen","effect.minecraft.bad_omen",31,"0x000B6138 (    745784)","false","false"
"Minecraft","minecraft:blindness","effect.minecraft.blindness",15,"0x001F1F23 (   2039587)","true","false"
"Minecraft","minecraft:conduit_power","effect.minecraft.conduit_power",29,"0x001DC2D1 (   1950417)","false","true"
"Minecraft","minecraft:darkness","effect.minecraft.darkness",33,"0x00292721 (   2696993)","true","false"
"Minecraft","minecraft:dolphins_grace","effect.minecraft.dolphins_grace",30,"0x0088A3BE (   8954814)","false","true"
"Minecraft","minecraft:fire_resistance","effect.minecraft.fire_resistance",12,"0x00E49A3A (  14981690)","false","true"
"Minecraft","minecraft:glowing","effect.minecraft.glowing",24,"0x0094A061 (   9740385)","false","false"
"Minecraft","minecraft:haste","effect.minecraft.haste",3,"0x00D9C043 (  14270531)","false","true"
"Minecraft","minecraft:health_boost","effect.minecraft.health_boost",21,"0x00F87D23 (  16284963)","false","true"
"Minecraft","minecraft:hero_of_the_village","effect.minecraft.hero_of_the_village",32,"0x0044FF44 (   4521796)","false","true"
"Minecraft","minecraft:hunger","effect.minecraft.hunger",17,"0x00587653 (   5797459)","true","false"
"Minecraft","minecraft:instant_damage","effect.minecraft.instant_damage",7,"0x00430A09 (   4393481)","true","false"
"Minecraft","minecraft:instant_health","effect.minecraft.instant_health",6,"0x00F82423 (  16262179)","false","true"
"Minecraft","minecraft:invisibility","effect.minecraft.invisibility",14,"0x007F8392 (   8356754)","false","true"
"Minecraft","minecraft:jump_boost","effect.minecraft.jump_boost",8,"0x0022FF4C (   2293580)","false","true"
"Minecraft","minecraft:levitation","effect.minecraft.levitation",25,"0x00CEFFFF (  13565951)","true","false"
"Minecraft","minecraft:luck","effect.minecraft.luck",26,"0x00339900 (   3381504)","false","true"
"Minecraft","minecraft:mining_fatigue","effect.minecraft.mining_fatigue",4,"0x004A4217 (   4866583)","true","false"
"Minecraft","minecraft:nausea","effect.minecraft.nausea",9,"0x00551D4A (   5578058)","true","false"
"Minecraft","minecraft:night_vision","effect.minecraft.night_vision",16,"0x001F1FA1 (   2039713)","false","true"
"Minecraft","minecraft:poison","effect.minecraft.poison",19,"0x004E9331 (   5149489)","true","false"
"Minecraft","minecraft:regeneration","effect.minecraft.regeneration",10,"0x00CD5CAB (  13458603)","false","true"
"Minecraft","minecraft:resistance","effect.minecraft.resistance",11,"0x0099453A (  10044730)","false","true"
"Minecraft","minecraft:saturation","effect.minecraft.saturation",23,"0x00F82423 (  16262179)","false","true"
"Minecraft","minecraft:slow_falling","effect.minecraft.slow_falling",28,"0x00FFEFD1 (  16773073)","false","true"
"Minecraft","minecraft:slowness","effect.minecraft.slowness",2,"0x005A6C81 (   5926017)","true","false"
"Minecraft","minecraft:speed","effect.minecraft.speed",1,"0x007CAFC6 (   8171462)","false","true"
"Minecraft","minecraft:strength","effect.minecraft.strength",5,"0x00932423 (   9643043)","false","true"
"Minecraft","minecraft:unluck","effect.minecraft.unluck",27,"0x00C0A44D (  12624973)","true","false"
"Minecraft","minecraft:water_breathing","effect.minecraft.water_breathing",13,"0x002E5299 (   3035801)","false","true"
"Minecraft","minecraft:weakness","effect.minecraft.weakness",18,"0x00484D48 (   4738376)","true","false"
"Minecraft","minecraft:wither","effect.minecraft.wither",20,"0x00352A27 (   3484199)","true","false"
"Mowzie's Mobs","mowziesmobs:frozen","effect.mowziesmobs.frozen",40,"0x00D8E7FF (  14215167)","true","false"
"Mowzie's Mobs","mowziesmobs:geomancy","effect.mowziesmobs.geomancy",39,"0x00CDFF78 (  13500280)","false","true"
"Mowzie's Mobs","mowziesmobs:poison_resist","effect.mowziesmobs.poison_resist",41,"0x0066FF33 (   6750003)","false","true"
"Mowzie's Mobs","mowziesmobs:sunblock","effect.mowziesmobs.sunblock",42,"0x00FFDF42 (  16768834)","false","true"
"Mowzie's Mobs","mowziesmobs:suns_blessing","effect.mowziesmobs.suns_blessing",38,"0x00FFDF42 (  16768834)","false","true"
"Quark","quark:resilience","effect.quark.resilience",152,"0x005B1A04 (   5970436)","false","true"
"Savage & Ravage","savage_and_ravage:weight","effect.savage_and_ravage.weight",119,"0x004C5367 (   5002087)","true","false"
"Simply Swords","simplyswords:battle_fatigue","effect.simplyswords.battle_fatigue",151,"0x0011294F (   1124687)","true","false"
"Simply Swords","simplyswords:echo","effect.simplyswords.echo",149,"0x0011294F (   1124687)","true","false"
"Simply Swords","simplyswords:freeze","effect.simplyswords.freeze",146,"0x0011294F (   1124687)","true","false"
"Simply Swords","simplyswords:immolation","effect.simplyswords.immolation",148,"0x0011294F (   1124687)","false","true"
"Simply Swords","simplyswords:omen","effect.simplyswords.omen",142,"0x0011294F (   1124687)","true","false"
"Simply Swords","simplyswords:onslaught","effect.simplyswords.onslaught",150,"0x0011294F (   1124687)","false","true"
"Simply Swords","simplyswords:storm","effect.simplyswords.storm",145,"0x0011294F (   1124687)","true","false"
"Simply Swords","simplyswords:ward","effect.simplyswords.ward",147,"0x0011294F (   1124687)","false","true"
"Simply Swords","simplyswords:watcher","effect.simplyswords.watcher",143,"0x0011294F (   1124687)","true","false"
"Simply Swords","simplyswords:wildfire","effect.simplyswords.wildfire",144,"0x0011294F (   1124687)","true","false"
"Supplementaries","supplementaries:overencumbered","effect.supplementaries.overencumbered",153,"0x006C451F (   7095583)","true","false"
"Tinkers' Construct","tconstruct:bleeding","effect.tconstruct.bleeding",127,"0x00A80000 (  11010048)","true","false"
"Tinkers' Construct","tconstruct:calcified","effect.tconstruct.calcified",133,"0xFFFFFFFF (        -1)","false","true"
"Tinkers' Construct","tconstruct:carry","effect.tconstruct.carry",126,"0x00FFFFFF (  16777215)","false","false"
"Tinkers' Construct","tconstruct:enderference","effect.tconstruct.enderference",130,"0x008F648F (   9397391)","true","false"
"Tinkers' Construct","tconstruct:fireball_cooldown","effect.tconstruct.fireball_cooldown",132,"0x00FC9600 (  16553472)","true","false"
"Tinkers' Construct","tconstruct:insatiable_armor","effect.tconstruct.insatiable_armor",141,"0x009261CC (   9593292)","false","true"
"Tinkers' Construct","tconstruct:insatiable_melee","effect.tconstruct.insatiable_melee",139,"0x009261CC (   9593292)","false","true"
"Tinkers' Construct","tconstruct:insatiable_ranged","effect.tconstruct.insatiable_ranged",140,"0x009261CC (   9593292)","false","true"
"Tinkers' Construct","tconstruct:magnetic","effect.tconstruct.magnetic",128,"0x00720000 (   7471104)","false","true"
"Tinkers' Construct","tconstruct:momentum_armor","effect.tconstruct.momentum_armor",138,"0x0060496B (   6310251)","false","true"
"Tinkers' Construct","tconstruct:momentum_harvest","effect.tconstruct.momentum_harvest",136,"0x0060496B (   6310251)","false","true"
"Tinkers' Construct","tconstruct:momentum_ranged","effect.tconstruct.momentum_ranged",137,"0x0060496B (   6310251)","false","true"
"Tinkers' Construct","tconstruct:pierce","effect.tconstruct.pierce",135,"0x00D1D37A (  13751162)","true","false"
"Tinkers' Construct","tconstruct:repulsive","effect.tconstruct.repulsive",129,"0x00727272 (   7500402)","false","true"
"Tinkers' Construct","tconstruct:self_destructing","effect.tconstruct.self_destructing",134,"0x0059D24A (   5886538)","true","false"
"Tinkers' Construct","tconstruct:teleport_cooldown","effect.tconstruct.teleport_cooldown",131,"0x00CC00FA (  13369594)","true","false"
"Unusual End","unusualend:building_inability","effect.unusualend.building_inability",36,"0xFF323232 ( -13487566)","true","false"
"Unusual End","unusualend:ender_infection","effect.unusualend.ender_infection",35,"0xFF105E51 ( -15704495)","true","false"
"Unusual End","unusualend:heaviness","effect.unusualend.heaviness",37,"0xFF006666 ( -16751002)","true","false"
"Upgrade Aquatic","upgrade_aquatic:insomnia","effect.upgrade_aquatic.insomnia",120,"0x00A075B4 (  10515892)","true","false"
"Upgrade Aquatic","upgrade_aquatic:repellence","effect.upgrade_aquatic.repellence",122,"0x00B1F6E9 (  11663081)","false","false"
"Upgrade Aquatic","upgrade_aquatic:restfulness","effect.upgrade_aquatic.restfulness",121,"0x00B48675 (  11830901)","false","true"
"Upgrade Aquatic","upgrade_aquatic:vibing","effect.upgrade_aquatic.vibing",123,"0x00FFB5F4 (  16758260)","false","false"
"Xaero's Minimap","xaerominimap:no_cave_maps","effect.xaerominimap.no_cave_maps",64,"0xFF000000 ( -16777216)","false","false"
"Xaero's Minimap","xaerominimap:no_cave_maps_harmful","effect.xaerominimap.no_cave_maps_harmful",65,"0xFF000000 ( -16777216)","true","false"
"Xaero's Minimap","xaerominimap:no_entity_radar","effect.xaerominimap.no_entity_radar",60,"0xFF000000 ( -16777216)","false","false"
"Xaero's Minimap","xaerominimap:no_entity_radar_harmful","effect.xaerominimap.no_entity_radar_harmful",61,"0xFF000000 ( -16777216)","true","false"
"Xaero's Minimap","xaerominimap:no_minimap","effect.xaerominimap.no_minimap",58,"0xFF000000 ( -16777216)","false","false"
"Xaero's Minimap","xaerominimap:no_minimap_harmful","effect.xaerominimap.no_minimap_harmful",59,"0xFF000000 ( -16777216)","true","false"
"Xaero's Minimap","xaerominimap:no_waypoints","effect.xaerominimap.no_waypoints",62,"0xFF000000 ( -16777216)","false","false"
"Xaero's Minimap","xaerominimap:no_waypoints_harmful","effect.xaerominimap.no_waypoints_harmful",63,"0xFF000000 ( -16777216)","true","false"
"Xaero's World Map","xaeroworldmap:no_cave_maps","effect.xaeroworldmap.no_cave_maps",68,"0xFF000000 ( -16777216)","false","false"
"Xaero's World Map","xaeroworldmap:no_cave_maps_harmful","effect.xaeroworldmap.no_cave_maps_harmful",69,"0xFF000000 ( -16777216)","true","false"
"Xaero's World Map","xaeroworldmap:no_world_map","effect.xaeroworldmap.no_world_map",66,"0xFF000000 ( -16777216)","false","false"
"Xaero's World Map","xaeroworldmap:no_world_map_harmful","effect.xaeroworldmap.no_world_map_harmful",67,"0xFF000000 ( -16777216)","true","false"
