"Registry name","Name","Type","Rarity","ID"
"domesticationinnovation:immunity_frame","enchantment.domesticationinnovation.immunity_frame","pet","UNCOMMON (5)",54
"domesticationinnovation:infamy_curse","enchantment.domesticationinnovation.infamy_curse","pet","VERY_RARE (1)",84
"domesticationinnovation:intimidation","enchantment.domesticationinnovation.intimidation","pet","UNCOMMON (5)",77
"domesticationinnovation:linked_inventory","enchantment.domesticationinnovation.linked_inventory","pet","COMMON (10)",61
"domesticationinnovation:magnetic","enchantment.domesticationinnovation.magnetic","pet","RARE (2)",60
"domesticationinnovation:muffled","enchantment.domesticationinnovation.muffled","pet","VERY_RARE (1)",79
"domesticationinnovation:ore_scenting","enchantment.domesticationinnovation.ore_scenting","pet","VERY_RARE (1)",74
"domesticationinnovation:poison_resistance","enchantment.domesticationinnovation.poison_resistance","pet","COMMON (10)",56
"domesticationinnovation:psychic_wall","enchantment.domesticationinnovation.psychic_wall","pet","VERY_RARE (1)",76
"domesticationinnovation:rejuvenation","enchantment.domesticationinnovation.rejuvenation","pet","UNCOMMON (5)",82
"domesticationinnovation:shadow_hands","enchantment.domesticationinnovation.shadow_hands","pet","VERY_RARE (1)",70
"domesticationinnovation:speedster","enchantment.domesticationinnovation.speedster","pet","RARE (2)",58
"domesticationinnovation:tethered_teleport","enchantment.domesticationinnovation.tethered_teleport","pet","COMMON (10)",78
"domesticationinnovation:total_recall","enchantment.domesticationinnovation.total_recall","pet","UNCOMMON (5)",62
"domesticationinnovation:undead_curse","enchantment.domesticationinnovation.undead_curse","pet","VERY_RARE (1)",83
"domesticationinnovation:vampire","enchantment.domesticationinnovation.vampire","pet","VERY_RARE (1)",67
"domesticationinnovation:void_cloud","enchantment.domesticationinnovation.void_cloud","pet","VERY_RARE (1)",68
"domesticationinnovation:warping_bite","enchantment.domesticationinnovation.warping_bite","pet","RARE (2)",73
"endlessbiomes:shared_pain","enchantment.endlessbiomes.shared_pain","WEAPON","RARE (2)",90
"endlessbiomes:vwooping","enchantment.endlessbiomes.vwooping","ARMOR_CHEST","RARE (2)",89
"farmersdelight:backstabbing","enchantment.farmersdelight.backstabbing","knife","UNCOMMON (5)",87
"mace_port:breach","enchantment.mace_port.breach","mace","RARE (2)",45
"mace_port:density","enchantment.mace_port.density","mace","COMMON (10)",44
"mace_port:wind_burst","enchantment.mace_port.wind_burst","mace","VERY_RARE (1)",46
"minecraft:aqua_affinity","enchantment.minecraft.aqua_affinity","ARMOR_HEAD","RARE (2)",6
"minecraft:bane_of_arthropods","enchantment.minecraft.bane_of_arthropods","WEAPON","UNCOMMON (5)",15
"minecraft:binding_curse","enchantment.minecraft.binding_curse","WEARABLE","VERY_RARE (1)",10
"minecraft:blast_protection","enchantment.minecraft.blast_protection","ARMOR","RARE (2)",3
"minecraft:channeling","enchantment.minecraft.channeling","TRIDENT","VERY_RARE (1)",33
"minecraft:depth_strider","enchantment.minecraft.depth_strider","ARMOR_FEET","RARE (2)",8
"minecraft:efficiency","enchantment.minecraft.efficiency","DIGGER","COMMON (10)",20
"minecraft:feather_falling","enchantment.minecraft.feather_falling","ARMOR_FEET","UNCOMMON (5)",2
"minecraft:fire_aspect","enchantment.minecraft.fire_aspect","WEAPON","RARE (2)",17
"minecraft:fire_protection","enchantment.minecraft.fire_protection","ARMOR","UNCOMMON (5)",1
"minecraft:flame","enchantment.minecraft.flame","BOW","RARE (2)",26
"minecraft:fortune","enchantment.minecraft.fortune","DIGGER","RARE (2)",23
"minecraft:frost_walker","enchantment.minecraft.frost_walker","ARMOR_FEET","RARE (2)",9
"minecraft:impaling","enchantment.minecraft.impaling","TRIDENT","RARE (2)",31
"minecraft:infinity","enchantment.minecraft.infinity","BOW","VERY_RARE (1)",27
"minecraft:knockback","enchantment.minecraft.knockback","WEAPON","UNCOMMON (5)",16
"minecraft:looting","enchantment.minecraft.looting","WEAPON","RARE (2)",18
"minecraft:loyalty","enchantment.minecraft.loyalty","TRIDENT","UNCOMMON (5)",30
"minecraft:luck_of_the_sea","enchantment.minecraft.luck_of_the_sea","FISHING_ROD","RARE (2)",28
"minecraft:lure","enchantment.minecraft.lure","FISHING_ROD","RARE (2)",29
"minecraft:mending","enchantment.minecraft.mending","BREAKABLE","RARE (2)",37
"minecraft:multishot","enchantment.minecraft.multishot","CROSSBOW","RARE (2)",34
"minecraft:piercing","enchantment.minecraft.piercing","CROSSBOW","COMMON (10)",36
"minecraft:power","enchantment.minecraft.power","BOW","COMMON (10)",24
"minecraft:projectile_protection","enchantment.minecraft.projectile_protection","ARMOR","UNCOMMON (5)",4
"minecraft:protection","enchantment.minecraft.protection","ARMOR","COMMON (10)",0
"minecraft:punch","enchantment.minecraft.punch","BOW","RARE (2)",25
"minecraft:quick_charge","enchantment.minecraft.quick_charge","CROSSBOW","UNCOMMON (5)",35
"minecraft:respiration","enchantment.minecraft.respiration","ARMOR_HEAD","RARE (2)",5
"minecraft:riptide","enchantment.minecraft.riptide","TRIDENT","RARE (2)",32
"minecraft:sharpness","enchantment.minecraft.sharpness","WEAPON","COMMON (10)",13
"minecraft:silk_touch","enchantment.minecraft.silk_touch","DIGGER","VERY_RARE (1)",21
"minecraft:smite","enchantment.minecraft.smite","WEAPON","UNCOMMON (5)",14
"minecraft:soul_speed","enchantment.minecraft.soul_speed","ARMOR_FEET","VERY_RARE (1)",11
"minecraft:sweeping","enchantment.minecraft.sweeping","WEAPON","RARE (2)",19
"minecraft:swift_sneak","enchantment.minecraft.swift_sneak","ARMOR_LEGS","VERY_RARE (1)",12
"minecraft:thorns","enchantment.minecraft.thorns","ARMOR_CHEST","VERY_RARE (1)",7
"minecraft:unbreaking","enchantment.minecraft.unbreaking","BREAKABLE","UNCOMMON (5)",22
"minecraft:vanishing_curse","enchantment.minecraft.vanishing_curse","VANISHABLE","VERY_RARE (1)",38
"nyfsquiver:cycling_enchant","enchantment.nyfsquiver.cycling_enchant","quiver","VERY_RARE (1)",40
"nyfsquiver:meld_enchant","enchantment.nyfsquiver.meld_enchant","WEARABLE","VERY_RARE (1)",39
"nyfsquiver:quinfinity_enchant","enchantment.nyfsquiver.quinfinity_enchant","quiver","VERY_RARE (1)",41
"supplementaries:stasis","enchantment.supplementaries.stasis","CROSSBOW","VERY_RARE (1)",88
"unusualend:boloks_fury","enchantment.unusualend.boloks_fury","axe","RARE (2)",43
"unusualend:everlasting","enchantment.unusualend.everlasting","BREAKABLE","RARE (2)",42
