+-------------------------+---------------+-------+------------------+----------------+------------------------------+
| Registry name           | Profession    | Level | Buy 1            | Buy 2          | Sell                         |
|                         |               |       | Emerald          |                | Light Gray Bedroll           |
|                         |               |       | Emerald          |                | Cyan Bedroll                 |
|                         |               |       | Emerald          |                | Purple Bedroll               |
|                         |               |       | Emerald          |                | Blue Bedroll                 |
|                         |               |       | Emerald          |                | Brown Bedroll                |
|                         |               |       | Emerald          |                | Green Bedroll                |
|                         |               |       | Emerald          |                | Red Bedroll                  |
|                         |               |       | Emerald          |                | Black Bedroll                |
|                         |               | 3     |                  |                |                              |
|                         |               |       | Rabbit Hide      |                | Emerald                      |
|                         |               |       | Emerald          |                | Leather Tunic                |
|                         |               | 4     |                  |                |                              |
|                         |               |       | Scute            |                | Emerald                      |
|                         |               |       | Emerald          |                | Leather Horse Armor          |
|                         |               | 5     |                  |                |                              |
|                         |               |       | Emerald          |                | Saddle                       |
|                         |               |       | Emerald          |                | Leather Cap                  |
| minecraft:librarian     | librarian     |       |                  |                |                              |
|                         |               | 1     |                  |                |                              |
|                         |               |       | Paper            |                | Emerald                      |
|                         |               |       | Emerald          | Book           | Enchanted Book               |
|                         |               |       | Emerald          |                | Oak Bookshelf                |
|                         |               | 2     |                  |                |                              |
|                         |               |       | Book             |                | Emerald                      |
|                         |               |       | Emerald          | Book           | Enchanted Book               |
|                         |               |       | Emerald          |                | Lantern                      |
|                         |               | 3     |                  |                |                              |
|                         |               |       | Ink Sac          |                | Emerald                      |
|                         |               |       | Emerald          | Book           | Enchanted Book               |
|                         |               |       | Emerald          |                | Bordered Glass               |
|                         |               | 4     |                  |                |                              |
|                         |               |       | Book and Quill   |                | Emerald                      |
|                         |               |       | Emerald          | Book           | Enchanted Book               |
|                         |               |       | Emerald          |                | Clock                        |
|                         |               |       | Emerald          |                | Compass                      |
|                         |               | 5     |                  |                |                              |
|                         |               |       | Emerald          |                | Name Tag                     |
|                         |               |       | Ancient Tome     | Enchanted Book | Ancient Tome                 |
| minecraft:mason         | mason         |       |                  |                |                              |
|                         |               | 1     |                  |                |                              |
|                         |               |       | Clay Ball        |                | Emerald                      |
|                         |               |       | Emerald          |                | Brick                        |
|                         |               |       | Emerald          |                | Ash Brick                    |
|                         |               | 2     |                  |                |                              |
|                         |               |       | Stone            |                | Emerald                      |
|                         |               |       | Emerald          |                | Chiseled Stone Bricks        |
|                         |               | 3     |                  |                |                              |
|                         |               |       | Granite          |                | Emerald                      |
|                         |               |       | Andesite         |                | Emerald                      |
|                         |               |       | Diorite          |                | Emerald                      |
|                         |               |       | Emerald          |                | Dripstone Block              |
|                         |               |       | Emerald          |                | Polished Andesite            |
|                         |               |       | Emerald          |                | Polished Diorite             |
|                         |               |       | Emerald          |                | Polished Granite             |
|                         |               | 4     |                  |                |                              |
|                         |               |       | Nether Quartz    |                | Emerald                      |
|                         |               |       | Emerald          |                | Orange Terracotta            |
|                         |               |       | Emerald          |                | White Terracotta             |
|                         |               |       | Emerald          |                | Blue Terracotta              |
|                         |               |       | Emerald          |                | Light Blue Terracotta        |
|                         |               |       | Emerald          |                | Gray Terracotta              |
|                         |               |       | Emerald          |                | Light Gray Terracotta        |
|                         |               |       | Emerald          |                | Black Terracotta             |
|                         |               |       | Emerald          |                | Red Terracotta               |
|                         |               |       | Emerald          |                | Pink Terracotta              |
|                         |               |       | Emerald          |                | Magenta Terracotta           |
|                         |               |       | Emerald          |                | Lime Terracotta              |
|                         |               |       | Emerald          |                | Green Terracotta             |
|                         |               |       | Emerald          |                | Cyan Terracotta              |
|                         |               |       | Emerald          |                | Purple Terracotta            |
|                         |               |       | Emerald          |                | Yellow Terracotta            |
|                         |               |       | Emerald          |                | Brown Terracotta             |
|                         |               |       | Emerald          |                | Orange Glazed Terracotta     |
|                         |               |       | Emerald          |                | White Glazed Terracotta      |
|                         |               |       | Emerald          |                | Blue Glazed Terracotta       |
|                         |               |       | Emerald          |                | Light Blue Glazed Terracotta |
|                         |               |       | Emerald          |                | Gray Glazed Terracotta       |
|                         |               |       | Emerald          |                | Light Gray Glazed Terracotta |
|                         |               |       | Emerald          |                | Black Glazed Terracotta      |
|                         |               |       | Emerald          |                | Red Glazed Terracotta        |
|                         |               |       | Emerald          |                | Pink Glazed Terracotta       |
|                         |               |       | Emerald          |                | Magenta Glazed Terracotta    |
|                         |               |       | Emerald          |                | Lime Glazed Terracotta       |
|                         |               |       | Emerald          |                | Green Glazed Terracotta      |
|                         |               |       | Emerald          |                | Cyan Glazed Terracotta       |
|                         |               |       | Emerald          |                | Purple Glazed Terracotta     |
|                         |               |       | Emerald          |                | Yellow Glazed Terracotta     |
|                         |               |       | Emerald          |                | Brown Glazed Terracotta      |
|                         |               | 5     |                  |                |                              |
|                         |               |       | Emerald          |                | Quartz Pillar                |
|                         |               |       | Emerald          |                | Block of Quartz              |
|                         |               |       | Emerald          |                | Tooth Tiles                  |
|                         |               |       | Emerald          |                | Tooth Bricks                 |
| minecraft:nitwit        | nitwit        |       |                  |                |                              |
|                         |               | 1     |                  |                |                              |
|                         |               | 2     |                  |                |                              |
|                         |               | 3     |                  |                |                              |
|                         |               | 4     |                  |                |                              |
|                         |               | 5     |                  |                |                              |
| minecraft:none          | none          |       |                  |                |                              |
|                         |               | 1     |                  |                |                              |
|                         |               | 2     |                  |                |                              |
|                         |               | 3     |                  |                |                              |
|                         |               | 4     |                  |                |                              |
|                         |               | 5     |                  |                |                              |
| minecraft:shepherd      | shepherd      |       |                  |                |                              |
|                         |               | 1     |                  |                |                              |
|                         |               |       | White Wool       |                | Emerald                      |
|                         |               |       | Brown Wool       |                | Emerald                      |
|                         |               |       | Black Wool       |                | Emerald                      |
|                         |               |       | Gray Wool        |                | Emerald                      |
|                         |               |       | Emerald          |                | Shears                       |
|                         |               | 2     |                  |                |                              |
|                         |               |       | White Dye        |                | Emerald                      |
|                         |               |       | Gray Dye         |                | Emerald                      |
|                         |               |       | Black Dye        |                | Emerald                      |
|                         |               |       | Light Blue Dye   |                | Emerald                      |
|                         |               |       | Lime Dye         |                | Emerald                      |
|                         |               |       | Emerald          |                | White Wool                   |
|                         |               |       | Emerald          |                | Orange Wool                  |
|                         |               |       | Emerald          |                | Magenta Wool                 |
|                         |               |       | Emerald          |                | Light Blue Wool              |
|                         |               |       | Emerald          |                | Yellow Wool                  |
|                         |               |       | Emerald          |                | Lime Wool                    |
|                         |               |       | Emerald          |                | Pink Wool                    |
|                         |               |       | Emerald          |                | Gray Wool                    |
|                         |               |       | Emerald          |                | Light Gray Wool              |
|                         |               |       | Emerald          |                | Cyan Wool                    |
|                         |               |       | Emerald          |                | Purple Wool                  |
|                         |               |       | Emerald          |                | Blue Wool                    |
|                         |               |       | Emerald          |                | Brown Wool                   |
|                         |               |       | Emerald          |                | Green Wool                   |
|                         |               |       | Emerald          |                | Red Wool                     |
|                         |               |       | Emerald          |                | Black Wool                   |
|                         |               |       | Emerald          |                | White Carpet                 |
|                         |               |       | Emerald          |                | Orange Carpet                |
|                         |               |       | Emerald          |                | Magenta Carpet               |
|                         |               |       | Emerald          |                | Light Blue Carpet            |
|                         |               |       | Emerald          |                | Yellow Carpet                |
|                         |               |       | Emerald          |                | Lime Carpet                  |
|                         |               |       | Emerald          |                | Pink Carpet                  |
|                         |               |       | Emerald          |                | Gray Carpet                  |
|                         |               |       | Emerald          |                | Light Gray Carpet            |
|                         |               |       | Emerald          |                | Cyan Carpet                  |
|                         |               |       | Emerald          |                | Purple Carpet                |
|                         |               |       | Emerald          |                | Blue Carpet                  |
|                         |               |       | Emerald          |                | Brown Carpet                 |
|                         |               |       | Emerald          |                | Green Carpet                 |
|                         |               |       | Emerald          |                | Red Carpet                   |
|                         |               |       | Emerald          |                | Black Carpet                 |
|                         |               | 3     |                  |                |                              |
|                         |               |       | Yellow Dye       |                | Emerald                      |
|                         |               |       | Light Gray Dye   |                | Emerald                      |
|                         |               |       | Orange Dye       |                | Emerald                      |
|                         |               |       | Red Dye          |                | Emerald                      |
|                         |               |       | Pink Dye         |                | Emerald                      |
|                         |               |       | Emerald          |                | White Bed                    |
|                         |               |       | Emerald          |                | Yellow Bed                   |
|                         |               |       | Emerald          |                | Red Bed                      |
|                         |               |       | Emerald          |                | Black Bed                    |
|                         |               |       | Emerald          |                | Blue Bed                     |
|                         |               |       | Emerald          |                | Brown Bed                    |
|                         |               |       | Emerald          |                | Cyan Bed                     |
|                         |               |       | Emerald          |                | Gray Bed                     |
|                         |               |       | Emerald          |                | Green Bed                    |
|                         |               |       | Emerald          |                | Light Blue Bed               |
|                         |               |       | Emerald          |                | Light Gray Bed               |
|                         |               |       | Emerald          |                | Lime Bed                     |
|                         |               |       | Emerald          |                | Magenta Bed                  |
|                         |               |       | Emerald          |                | Orange Bed                   |
|                         |               |       | Emerald          |                | Pink Bed                     |
|                         |               |       | Emerald          |                | Purple Bed                   |
|                         |               | 4     |                  |                |                              |
|                         |               |       | Brown Dye        |                | Emerald                      |
|                         |               |       | Purple Dye       |                | Emerald                      |
|                         |               |       | Blue Dye         |                | Emerald                      |
|                         |               |       | Green Dye        |                | Emerald                      |
|                         |               |       | Magenta Dye      |                | Emerald                      |
|                         |               |       | Cyan Dye         |                | Emerald                      |
|                         |               |       | Emerald          |                | White Banner                 |
|                         |               |       | Emerald          |                | Blue Banner                  |
|                         |               |       | Emerald          |                | Light Blue Banner            |
|                         |               |       | Emerald          |                | Red Banner                   |
|                         |               |       | Emerald          |                | Pink Banner                  |
|                         |               |       | Emerald          |                | Green Banner                 |
|                         |               |       | Emerald          |                | Lime Banner                  |
|                         |               |       | Emerald          |                | Gray Banner                  |
|                         |               |       | Emerald          |                | Black Banner                 |
|                         |               |       | Emerald          |                | Purple Banner                |
|                         |               |       | Emerald          |                | Magenta Banner               |
|                         |               |       | Emerald          |                | Cyan Banner                  |
|                         |               |       | Emerald          |                | Brown Banner                 |
|                         |               |       | Emerald          |                | Yellow Banner                |
|                         |               |       | Emerald          |                | Orange Banner                |
|                         |               |       | Emerald          |                | Light Gray Banner            |
|                         |               | 5     |                  |                |                              |
|                         |               |       | Emerald          |                | Painting                     |
| minecraft:toolsmith     | toolsmith     |       |                  |                |                              |
|                         |               | 1     |                  |                |                              |
|                         |               |       | Coal             |                | Emerald                      |
|                         |               |       | Emerald          |                | Stone Axe                    |
|                         |               |       | Emerald          |                | Stone Shovel                 |
|                         |               |       | Emerald          |                | [REMOVED] Stone Pickaxe      |
|                         |               |       | Emerald          |                | Stone Hoe                    |
|                         |               | 2     |                  |                |                              |
|                         |               |       | Iron Ingot       |                | Emerald                      |
|                         |               |       | Emerald          |                | Bell                         |
|                         |               | 3     |                  |                |                              |
|                         |               |       | Flint            |                | Emerald                      |
|                         |               |       | Emerald          |                | Iron Axe                     |
|                         |               |       | Emerald          |                | Iron Shovel                  |
|                         |               |       | Emerald          |                | [REMOVED] Iron Pickaxe       |
|                         |               |       | Emerald          |                | Diamond Hoe                  |
|                         |               | 4     |                  |                |                              |
|                         |               |       | Diamond          |                | Emerald                      |
|                         |               |       | Emerald          |                | Diamond Axe                  |
|                         |               |       | Emerald          |                | Diamond Shovel               |
|                         |               | 5     |                  |                |                              |
|                         |               |       | Emerald          |                | [REMOVED] Diamond Pickaxe    |
| minecraft:weaponsmith   | weaponsmith   |       |                  |                |                              |
|                         |               | 1     |                  |                |                              |
|                         |               |       | Coal             |                | Emerald                      |
|                         |               |       | Emerald          |                | Iron Axe                     |
|                         |               |       | Emerald          |                | Iron Sword                   |
|                         |               | 2     |                  |                |                              |
|                         |               |       | Iron Ingot       |                | Emerald                      |
|                         |               |       | Emerald          |                | Bell                         |
|                         |               | 3     |                  |                |                              |
|                         |               |       | Flint            |                | Emerald                      |
|                         |               | 4     |                  |                |                              |
|                         |               |       | Diamond          |                | Emerald                      |
|                         |               |       | Emerald          |                | Diamond Axe                  |
|                         |               | 5     |                  |                |                              |
|                         |               |       | Emerald          |                | Diamond Sword                |
+-------------------------+---------------+-------+------------------+----------------+------------------------------+
| Registry name           | Profession    | Level | Buy 1            | Buy 2          | Sell                         |
+-------------------------+---------------+-------+------------------+----------------+------------------------------+
