"Mod name","Registry name","ID","Category","Entity class name"
"Born in Chaos","born_in_chaos_v1:dread_hound",151,"monster","net.mcreator.borninchaosv.entity.DreadHoundEntity"
"Born in Chaos","born_in_chaos_v1:dread_hound_not_despawn",127,"monster","net.mcreator.borninchaosv.entity.DreadHoundNotDespawnEntity"
"Born in Chaos","born_in_chaos_v1:fallen_chaos_knight",153,"monster","net.mcreator.borninchaosv.entity.FallenChaosKnightEntity"
"Born in Chaos","born_in_chaos_v1:felsteed",179,"monster","net.mcreator.borninchaosv.entity.FelsteedEntity"
"Born in Chaos","born_in_chaos_v1:firelight",144,"monster","net.mcreator.borninchaosv.entity.FirelightEntity"
"Born in Chaos","born_in_chaos_v1:firelight_not_despawn",128,"monster","net.mcreator.borninchaosv.entity.FirelightNotDespawnEntity"
"Born in Chaos","born_in_chaos_v1:glutton_fish",166,"water_creature","net.mcreator.borninchaosv.entity.GluttonFishEntity"
"Born in Chaos","born_in_chaos_v1:infernal_spirit",131,"monster","net.mcreator.borninchaosv.entity.InfernalSpiritEntity"
"Born in Chaos","born_in_chaos_v1:lord_pumpkinhead",171,"monster","net.mcreator.borninchaosv.entity.LordPumpkinheadEntity"
"Born in Chaos","born_in_chaos_v1:lord_pumpkinhead_head",188,"monster","net.mcreator.borninchaosv.entity.LordPumpkinheadHeadEntity"
"Born in Chaos","born_in_chaos_v1:lord_pumpkinhead_withouta_horse",186,"monster","net.mcreator.borninchaosv.entity.LordPumpkinheadWithoutaHorseEntity"
"Born in Chaos","born_in_chaos_v1:lord_the_headless",187,"monster","net.mcreator.borninchaosv.entity.LordTheHeadlessEntity"
"Born in Chaos","born_in_chaos_v1:lords_felsteed",185,"monster","net.mcreator.borninchaosv.entity.LordsFelsteedEntity"
"Born in Chaos","born_in_chaos_v1:maggot",157,"monster","net.mcreator.borninchaosv.entity.MaggotEntity"
"Born in Chaos","born_in_chaos_v1:missioner",167,"monster","net.mcreator.borninchaosv.entity.MissionerEntity"
"Born in Chaos","born_in_chaos_v1:mr_pumpkin",168,"monster","net.mcreator.borninchaosv.entity.MrPumpkinEntity"
"Born in Chaos","born_in_chaos_v1:mr_pumpkin_controlled",178,"monster","net.mcreator.borninchaosv.entity.MrPumpkinControlledEntity"
"Born in Chaos","born_in_chaos_v1:nightmare_stalker",149,"monster","net.mcreator.borninchaosv.entity.NightmareStalkerEntity"
"Born in Chaos","born_in_chaos_v1:phantom_creeper",138,"monster","net.mcreator.borninchaosv.entity.PhantomCreeperEntity"
"Born in Chaos","born_in_chaos_v1:phantom_creeper_copy",174,"monster","net.mcreator.borninchaosv.entity.PhantomCreeperCopyEntity"
"Born in Chaos","born_in_chaos_v1:projectile_intoxicatind_bomb_projectile",195,"misc","net.mcreator.borninchaosv.entity.IntoxicatindBombProjectileEntity"
"Born in Chaos","born_in_chaos_v1:projectile_missionary_charge",200,"misc","net.mcreator.borninchaosv.entity.MissionaryChargeEntity"
"Born in Chaos","born_in_chaos_v1:projectile_pumpkin_pistol_2_projectile",197,"misc","net.mcreator.borninchaosv.entity.PumpkinPistol2ProjectileEntity"
"Born in Chaos","born_in_chaos_v1:projectile_pumpkin_pistol_projectile",196,"misc","net.mcreator.borninchaosv.entity.PumpkinPistolProjectileEntity"
"Born in Chaos","born_in_chaos_v1:projectile_pumpkin_staff_2_projectile",194,"misc","net.mcreator.borninchaosv.entity.PumpkinStaff2ProjectileEntity"
"Born in Chaos","born_in_chaos_v1:projectile_pumpkin_staff_projectile",192,"misc","net.mcreator.borninchaosv.entity.PumpkinStaffProjectileEntity"
"Born in Chaos","born_in_chaos_v1:projectile_staffof_blindness_projectile",191,"misc","net.mcreator.borninchaosv.entity.StaffofBlindnessProjectileEntity"
"Born in Chaos","born_in_chaos_v1:projectile_staffof_magic_arrows_2_projectile",193,"misc","net.mcreator.borninchaosv.entity.StaffofMagicArrows2ProjectileEntity"
"Born in Chaos","born_in_chaos_v1:projectile_staffof_magic_arrows_projectile",190,"misc","net.mcreator.borninchaosv.entity.StaffofMagicArrowsProjectileEntity"
"Born in Chaos","born_in_chaos_v1:pumpkin_bomb",130,"monster","net.mcreator.borninchaosv.entity.PumpkinBombEntity"
"Born in Chaos","born_in_chaos_v1:pumpkin_spirit",142,"monster","net.mcreator.borninchaosv.entity.PumpkinSpiritEntity"
"Born in Chaos","born_in_chaos_v1:pumpkinhead",182,"monster","net.mcreator.borninchaosv.entity.PumpkinheadEntity"
"Born in Chaos","born_in_chaos_v1:restless_spirit",140,"monster","net.mcreator.borninchaosv.entity.RestlessSpiritEntity"
"Born in Chaos","born_in_chaos_v1:riding_felsteed",183,"monster","net.mcreator.borninchaosv.entity.RidingFelsteedEntity"
"Born in Chaos","born_in_chaos_v1:riding_lords_felsteed",189,"monster","net.mcreator.borninchaosv.entity.RidingLordsFelsteedEntity"
"Born in Chaos","born_in_chaos_v1:scarlet_persecutor",154,"monster","net.mcreator.borninchaosv.entity.ScarletPersecutorEntity"
"Born in Chaos","born_in_chaos_v1:seared_spirit",143,"monster","net.mcreator.borninchaosv.entity.SearedSpiritEntity"
"Born in Chaos","born_in_chaos_v1:seared_spirit_not_despawn",184,"monster","net.mcreator.borninchaosv.entity.SearedSpiritNotDespawnEntity"
"Born in Chaos","born_in_chaos_v1:senor_pumpkin",170,"monster","net.mcreator.borninchaosv.entity.SenorPumpkinEntity"
"Born in Chaos","born_in_chaos_v1:siamese_skeletons",136,"monster","net.mcreator.borninchaosv.entity.SiameseSkeletonsEntity"
"Born in Chaos","born_in_chaos_v1:siamese_skeletonsleft",198,"monster","net.mcreator.borninchaosv.entity.SiameseSkeletonsleftEntity"
"Born in Chaos","born_in_chaos_v1:siamese_skeletonsright",199,"monster","net.mcreator.borninchaosv.entity.SiameseSkeletonsrightEntity"
"Born in Chaos","born_in_chaos_v1:sir_pumpkinhead",169,"monster","net.mcreator.borninchaosv.entity.SirPumpkinheadEntity"
"Born in Chaos","born_in_chaos_v1:sir_pumpkinhead_without_horse",180,"monster","net.mcreator.borninchaosv.entity.SirPumpkinheadWithoutHorseEntity"
"Born in Chaos","born_in_chaos_v1:sir_the_headless",181,"monster","net.mcreator.borninchaosv.entity.SirTheHeadlessEntity"
"Born in Chaos","born_in_chaos_v1:skeleton_demoman",133,"monster","net.mcreator.borninchaosv.entity.SkeletonDemomanEntity"
"Born in Chaos","born_in_chaos_v1:skeleton_thrasher",141,"monster","net.mcreator.borninchaosv.entity.SkeletonThrasherEntity"
"Born in Chaos","born_in_chaos_v1:skeleton_thrasher_not_despawn",126,"monster","net.mcreator.borninchaosv.entity.SkeletonThrasherNotDespawnEntity"
"Born in Chaos","born_in_chaos_v1:spirit_guide",155,"monster","net.mcreator.borninchaosv.entity.SpiritGuideEntity"
"Born in Chaos","born_in_chaos_v1:spirit_guide_assistant",177,"monster","net.mcreator.borninchaosv.entity.SpiritGuideAssistantEntity"
"Born in Chaos","born_in_chaos_v1:supreme_bonescaller",147,"monster","net.mcreator.borninchaosv.entity.SupremeBonescallerEntity"
"Born in Chaos","born_in_chaos_v1:supreme_bonescaller_not_despawn",125,"monster","net.mcreator.borninchaosv.entity.SupremeBonescallerNotDespawnEntity"
"Born in Chaos","born_in_chaos_v1:supreme_bonescaller_stage_2",176,"monster","net.mcreator.borninchaosv.entity.SupremeBonescallerStage2Entity"
"Born in Chaos","born_in_chaos_v1:swarmer",160,"monster","net.mcreator.borninchaosv.entity.SwarmerEntity"
"Born in Chaos","born_in_chaos_v1:thornshell_crab",164,"creature","net.mcreator.borninchaosv.entity.ThornshellCrabEntity"
"Born in Chaos","born_in_chaos_v1:zombie_bruiser",163,"monster","net.mcreator.borninchaosv.entity.ZombieBruiserEntity"
"Born in Chaos","born_in_chaos_v1:zombie_clown",156,"monster","net.mcreator.borninchaosv.entity.ZombieClownEntity"
"Born in Chaos","born_in_chaos_v1:zombie_clown_not_despawn",129,"monster","net.mcreator.borninchaosv.entity.ZombieClownNotDespawnEntity"
"Born in Chaos","born_in_chaos_v1:zombie_fisherman",161,"monster","net.mcreator.borninchaosv.entity.ZombieFishermanEntity"
"Born in Chaos","born_in_chaos_v1:zombie_lumberjack",162,"monster","net.mcreator.borninchaosv.entity.ZombieLumberjackEntity"
"CoFH Core","cofh_core:electric_arc",240,"misc","cofh.core.entity.ElectricArc"
"CoFH Core","cofh_core:electric_field",241,"misc","cofh.core.entity.ElectricField"
"CoFH Core","cofh_core:frost_field",242,"misc","cofh.core.entity.FrostField"
"CoFH Core","cofh_core:knife",238,"misc","cofh.core.entity.Knife"
"CoFH Core","cofh_core:shockwave",239,"misc","cofh.core.entity.Shockwave"
"Creeper Overhaul","creeperoverhaul:badlands_creeper",298,"monster","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper"
"Creeper Overhaul","creeperoverhaul:bamboo_creeper",296,"monster","tech.thatgravyboat.creeperoverhaul.common.entity.base.NeutralCreeper"
"Creeper Overhaul","creeperoverhaul:beach_creeper",307,"monster","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper"
"Creeper Overhaul","creeperoverhaul:cave_creeper",304,"monster","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper"
"Creeper Overhaul","creeperoverhaul:dark_oak_creeper",305,"monster","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper"
"Creeper Overhaul","creeperoverhaul:desert_creeper",297,"monster","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper"
"Creeper Overhaul","creeperoverhaul:dripstone_creeper",303,"monster","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper"
"Creeper Overhaul","creeperoverhaul:hills_creeper",299,"monster","tech.thatgravyboat.creeperoverhaul.common.entity.base.NeutralCreeper"
"Creeper Overhaul","creeperoverhaul:jungle_creeper",295,"monster","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper"
"Creeper Overhaul","creeperoverhaul:mushroom_creeper",301,"creature","tech.thatgravyboat.creeperoverhaul.common.entity.base.PassiveCreeper"
"Creeper Overhaul","creeperoverhaul:ocean_creeper",309,"monster","tech.thatgravyboat.creeperoverhaul.common.entity.custom.PufferfishCreeper"
"Creeper Overhaul","creeperoverhaul:savannah_creeper",300,"monster","tech.thatgravyboat.creeperoverhaul.common.entity.base.NeutralCreeper"
"Creeper Overhaul","creeperoverhaul:snowy_creeper",308,"monster","tech.thatgravyboat.creeperoverhaul.common.entity.base.NeutralCreeper"
"Creeper Overhaul","creeperoverhaul:spruce_creeper",306,"monster","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper"
"Creeper Overhaul","creeperoverhaul:swamp_creeper",302,"monster","tech.thatgravyboat.creeperoverhaul.common.entity.base.BaseCreeper"
"Desolation (Forge)","desolation:blackened",205,"ambient","net.yezon.desolation.entity.BlackenedEntity"
"Desolation (Forge)","desolation:projectile_ash_pile_thrown",204,"misc","net.yezon.desolation.entity.AshPileThrownEntity"
"Farmer's Delight","farmersdelight:rotten_tomato",121,"misc","vectorwing.farmersdelight.common.entity.RottenTomatoEntity"
"Gravestone Mod","gravestone:player_ghost",291,"monster","de.maxhenkel.gravestone.entity.GhostPlayerEntity"
"InsaneLib","insanelib:area_effect_cloud_3d",118,"misc","insane96mcp.insanelib.entity.AreaEffectCloud3DEntity"
"Lootr","lootr:lootr_minecart",310,"misc","noobanidus.mods.lootr.entity.LootrChestMinecartEntity"
"Luggage","luggage:ender_luggage",207,"creature","com.gizmo.luggage.entity.EnderLuggage"
"Luggage","luggage:luggage",206,"creature","com.gizmo.luggage.entity.Luggage"
"Mimic","mimic:mimic",119,"misc","ca.lukegrahamlandry.mimic.ForgeGeoMimicEntity"
"Minecraft","minecraft:allay",0,"creature","net.minecraft.world.entity.animal.allay.Allay"
"Minecraft","minecraft:area_effect_cloud",1,"misc","net.minecraft.world.entity.AreaEffectCloud"
"Minecraft","minecraft:armor_stand",2,"misc","net.minecraft.world.entity.decoration.ArmorStand"
"Minecraft","minecraft:arrow",3,"misc","net.minecraft.world.entity.projectile.Arrow"
"Minecraft","minecraft:axolotl",4,"axolotls","net.minecraft.world.entity.animal.axolotl.Axolotl"
"Minecraft","minecraft:bat",5,"ambient","net.minecraft.world.entity.ambient.Bat"
"Minecraft","minecraft:bee",6,"creature","net.minecraft.world.entity.animal.Bee"
"Minecraft","minecraft:blaze",7,"monster","net.minecraft.world.entity.monster.Blaze"
"Minecraft","minecraft:boat",8,"misc","net.minecraft.world.entity.vehicle.Boat"
"Minecraft","minecraft:cat",10,"creature","net.minecraft.world.entity.animal.Cat"
"Minecraft","minecraft:cave_spider",11,"monster","net.minecraft.world.entity.monster.CaveSpider"
"Minecraft","minecraft:chest_boat",9,"misc","net.minecraft.world.entity.vehicle.ChestBoat"
"Minecraft","minecraft:chest_minecart",54,"misc","net.minecraft.world.entity.vehicle.MinecartChest"
"Minecraft","minecraft:chicken",12,"creature","net.minecraft.world.entity.animal.Chicken"
"Minecraft","minecraft:cod",13,"water_ambient","net.minecraft.world.entity.animal.Cod"
"Minecraft","minecraft:command_block_minecart",55,"misc","net.minecraft.world.entity.vehicle.MinecartCommandBlock"
"Minecraft","minecraft:cow",14,"creature","net.minecraft.world.entity.animal.Cow"
"Minecraft","minecraft:creeper",15,"monster","net.minecraft.world.entity.monster.Creeper"
"Minecraft","minecraft:dolphin",16,"water_creature","net.minecraft.world.entity.animal.Dolphin"
"Minecraft","minecraft:donkey",17,"creature","net.minecraft.world.entity.animal.horse.Donkey"
"Minecraft","minecraft:dragon_fireball",18,"misc","net.minecraft.world.entity.projectile.DragonFireball"
"Minecraft","minecraft:drowned",19,"monster","net.minecraft.world.entity.monster.Drowned"
"Minecraft","minecraft:egg",93,"misc","net.minecraft.world.entity.projectile.ThrownEgg"
"Minecraft","minecraft:elder_guardian",20,"monster","net.minecraft.world.entity.monster.ElderGuardian"
"Minecraft","minecraft:end_crystal",21,"misc","net.minecraft.world.entity.boss.enderdragon.EndCrystal"
"Minecraft","minecraft:ender_dragon",22,"monster","net.minecraft.world.entity.boss.enderdragon.EnderDragon"
"Minecraft","minecraft:ender_pearl",94,"misc","net.minecraft.world.entity.projectile.ThrownEnderpearl"
"Minecraft","minecraft:enderman",23,"monster","net.minecraft.world.entity.monster.EnderMan"
"Minecraft","minecraft:endermite",24,"monster","net.minecraft.world.entity.monster.Endermite"
"Minecraft","minecraft:evoker",25,"monster","net.minecraft.world.entity.monster.Evoker"
"Minecraft","minecraft:evoker_fangs",26,"misc","net.minecraft.world.entity.projectile.EvokerFangs"
"Minecraft","minecraft:experience_bottle",95,"misc","net.minecraft.world.entity.projectile.ThrownExperienceBottle"
"Minecraft","minecraft:experience_orb",27,"misc","net.minecraft.world.entity.ExperienceOrb"
"Minecraft","minecraft:eye_of_ender",28,"misc","net.minecraft.world.entity.projectile.EyeOfEnder"
"Minecraft","minecraft:falling_block",29,"misc","net.minecraft.world.entity.item.FallingBlockEntity"
"Minecraft","minecraft:fireball",46,"misc","net.minecraft.world.entity.projectile.LargeFireball"
"Minecraft","minecraft:firework_rocket",30,"misc","net.minecraft.world.entity.projectile.FireworkRocketEntity"
"Minecraft","minecraft:fishing_bobber",117,"misc","net.minecraft.world.entity.projectile.FishingHook"
"Minecraft","minecraft:fox",31,"creature","net.minecraft.world.entity.animal.Fox"
"Minecraft","minecraft:frog",32,"creature","net.minecraft.world.entity.animal.frog.Frog"
"Minecraft","minecraft:furnace_minecart",56,"misc","net.minecraft.world.entity.vehicle.MinecartFurnace"
"Minecraft","minecraft:ghast",33,"monster","net.minecraft.world.entity.monster.Ghast"
"Minecraft","minecraft:giant",34,"monster","net.minecraft.world.entity.monster.Giant"
"Minecraft","minecraft:glow_item_frame",35,"misc","net.minecraft.world.entity.decoration.GlowItemFrame"
"Minecraft","minecraft:glow_squid",36,"underground_water_creature","net.minecraft.world.entity.GlowSquid"
"Minecraft","minecraft:goat",37,"creature","net.minecraft.world.entity.animal.goat.Goat"
"Minecraft","minecraft:guardian",38,"monster","net.minecraft.world.entity.monster.Guardian"
"Minecraft","minecraft:hoglin",39,"monster","net.minecraft.world.entity.monster.hoglin.Hoglin"
"Minecraft","minecraft:hopper_minecart",57,"misc","net.minecraft.world.entity.vehicle.MinecartHopper"
"Minecraft","minecraft:horse",40,"creature","net.minecraft.world.entity.animal.horse.Horse"
"Minecraft","minecraft:husk",41,"monster","net.minecraft.world.entity.monster.Husk"
"Minecraft","minecraft:illusioner",42,"monster","net.minecraft.world.entity.monster.Illusioner"
"Minecraft","minecraft:iron_golem",43,"misc","net.minecraft.world.entity.animal.IronGolem"
"Minecraft","minecraft:item",44,"misc","net.minecraft.world.entity.item.ItemEntity"
"Minecraft","minecraft:item_frame",45,"misc","net.minecraft.world.entity.decoration.ItemFrame"
"Minecraft","minecraft:leash_knot",47,"misc","net.minecraft.world.entity.decoration.LeashFenceKnotEntity"
"Minecraft","minecraft:lightning_bolt",48,"misc","net.minecraft.world.entity.LightningBolt"
"Minecraft","minecraft:llama",49,"creature","net.minecraft.world.entity.animal.horse.Llama"
"Minecraft","minecraft:llama_spit",50,"misc","net.minecraft.world.entity.projectile.LlamaSpit"
"Minecraft","minecraft:magma_cube",51,"monster","net.minecraft.world.entity.monster.MagmaCube"
"Minecraft","minecraft:marker",52,"misc","net.minecraft.world.entity.Marker"
"Minecraft","minecraft:minecart",53,"misc","net.minecraft.world.entity.vehicle.Minecart"
"Minecraft","minecraft:mooshroom",61,"creature","net.minecraft.world.entity.animal.MushroomCow"
"Minecraft","minecraft:mule",60,"creature","net.minecraft.world.entity.animal.horse.Mule"
"Minecraft","minecraft:ocelot",62,"creature","net.minecraft.world.entity.animal.Ocelot"
"Minecraft","minecraft:painting",63,"misc","net.minecraft.world.entity.decoration.Painting"
"Minecraft","minecraft:panda",64,"creature","net.minecraft.world.entity.animal.Panda"
"Minecraft","minecraft:parrot",65,"creature","net.minecraft.world.entity.animal.Parrot"
"Minecraft","minecraft:phantom",66,"monster","net.minecraft.world.entity.monster.Phantom"
"Minecraft","minecraft:pig",67,"creature","net.minecraft.world.entity.animal.Pig"
"Minecraft","minecraft:piglin",68,"monster","net.minecraft.world.entity.monster.piglin.Piglin"
"Minecraft","minecraft:piglin_brute",69,"monster","net.minecraft.world.entity.monster.piglin.PiglinBrute"
"Minecraft","minecraft:pillager",70,"monster","net.minecraft.world.entity.monster.Pillager"
"Minecraft","minecraft:player",116,"misc","?"
"Minecraft","minecraft:polar_bear",71,"creature","net.minecraft.world.entity.animal.PolarBear"
"Minecraft","minecraft:potion",96,"misc","net.minecraft.world.entity.projectile.ThrownPotion"
"Minecraft","minecraft:pufferfish",73,"water_ambient","net.minecraft.world.entity.animal.Pufferfish"
"Minecraft","minecraft:rabbit",74,"creature","net.minecraft.world.entity.animal.Rabbit"
"Minecraft","minecraft:ravager",75,"monster","net.minecraft.world.entity.monster.Ravager"
"Minecraft","minecraft:salmon",76,"water_ambient","net.minecraft.world.entity.animal.Salmon"
"Minecraft","minecraft:sheep",77,"creature","net.minecraft.world.entity.animal.Sheep"
"Minecraft","minecraft:shulker",78,"monster","net.minecraft.world.entity.monster.Shulker"
"Minecraft","minecraft:shulker_bullet",79,"misc","net.minecraft.world.entity.projectile.ShulkerBullet"
"Minecraft","minecraft:silverfish",80,"monster","net.minecraft.world.entity.monster.Silverfish"
"Minecraft","minecraft:skeleton",81,"monster","net.minecraft.world.entity.monster.Skeleton"
"Minecraft","minecraft:skeleton_horse",82,"creature","net.minecraft.world.entity.animal.horse.SkeletonHorse"
"Minecraft","minecraft:slime",83,"monster","net.minecraft.world.entity.monster.Slime"
"Minecraft","minecraft:small_fireball",84,"misc","net.minecraft.world.entity.projectile.SmallFireball"
"Minecraft","minecraft:snow_golem",85,"misc","net.minecraft.world.entity.animal.SnowGolem"
"Minecraft","minecraft:snowball",86,"misc","net.minecraft.world.entity.projectile.Snowball"
"Minecraft","minecraft:spawner_minecart",58,"misc","net.minecraft.world.entity.vehicle.MinecartSpawner"
"Minecraft","minecraft:spectral_arrow",87,"misc","net.minecraft.world.entity.projectile.SpectralArrow"
"Minecraft","minecraft:spider",88,"monster","net.minecraft.world.entity.monster.Spider"
"Minecraft","minecraft:squid",89,"water_creature","net.minecraft.world.entity.animal.Squid"
"Minecraft","minecraft:stray",90,"monster","net.minecraft.world.entity.monster.Stray"
"Minecraft","minecraft:strider",91,"creature","net.minecraft.world.entity.monster.Strider"
"Minecraft","minecraft:tadpole",92,"creature","net.minecraft.world.entity.animal.frog.Tadpole"
"Minecraft","minecraft:tnt",72,"misc","net.minecraft.world.entity.item.PrimedTnt"
"Minecraft","minecraft:tnt_minecart",59,"misc","net.minecraft.world.entity.vehicle.MinecartTNT"
"Minecraft","minecraft:trader_llama",98,"creature","net.minecraft.world.entity.animal.horse.TraderLlama"
"Minecraft","minecraft:trident",97,"misc","net.minecraft.world.entity.projectile.ThrownTrident"
"Minecraft","minecraft:tropical_fish",99,"water_ambient","net.minecraft.world.entity.animal.TropicalFish"
"Minecraft","minecraft:turtle",100,"creature","net.minecraft.world.entity.animal.Turtle"
"Minecraft","minecraft:vex",101,"monster","net.minecraft.world.entity.monster.Vex"
"Minecraft","minecraft:villager",102,"misc","net.minecraft.world.entity.npc.Villager"
"Minecraft","minecraft:vindicator",103,"monster","net.minecraft.world.entity.monster.Vindicator"
"Minecraft","minecraft:wandering_trader",104,"creature","net.minecraft.world.entity.npc.WanderingTrader"
"Minecraft","minecraft:warden",105,"monster","net.minecraft.world.entity.monster.warden.Warden"
"Minecraft","minecraft:witch",106,"monster","net.minecraft.world.entity.monster.Witch"
"Minecraft","minecraft:wither",107,"monster","net.minecraft.world.entity.boss.wither.WitherBoss"
"Minecraft","minecraft:wither_skeleton",108,"monster","net.minecraft.world.entity.monster.WitherSkeleton"
"Minecraft","minecraft:wither_skull",109,"misc","net.minecraft.world.entity.projectile.WitherSkull"
"Minecraft","minecraft:wolf",110,"creature","net.minecraft.world.entity.animal.Wolf"
"Minecraft","minecraft:zoglin",111,"monster","net.minecraft.world.entity.monster.Zoglin"
"Minecraft","minecraft:zombie",112,"monster","net.minecraft.world.entity.monster.Zombie"
"Minecraft","minecraft:zombie_horse",113,"creature","net.minecraft.world.entity.animal.horse.ZombieHorse"
"Minecraft","minecraft:zombie_villager",114,"monster","net.minecraft.world.entity.monster.ZombieVillager"
"Minecraft","minecraft:zombified_piglin",115,"monster","net.minecraft.world.entity.monster.ZombifiedPiglin"
"Pretty Pipes","prettypipes:pipe_frame",120,"misc","de.ellpeck.prettypipes.entities.PipeFrameEntity"
"Quark","quark:crab",318,"creature","vazkii.quark.content.mobs.entity.Crab"
"Quark","quark:dyed_item_frame",314,"misc","vazkii.quark.content.tweaks.entity.DyedItemFrame"
"Quark","quark:echorang",325,"misc","vazkii.quark.content.tools.entity.rang.Echorang"
"Quark","quark:flamerang",324,"misc","vazkii.quark.content.tools.entity.rang.Flamerang"
"Quark","quark:forgotten",319,"monster","vazkii.quark.content.mobs.entity.Forgotten"
"Quark","quark:foxhound",315,"creature","vazkii.quark.content.mobs.entity.Foxhound"
"Quark","quark:glass_frame",312,"misc","vazkii.quark.content.building.entity.GlassItemFrame"
"Quark","quark:gravisand",313,"misc","vazkii.quark.content.automation.entity.Gravisand"
"Quark","quark:parrot_egg",326,"misc","vazkii.quark.content.tools.entity.ParrotEgg"
"Quark","quark:pickarang",323,"misc","vazkii.quark.content.tools.entity.rang.Pickarang"
"Quark","quark:quark_boat",330,"misc","vazkii.quark.base.item.boat.QuarkBoat"
"Quark","quark:quark_chest_boat",331,"misc","vazkii.quark.base.item.boat.QuarkChestBoat"
"Quark","quark:shiba",320,"creature","vazkii.quark.content.mobs.entity.Shiba"
"Quark","quark:skull_pike",328,"misc","vazkii.quark.content.tools.entity.SkullPike"
"Quark","quark:soul_bead",317,"misc","vazkii.quark.content.mobs.entity.SoulBead"
"Quark","quark:stoneling",321,"creature","vazkii.quark.content.mobs.entity.Stoneling"
