"Mod name","Registry name","Display name","Recipe name","Tags"
"Autumnity","autumnity:snail_shell_tile_vertical_slab","Snail Shell Tile Vertical Slab","autumnity:snail_shell_tile_vertical_slab_from_snail_shell_tiles_stonecutting","quark:vertical_slabs"
"Autumnity","autumnity:snail_shell_tile_vertical_slab","Snail Shell Tile Vertical Slab","autumnity:snail_shell_tile_vertical_slab_revert","quark:vertical_slabs"
"Autumnity","autumnity:snail_shell_tile_wall","Snail Shell Tile Wall","autumnity:snail_shell_tile_wall","minecraft:walls"
"Autumnity","autumnity:snail_shell_tile_wall","Snail Shell Tile Wall","autumnity:snail_shell_tile_wall_from_snail_shell_bricks_stonecutting","minecraft:walls"
"Autumnity","autumnity:snail_shell_tile_wall","Snail Shell Tile Wall","autumnity:snail_shell_tile_wall_from_snail_shell_tiles_stonecutting","minecraft:walls"
"Autumnity","autumnity:snail_shell_tiles","Snail Shell Tiles","autumnity:snail_shell_tiles",""
"Autumnity","autumnity:snail_shell_tiles","Snail Shell Tiles","autumnity:snail_shell_tiles_from_snail_shell_bricks_stonecutting",""
"Autumnity","autumnity:soul_jack_o_lantern","Soul Jack o'Lantern","autumnity:soul_jack_o_lantern","minecraft:piglin_repellents"
"Autumnity","autumnity:stripped_maple_post","Stripped Maple Post","autumnity:stripped_maple_post",""
"Autumnity","autumnity:stripped_maple_wood","Stripped Maple Wood","autumnity:stripped_maple_wood","minecraft:logs, minecraft:completes_find_tree_tutorial, minecraft:logs_that_burn, autumnity:maple_logs"
"Autumnity","autumnity:swirl_banner_pattern","Banner Pattern","autumnity:swirl_banner_pattern",""
"Autumnity","autumnity:syrup_bottle","Syrup Bottle","autumnity:syrup_bottle","supplementaries:pancake_syrup"
"Autumnity","autumnity:syrup_bottle","Syrup Bottle","autumnity:syrup_bottle_from_campfire_cooking","supplementaries:pancake_syrup"
"Autumnity","autumnity:syrup_bottle","Syrup Bottle","autumnity:syrup_bottle_from_smoking","supplementaries:pancake_syrup"
"Autumnity","autumnity:turkey_piece","Raw Turkey Piece","autumnity:turkey_piece_from_turkey","forge:raw_turkey"
"Autumnity","autumnity:vertical_maple_planks","Vertical Maple Planks","autumnity:vertical_maple_planks","tconstruct:planklike, minecraft:planks"
"Autumnity","autumnity:vertical_maple_planks","Vertical Maple Planks","autumnity:vertical_maple_planks_revert","tconstruct:planklike, minecraft:planks"
"Autumnity","autumnity:yellow_maple_hedge","Yellow Maple Hedge","autumnity:yellow_maple_hedge","quark:hedges, supplementaries:flower_box_plantable"
"Autumnity","autumnity:yellow_maple_leaf_carpet","Yellow Maple Leaf Carpet","autumnity:yellow_maple_leaf_carpet",""
"Autumnity","autumnity:yellow_maple_leaf_pile","Pile of Yellow Maple Leaves","autumnity:yellow_maple_leaf_pile",""
"Autumnity","autumnity:yellow_maple_leaves","Yellow Maple Leaves","autumnity:yellow_maple_leaves_from_yellow_maple_leaf_pile","minecraft:leaves, minecraft:completes_find_tree_tutorial"
"Autumnity","minecraft:magenta_dye","Magenta Dye","autumnity:magenta_dye_from_autumn_crocus","supplementaries:blackboard_magenta, forge:dyes, balm:dyes, forge:dyes/magenta, balm:magenta_dyes"
"Autumnity","minecraft:sugar","Sugar","autumnity:sugar_from_sap_bottle",""
"Biomes O' Plenty","biomesoplenty:black_sandstone","Black Sandstone","biomesoplenty:black_sandstone","forge:sandstone, tconstruct:stoneshields"
"Biomes O' Plenty","biomesoplenty:black_sandstone_slab","Black Sandstone Slab","biomesoplenty:black_sandstone_slab","minecraft:slabs"
"Biomes O' Plenty","biomesoplenty:black_sandstone_slab","Black Sandstone Slab","biomesoplenty:black_sandstone_slab_from_black_sandstone_stonecutting","minecraft:slabs"
"Biomes O' Plenty","biomesoplenty:black_sandstone_stairs","Black Sandstone Stairs","biomesoplenty:black_sandstone_stairs","minecraft:stairs"
"Biomes O' Plenty","biomesoplenty:black_sandstone_stairs","Black Sandstone Stairs","biomesoplenty:black_sandstone_stairs_from_black_sandstone_stonecutting","minecraft:stairs"
"Biomes O' Plenty","biomesoplenty:black_sandstone_wall","Black Sandstone Wall","biomesoplenty:black_sandstone_wall","minecraft:walls"
"Biomes O' Plenty","biomesoplenty:black_sandstone_wall","Black Sandstone Wall","biomesoplenty:black_sandstone_wall_from_black_sandstone_stonecutting","minecraft:walls"
"Biomes O' Plenty","biomesoplenty:cherry_boat","Cherry Boat","biomesoplenty:cherry_boat","minecraft:boats"
"Biomes O' Plenty","biomesoplenty:cherry_button","Cherry Button","biomesoplenty:cherry_button","minecraft:wooden_buttons, minecraft:buttons"
"Biomes O' Plenty","biomesoplenty:cherry_chest_boat","Cherry Boat with Chest","biomesoplenty:cherry_chest_boat","minecraft:boats, minecraft:chest_boats"
"Biomes O' Plenty","biomesoplenty:cherry_door","Cherry Door","biomesoplenty:cherry_door","minecraft:doors, minecraft:wooden_doors"
"Biomes O' Plenty","biomesoplenty:cherry_fence","Cherry Fence","biomesoplenty:cherry_fence","minecraft:wooden_fences, minecraft:fences, forge:fences/wooden, forge:fences"
"Biomes O' Plenty","biomesoplenty:cherry_fence_gate","Cherry Fence Gate","biomesoplenty:cherry_fence_gate","forge:fence_gates, forge:fence_gates/wooden, bookshelf:fence_gates"
"Biomes O' Plenty","biomesoplenty:cherry_planks","Cherry Planks","biomesoplenty:cherry_planks","tconstruct:planklike, minecraft:planks"
"Biomes O' Plenty","biomesoplenty:cherry_pressure_plate","Cherry Pressure Plate","biomesoplenty:cherry_pressure_plate","minecraft:wooden_pressure_plates"
"Biomes O' Plenty","biomesoplenty:cherry_sign","Cherry Sign","biomesoplenty:cherry_sign","minecraft:signs"
"Biomes O' Plenty","biomesoplenty:cherry_slab","Cherry Slab","biomesoplenty:cherry_slab","minecraft:wooden_slabs, minecraft:slabs"
"Biomes O' Plenty","biomesoplenty:cherry_stairs","Cherry Stairs","biomesoplenty:cherry_stairs","minecraft:stairs, minecraft:wooden_stairs"
"Biomes O' Plenty","biomesoplenty:cherry_trapdoor","Cherry Trapdoor","biomesoplenty:cherry_trapdoor","minecraft:wooden_trapdoors, minecraft:trapdoors"
"Biomes O' Plenty","biomesoplenty:cherry_wood","Cherry Wood","biomesoplenty:cherry_wood","biomesoplenty:cherry_logs, minecraft:logs, minecraft:logs_that_burn, minecraft:completes_find_tree_tutorial"
"Biomes O' Plenty","biomesoplenty:chiseled_black_sandstone","Chiseled Black Sandstone","biomesoplenty:chiseled_black_sandstone","forge:sandstone, tconstruct:stoneshields"
"Biomes O' Plenty","biomesoplenty:chiseled_black_sandstone","Chiseled Black Sandstone","biomesoplenty:chiseled_black_sandstone_from_black_sandstone_stonecutting","forge:sandstone, tconstruct:stoneshields"
"Biomes O' Plenty","biomesoplenty:chiseled_orange_sandstone","Chiseled Orange Sandstone","biomesoplenty:chiseled_orange_sandstone","forge:sandstone, tconstruct:stoneshields"
"Biomes O' Plenty","biomesoplenty:chiseled_orange_sandstone","Chiseled Orange Sandstone","biomesoplenty:chiseled_orange_sandstone_from_orange_sandstone_stonecutting","forge:sandstone, tconstruct:stoneshields"
"Biomes O' Plenty","biomesoplenty:chiseled_white_sandstone","Chiseled White Sandstone","biomesoplenty:chiseled_white_sandstone","forge:sandstone, tconstruct:stoneshields"
"Biomes O' Plenty","biomesoplenty:chiseled_white_sandstone","Chiseled White Sandstone","biomesoplenty:chiseled_white_sandstone_from_white_sandstone_stonecutting","forge:sandstone, tconstruct:stoneshields"
"Biomes O' Plenty","biomesoplenty:cut_black_sandstone","Cut Black Sandstone","biomesoplenty:cut_black_sandstone","forge:sandstone, tconstruct:stoneshields"
"Biomes O' Plenty","biomesoplenty:cut_black_sandstone","Cut Black Sandstone","biomesoplenty:cut_black_sandstone_from_black_sandstone_stonecutting","forge:sandstone, tconstruct:stoneshields"
"Biomes O' Plenty","biomesoplenty:cut_black_sandstone_slab","Cut Black Sandstone Slab","biomesoplenty:cut_black_sandstone_slab","minecraft:slabs"
"Biomes O' Plenty","biomesoplenty:cut_black_sandstone_slab","Cut Black Sandstone Slab","biomesoplenty:cut_black_sandstone_slab_from_black_sandstone_stonecutting","minecraft:slabs"
"Biomes O' Plenty","biomesoplenty:cut_black_sandstone_slab","Cut Black Sandstone Slab","biomesoplenty:cut_black_sandstone_slab_from_cut_black_sandstone_stonecutting","minecraft:slabs"
"Biomes O' Plenty","biomesoplenty:cut_orange_sandstone","Cut Orange Sandstone","biomesoplenty:cut_orange_sandstone","forge:sandstone, tconstruct:stoneshields"
"Biomes O' Plenty","biomesoplenty:cut_orange_sandstone","Cut Orange Sandstone","biomesoplenty:cut_orange_sandstone_from_orange_sandstone_stonecutting","forge:sandstone, tconstruct:stoneshields"
"Biomes O' Plenty","biomesoplenty:cut_orange_sandstone_slab","Cut Orange Sandstone Slab","biomesoplenty:cut_orange_sandstone_slab","minecraft:slabs"
"Biomes O' Plenty","biomesoplenty:cut_orange_sandstone_slab","Cut Orange Sandstone Slab","biomesoplenty:cut_orange_sandstone_slab_from_cut_orange_sandstone_stonecutting","minecraft:slabs"
"Biomes O' Plenty","biomesoplenty:cut_orange_sandstone_slab","Cut Orange Sandstone Slab","biomesoplenty:cut_orange_sandstone_slab_from_orange_sandstone_stonecutting","minecraft:slabs"
"Biomes O' Plenty","biomesoplenty:cut_white_sandstone","Cut White Sandstone","biomesoplenty:cut_white_sandstone","forge:sandstone, tconstruct:stoneshields"
"Biomes O' Plenty","biomesoplenty:cut_white_sandstone","Cut White Sandstone","biomesoplenty:cut_white_sandstone_from_white_sandstone_stonecutting","forge:sandstone, tconstruct:stoneshields"
"Biomes O' Plenty","biomesoplenty:cut_white_sandstone_slab","Cut White Sandstone Slab","biomesoplenty:cut_white_sandstone_slab","minecraft:slabs"
"Biomes O' Plenty","biomesoplenty:cut_white_sandstone_slab","Cut White Sandstone Slab","biomesoplenty:cut_white_sandstone_slab_from_cut_white_sandstone_stonecutting","minecraft:slabs"
"Biomes O' Plenty","biomesoplenty:cut_white_sandstone_slab","Cut White Sandstone Slab","biomesoplenty:cut_white_sandstone_slab_from_white_sandstone_stonecutting","minecraft:slabs"
"Biomes O' Plenty","biomesoplenty:dead_boat","Dead Boat","biomesoplenty:dead_boat","minecraft:boats"
"Biomes O' Plenty","biomesoplenty:dead_button","Dead Button","biomesoplenty:dead_button","minecraft:wooden_buttons, minecraft:buttons"
"Biomes O' Plenty","biomesoplenty:dead_chest_boat","Dead Boat with Chest","biomesoplenty:dead_chest_boat","minecraft:boats, minecraft:chest_boats"
"Biomes O' Plenty","biomesoplenty:dead_door","Dead Door","biomesoplenty:dead_door","minecraft:doors, minecraft:wooden_doors"
"Biomes O' Plenty","biomesoplenty:dead_fence","Dead Fence","biomesoplenty:dead_fence","minecraft:wooden_fences, minecraft:fences, forge:fences/wooden, forge:fences"
"Biomes O' Plenty","biomesoplenty:dead_fence_gate","Dead Fence Gate","biomesoplenty:dead_fence_gate","forge:fence_gates, forge:fence_gates/wooden, bookshelf:fence_gates"
"Biomes O' Plenty","biomesoplenty:dead_planks","Dead Planks","biomesoplenty:dead_planks","tconstruct:planklike, minecraft:planks"
"Biomes O' Plenty","biomesoplenty:dead_pressure_plate","Dead Pressure Plate","biomesoplenty:dead_pressure_plate","minecraft:wooden_pressure_plates"
"Biomes O' Plenty","biomesoplenty:dead_sign","Dead Sign","biomesoplenty:dead_sign","minecraft:signs"
"Biomes O' Plenty","biomesoplenty:dead_slab","Dead Slab","biomesoplenty:dead_slab","minecraft:wooden_slabs, minecraft:slabs"
"Biomes O' Plenty","biomesoplenty:dead_stairs","Dead Stairs","biomesoplenty:dead_stairs","minecraft:stairs, minecraft:wooden_stairs"
"Biomes O' Plenty","biomesoplenty:dead_trapdoor","Dead Trapdoor","biomesoplenty:dead_trapdoor","minecraft:wooden_trapdoors, minecraft:trapdoors"
"Biomes O' Plenty","biomesoplenty:dead_wood","Dead Wood","biomesoplenty:dead_wood","biomesoplenty:dead_logs, minecraft:logs, minecraft:logs_that_burn, minecraft:completes_find_tree_tutorial"
"Biomes O' Plenty","biomesoplenty:fir_boat","Fir Boat","biomesoplenty:fir_boat","minecraft:boats"
"Biomes O' Plenty","biomesoplenty:fir_button","Fir Button","biomesoplenty:fir_button","minecraft:wooden_buttons, minecraft:buttons"
"Biomes O' Plenty","biomesoplenty:fir_chest_boat","Fir Boat with Chest","biomesoplenty:fir_chest_boat","minecraft:boats, minecraft:chest_boats"
"Biomes O' Plenty","biomesoplenty:fir_door","Fir Door","biomesoplenty:fir_door","minecraft:doors, minecraft:wooden_doors"
"Biomes O' Plenty","biomesoplenty:fir_fence","Fir Fence","biomesoplenty:fir_fence","minecraft:wooden_fences, minecraft:fences, forge:fences/wooden, forge:fences"
"Biomes O' Plenty","biomesoplenty:fir_fence_gate","Fir Fence Gate","biomesoplenty:fir_fence_gate","forge:fence_gates, forge:fence_gates/wooden, bookshelf:fence_gates"
"Biomes O' Plenty","biomesoplenty:fir_planks","Fir Planks","biomesoplenty:fir_planks","tconstruct:planklike, minecraft:planks"
"Biomes O' Plenty","biomesoplenty:fir_pressure_plate","Fir Pressure Plate","biomesoplenty:fir_pressure_plate","minecraft:wooden_pressure_plates"
"Biomes O' Plenty","biomesoplenty:fir_sign","Fir Sign","biomesoplenty:fir_sign","minecraft:signs"
"Biomes O' Plenty","biomesoplenty:fir_slab","Fir Slab","biomesoplenty:fir_slab","minecraft:wooden_slabs, minecraft:slabs"
"Biomes O' Plenty","biomesoplenty:fir_stairs","Fir Stairs","biomesoplenty:fir_stairs","minecraft:stairs, minecraft:wooden_stairs"
"Biomes O' Plenty","biomesoplenty:fir_trapdoor","Fir Trapdoor","biomesoplenty:fir_trapdoor","minecraft:wooden_trapdoors, minecraft:trapdoors"
"Biomes O' Plenty","biomesoplenty:fir_wood","Fir Wood","biomesoplenty:fir_wood","minecraft:logs, minecraft:completes_find_tree_tutorial, minecraft:logs_that_burn, biomesoplenty:fir_logs"
"Biomes O' Plenty","biomesoplenty:hellbark_boat","Hellbark Boat","biomesoplenty:hellbark_boat","minecraft:boats, minecraft:non_flammable_wood"
"Biomes O' Plenty","biomesoplenty:hellbark_button","Hellbark Button","biomesoplenty:hellbark_button","minecraft:buttons, minecraft:wooden_buttons, minecraft:non_flammable_wood"
"Biomes O' Plenty","biomesoplenty:hellbark_chest_boat","Hellbark Boat with Chest","biomesoplenty:hellbark_chest_boat","minecraft:boats, minecraft:chest_boats"
"Biomes O' Plenty","biomesoplenty:hellbark_door","Hellbark Door","biomesoplenty:hellbark_door","minecraft:non_flammable_wood, minecraft:doors, minecraft:wooden_doors"
"Biomes O' Plenty","biomesoplenty:hellbark_fence","Hellbark Fence","biomesoplenty:hellbark_fence","forge:fences, minecraft:wooden_fences, minecraft:non_flammable_wood, minecraft:fences, forge:fences/wooden"
"Biomes O' Plenty","biomesoplenty:hellbark_fence_gate","Hellbark Fence Gate","biomesoplenty:hellbark_fence_gate","forge:fence_gates/wooden, minecraft:non_flammable_wood, forge:fence_gates, bookshelf:fence_gates"
"Biomes O' Plenty","biomesoplenty:hellbark_planks","Hellbark Planks","biomesoplenty:hellbark_planks","tconstruct:planklike, minecraft:non_flammable_wood, minecraft:planks"
"Biomes O' Plenty","biomesoplenty:hellbark_pressure_plate","Hellbark Pressure Plate","biomesoplenty:hellbark_pressure_plate","minecraft:wooden_pressure_plates, minecraft:non_flammable_wood"
"Biomes O' Plenty","biomesoplenty:hellbark_sign","Hellbark Sign","biomesoplenty:hellbark_sign","minecraft:signs, minecraft:non_flammable_wood"
"Biomes O' Plenty","biomesoplenty:hellbark_slab","Hellbark Slab","biomesoplenty:hellbark_slab","minecraft:non_flammable_wood, minecraft:slabs, minecraft:wooden_slabs"
"Biomes O' Plenty","biomesoplenty:hellbark_stairs","Hellbark Stairs","biomesoplenty:hellbark_stairs","minecraft:non_flammable_wood, minecraft:wooden_stairs, minecraft:stairs"
"Biomes O' Plenty","biomesoplenty:hellbark_trapdoor","Hellbark Trapdoor","biomesoplenty:hellbark_trapdoor","minecraft:wooden_trapdoors, minecraft:non_flammable_wood, minecraft:trapdoors"
"Biomes O' Plenty","biomesoplenty:hellbark_wood","Hellbark Wood","biomesoplenty:hellbark_wood","minecraft:non_flammable_wood, biomesoplenty:hellbark_logs, minecraft:logs, minecraft:completes_find_tree_tutorial"
"Biomes O' Plenty","biomesoplenty:jacaranda_boat","Jacaranda Boat","biomesoplenty:jacaranda_boat","minecraft:boats"
"Biomes O' Plenty","biomesoplenty:jacaranda_button","Jacaranda Button","biomesoplenty:jacaranda_button","minecraft:wooden_buttons, minecraft:buttons"
"Biomes O' Plenty","biomesoplenty:jacaranda_chest_boat","Jacaranda Boat with Chest","biomesoplenty:jacaranda_chest_boat","minecraft:boats, minecraft:chest_boats"
"Biomes O' Plenty","biomesoplenty:jacaranda_door","Jacaranda Door","biomesoplenty:jacaranda_door","minecraft:doors, minecraft:wooden_doors"
