"Mod name","Registry name","Hardness","Resistance"
"Autumnity","autumnity:redstone_jack_o_lantern",1.00,1.00
"Autumnity","autumnity:sappy_maple_log",2.00,2.00
"Autumnity","autumnity:sappy_maple_wood",2.00,2.00
"Autumnity","autumnity:snail_goo",0.00,0.00
"Autumnity","autumnity:snail_goo_block",0.00,0.00
"Autumnity","autumnity:snail_shell_block",3.00,9.00
"Autumnity","autumnity:snail_shell_brick_slab",3.00,9.00
"Autumnity","autumnity:snail_shell_brick_stairs",3.00,9.00
"Autumnity","autumnity:snail_shell_brick_vertical_slab",3.00,9.00
"Autumnity","autumnity:snail_shell_brick_wall",3.00,9.00
"Autumnity","autumnity:snail_shell_bricks",3.00,9.00
"Autumnity","autumnity:snail_shell_tile_slab",3.00,9.00
"Autumnity","autumnity:snail_shell_tile_stairs",3.00,9.00
"Autumnity","autumnity:snail_shell_tile_vertical_slab",3.00,9.00
"Autumnity","autumnity:snail_shell_tile_wall",3.00,9.00
"Autumnity","autumnity:snail_shell_tiles",3.00,9.00
"Autumnity","autumnity:soul_jack_o_lantern",1.00,1.00
"Autumnity","autumnity:stripped_maple_log",2.00,2.00
"Autumnity","autumnity:stripped_maple_post",2.00,2.00
"Autumnity","autumnity:stripped_maple_wood",2.00,2.00
"Autumnity","autumnity:tall_foul_berry_bush",0.00,0.00
"Autumnity","autumnity:turkey",0.50,0.50
"Autumnity","autumnity:turkey_egg_crate",1.50,1.50
"Autumnity","autumnity:vertical_maple_planks",2.00,3.00
"Autumnity","autumnity:yellow_maple_hedge",2.00,2.00
"Autumnity","autumnity:yellow_maple_leaf_carpet",0.00,0.00
"Autumnity","autumnity:yellow_maple_leaf_pile",0.20,0.20
"Autumnity","autumnity:yellow_maple_leaves",0.20,0.20
"Autumnity","autumnity:yellow_maple_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:barley",0.00,0.00
"Biomes O' Plenty","biomesoplenty:black_sand",0.50,0.50
"Biomes O' Plenty","biomesoplenty:black_sandstone",0.80,0.80
"Biomes O' Plenty","biomesoplenty:black_sandstone_slab",0.80,0.80
"Biomes O' Plenty","biomesoplenty:black_sandstone_stairs",0.80,0.80
"Biomes O' Plenty","biomesoplenty:black_sandstone_wall",0.80,0.80
"Biomes O' Plenty","biomesoplenty:blackstone_bulb",0.20,0.20
"Biomes O' Plenty","biomesoplenty:blackstone_spines",0.20,0.20
"Biomes O' Plenty","biomesoplenty:blood",100.00,100.00
"Biomes O' Plenty","biomesoplenty:blue_hydrangea",0.00,0.00
"Biomes O' Plenty","biomesoplenty:bramble",0.40,0.40
"Biomes O' Plenty","biomesoplenty:brimstone",0.50,0.50
"Biomes O' Plenty","biomesoplenty:brimstone_bud",0.20,0.20
"Biomes O' Plenty","biomesoplenty:brimstone_cluster",0.20,0.20
"Biomes O' Plenty","biomesoplenty:brimstone_fumarole",0.50,0.50
"Biomes O' Plenty","biomesoplenty:burning_blossom",0.00,0.00
"Biomes O' Plenty","biomesoplenty:bush",0.00,0.00
"Biomes O' Plenty","biomesoplenty:cattail",0.00,0.00
"Biomes O' Plenty","biomesoplenty:cherry_button",0.50,0.50
"Biomes O' Plenty","biomesoplenty:cherry_door",3.00,3.00
"Biomes O' Plenty","biomesoplenty:cherry_fence",2.00,3.00
"Biomes O' Plenty","biomesoplenty:cherry_fence_gate",2.00,3.00
"Biomes O' Plenty","biomesoplenty:cherry_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:cherry_planks",2.00,3.00
"Biomes O' Plenty","biomesoplenty:cherry_pressure_plate",0.50,0.50
"Biomes O' Plenty","biomesoplenty:cherry_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:cherry_slab",2.00,3.00
"Biomes O' Plenty","biomesoplenty:cherry_stairs",2.00,3.00
"Biomes O' Plenty","biomesoplenty:cherry_trapdoor",3.00,3.00
"Biomes O' Plenty","biomesoplenty:cherry_wall_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:cherry_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:chiseled_black_sandstone",0.80,0.80
"Biomes O' Plenty","biomesoplenty:chiseled_orange_sandstone",0.80,0.80
"Biomes O' Plenty","biomesoplenty:chiseled_white_sandstone",0.80,0.80
"Biomes O' Plenty","biomesoplenty:clover",0.00,0.00
"Biomes O' Plenty","biomesoplenty:cut_black_sandstone",0.80,0.80
"Biomes O' Plenty","biomesoplenty:cut_black_sandstone_slab",0.80,0.80
"Biomes O' Plenty","biomesoplenty:cut_orange_sandstone",0.80,0.80
"Biomes O' Plenty","biomesoplenty:cut_orange_sandstone_slab",0.80,0.80
"Biomes O' Plenty","biomesoplenty:cut_white_sandstone",0.80,0.80
"Biomes O' Plenty","biomesoplenty:cut_white_sandstone_slab",0.80,0.80
"Biomes O' Plenty","biomesoplenty:dead_branch",0.00,0.00
"Biomes O' Plenty","biomesoplenty:dead_button",0.50,0.50
"Biomes O' Plenty","biomesoplenty:dead_door",3.00,3.00
"Biomes O' Plenty","biomesoplenty:dead_fence",2.00,3.00
"Biomes O' Plenty","biomesoplenty:dead_fence_gate",2.00,3.00
"Biomes O' Plenty","biomesoplenty:dead_grass",0.00,0.00
"Biomes O' Plenty","biomesoplenty:dead_leaves",0.20,0.20
"Biomes O' Plenty","biomesoplenty:dead_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:dead_planks",2.00,3.00
"Biomes O' Plenty","biomesoplenty:dead_pressure_plate",0.50,0.50
"Biomes O' Plenty","biomesoplenty:dead_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:dead_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:dead_slab",2.00,3.00
"Biomes O' Plenty","biomesoplenty:dead_stairs",2.00,3.00
"Biomes O' Plenty","biomesoplenty:dead_trapdoor",3.00,3.00
"Biomes O' Plenty","biomesoplenty:dead_wall_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:dead_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:desert_grass",0.00,0.00
"Biomes O' Plenty","biomesoplenty:dried_salt",1.00,1.00
"Biomes O' Plenty","biomesoplenty:dune_grass",0.00,0.00
"Biomes O' Plenty","biomesoplenty:eyebulb",0.20,0.20
"Biomes O' Plenty","biomesoplenty:fir_button",0.50,0.50
"Biomes O' Plenty","biomesoplenty:fir_door",3.00,3.00
"Biomes O' Plenty","biomesoplenty:fir_fence",2.00,3.00
"Biomes O' Plenty","biomesoplenty:fir_fence_gate",2.00,3.00
"Biomes O' Plenty","biomesoplenty:fir_leaves",0.20,0.20
"Biomes O' Plenty","biomesoplenty:fir_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:fir_planks",2.00,3.00
"Biomes O' Plenty","biomesoplenty:fir_pressure_plate",0.50,0.50
"Biomes O' Plenty","biomesoplenty:fir_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:fir_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:fir_slab",2.00,3.00
"Biomes O' Plenty","biomesoplenty:fir_stairs",2.00,3.00
"Biomes O' Plenty","biomesoplenty:fir_trapdoor",3.00,3.00
"Biomes O' Plenty","biomesoplenty:fir_wall_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:fir_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:flesh",0.40,0.40
"Biomes O' Plenty","biomesoplenty:flesh_tendons",0.20,0.20
"Biomes O' Plenty","biomesoplenty:flesh_tendons_strand",0.20,0.20
"Biomes O' Plenty","biomesoplenty:flowering_oak_leaves",0.20,0.20
"Biomes O' Plenty","biomesoplenty:flowering_oak_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:glowflower",0.00,0.00
"Biomes O' Plenty","biomesoplenty:glowing_moss_block",0.10,0.10
"Biomes O' Plenty","biomesoplenty:glowing_moss_carpet",0.10,0.10
"Biomes O' Plenty","biomesoplenty:glowshroom",0.00,0.00
"Biomes O' Plenty","biomesoplenty:glowshroom_block",0.20,0.20
"Biomes O' Plenty","biomesoplenty:glowworm_silk",0.00,0.00
"Biomes O' Plenty","biomesoplenty:glowworm_silk_strand",0.00,0.00
"Biomes O' Plenty","biomesoplenty:goldenrod",0.00,0.00
"Biomes O' Plenty","biomesoplenty:hair",0.00,0.00
"Biomes O' Plenty","biomesoplenty:hanging_cobweb",0.00,0.00
"Biomes O' Plenty","biomesoplenty:hanging_cobweb_strand",0.00,0.00
"Biomes O' Plenty","biomesoplenty:hellbark_button",0.50,0.50
"Biomes O' Plenty","biomesoplenty:hellbark_door",3.00,3.00
"Biomes O' Plenty","biomesoplenty:hellbark_fence",2.00,3.00
"Biomes O' Plenty","biomesoplenty:hellbark_fence_gate",2.00,3.00
"Biomes O' Plenty","biomesoplenty:hellbark_leaves",0.20,0.20
"Biomes O' Plenty","biomesoplenty:hellbark_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:hellbark_planks",2.00,3.00
"Biomes O' Plenty","biomesoplenty:hellbark_pressure_plate",0.50,0.50
"Biomes O' Plenty","biomesoplenty:hellbark_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:hellbark_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:hellbark_slab",2.00,3.00
"Biomes O' Plenty","biomesoplenty:hellbark_stairs",2.00,3.00
"Biomes O' Plenty","biomesoplenty:hellbark_trapdoor",3.00,3.00
"Biomes O' Plenty","biomesoplenty:hellbark_wall_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:hellbark_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:huge_clover_petal",0.20,0.20
"Biomes O' Plenty","biomesoplenty:icy_iris",0.00,0.00
"Biomes O' Plenty","biomesoplenty:jacaranda_button",0.50,0.50
"Biomes O' Plenty","biomesoplenty:jacaranda_door",3.00,3.00
"Biomes O' Plenty","biomesoplenty:jacaranda_fence",2.00,3.00
"Biomes O' Plenty","biomesoplenty:jacaranda_fence_gate",2.00,3.00
"Biomes O' Plenty","biomesoplenty:jacaranda_leaves",0.20,0.20
"Biomes O' Plenty","biomesoplenty:jacaranda_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:jacaranda_planks",2.00,3.00
"Biomes O' Plenty","biomesoplenty:jacaranda_pressure_plate",0.50,0.50
"Biomes O' Plenty","biomesoplenty:jacaranda_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:jacaranda_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:jacaranda_slab",2.00,3.00
"Biomes O' Plenty","biomesoplenty:jacaranda_stairs",2.00,3.00
"Biomes O' Plenty","biomesoplenty:jacaranda_trapdoor",3.00,3.00
"Biomes O' Plenty","biomesoplenty:jacaranda_wall_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:jacaranda_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:large_rose_quartz_bud",1.50,1.50
"Biomes O' Plenty","biomesoplenty:lavender",0.00,0.00
"Biomes O' Plenty","biomesoplenty:magic_button",0.50,0.50
"Biomes O' Plenty","biomesoplenty:magic_door",3.00,3.00
"Biomes O' Plenty","biomesoplenty:magic_fence",2.00,3.00
"Biomes O' Plenty","biomesoplenty:magic_fence_gate",2.00,3.00
"Biomes O' Plenty","biomesoplenty:magic_leaves",0.20,0.20
"Biomes O' Plenty","biomesoplenty:magic_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:magic_planks",2.00,3.00
"Biomes O' Plenty","biomesoplenty:magic_pressure_plate",0.50,0.50
"Biomes O' Plenty","biomesoplenty:magic_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:magic_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:magic_slab",2.00,3.00
"Biomes O' Plenty","biomesoplenty:magic_stairs",2.00,3.00
"Biomes O' Plenty","biomesoplenty:magic_trapdoor",3.00,3.00
"Biomes O' Plenty","biomesoplenty:magic_wall_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:magic_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:mahogany_button",0.50,0.50
"Biomes O' Plenty","biomesoplenty:mahogany_door",3.00,3.00
"Biomes O' Plenty","biomesoplenty:mahogany_fence",2.00,3.00
"Biomes O' Plenty","biomesoplenty:mahogany_fence_gate",2.00,3.00
"Biomes O' Plenty","biomesoplenty:mahogany_leaves",0.20,0.20
"Biomes O' Plenty","biomesoplenty:mahogany_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:mahogany_planks",2.00,3.00
"Biomes O' Plenty","biomesoplenty:mahogany_pressure_plate",0.50,0.50
"Biomes O' Plenty","biomesoplenty:mahogany_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:mahogany_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:mahogany_slab",2.00,3.00
"Biomes O' Plenty","biomesoplenty:mahogany_stairs",2.00,3.00
"Biomes O' Plenty","biomesoplenty:mahogany_trapdoor",3.00,3.00
"Biomes O' Plenty","biomesoplenty:mahogany_wall_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:mahogany_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:maple_leaves",0.20,0.20
"Biomes O' Plenty","biomesoplenty:maple_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:medium_rose_quartz_bud",1.50,1.50
"Biomes O' Plenty","biomesoplenty:orange_autumn_leaves",0.20,0.20
"Biomes O' Plenty","biomesoplenty:orange_autumn_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:orange_cosmos",0.00,0.00
"Biomes O' Plenty","biomesoplenty:orange_sand",0.50,0.50
"Biomes O' Plenty","biomesoplenty:orange_sandstone",0.80,0.80
"Biomes O' Plenty","biomesoplenty:orange_sandstone_slab",0.80,0.80
"Biomes O' Plenty","biomesoplenty:orange_sandstone_stairs",0.80,0.80
"Biomes O' Plenty","biomesoplenty:orange_sandstone_wall",0.80,0.80
"Biomes O' Plenty","biomesoplenty:origin_grass_block",0.60,0.60
"Biomes O' Plenty","biomesoplenty:origin_leaves",0.20,0.20
"Biomes O' Plenty","biomesoplenty:origin_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:palm_button",0.50,0.50
"Biomes O' Plenty","biomesoplenty:palm_door",3.00,3.00
"Biomes O' Plenty","biomesoplenty:palm_fence",2.00,3.00
"Biomes O' Plenty","biomesoplenty:palm_fence_gate",2.00,3.00
"Biomes O' Plenty","biomesoplenty:palm_leaves",0.20,0.20
"Biomes O' Plenty","biomesoplenty:palm_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:palm_planks",2.00,3.00
"Biomes O' Plenty","biomesoplenty:palm_pressure_plate",0.50,0.50
"Biomes O' Plenty","biomesoplenty:palm_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:palm_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:palm_slab",2.00,3.00
"Biomes O' Plenty","biomesoplenty:palm_stairs",2.00,3.00
"Biomes O' Plenty","biomesoplenty:palm_trapdoor",3.00,3.00
"Biomes O' Plenty","biomesoplenty:palm_wall_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:palm_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:pink_cherry_leaves",0.20,0.20
"Biomes O' Plenty","biomesoplenty:pink_cherry_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:pink_daffodil",0.00,0.00
"Biomes O' Plenty","biomesoplenty:pink_hibiscus",0.00,0.00
"Biomes O' Plenty","biomesoplenty:porous_flesh",0.40,0.40
"Biomes O' Plenty","biomesoplenty:potted_burning_blossom",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_clover",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_dead_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_fir_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_flowering_oak_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_glowflower",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_glowshroom",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_hellbark_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_jacaranda_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_lavender",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_magic_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_mahogany_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_maple_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_orange_autumn_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_orange_cosmos",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_origin_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_palm_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_pink_cherry_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_pink_daffodil",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_pink_hibiscus",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_rainbow_birch_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_redwood_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_rose",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_sprout",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_toadstool",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_umbran_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_violet",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_white_cherry_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_wildflower",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_willow_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_wilted_lily",0.00,0.00
"Biomes O' Plenty","biomesoplenty:potted_yellow_autumn_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:pus_bubble",0.00,0.00
"Biomes O' Plenty","biomesoplenty:rainbow_birch_leaves",0.20,0.20
"Biomes O' Plenty","biomesoplenty:rainbow_birch_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:redwood_button",0.50,0.50
"Biomes O' Plenty","biomesoplenty:redwood_door",3.00,3.00
"Biomes O' Plenty","biomesoplenty:redwood_fence",2.00,3.00
"Biomes O' Plenty","biomesoplenty:redwood_fence_gate",2.00,3.00
"Biomes O' Plenty","biomesoplenty:redwood_leaves",0.20,0.20
"Biomes O' Plenty","biomesoplenty:redwood_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:redwood_planks",2.00,3.00
"Biomes O' Plenty","biomesoplenty:redwood_pressure_plate",0.50,0.50
"Biomes O' Plenty","biomesoplenty:redwood_sapling",0.00,0.00
"Biomes O' Plenty","biomesoplenty:redwood_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:redwood_slab",2.00,3.00
"Biomes O' Plenty","biomesoplenty:redwood_stairs",2.00,3.00
"Biomes O' Plenty","biomesoplenty:redwood_trapdoor",3.00,3.00
"Biomes O' Plenty","biomesoplenty:redwood_wall_sign",1.00,1.00
"Biomes O' Plenty","biomesoplenty:redwood_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:reed",0.00,0.00
"Biomes O' Plenty","biomesoplenty:rooted_sand",0.70,0.70
"Biomes O' Plenty","biomesoplenty:rose",0.00,0.00
"Biomes O' Plenty","biomesoplenty:rose_quartz_block",1.50,1.50
"Biomes O' Plenty","biomesoplenty:rose_quartz_cluster",1.50,1.50
"Biomes O' Plenty","biomesoplenty:sea_oats",0.00,0.00
"Biomes O' Plenty","biomesoplenty:small_rose_quartz_bud",1.50,1.50
"Biomes O' Plenty","biomesoplenty:smooth_black_sandstone",2.00,6.00
"Biomes O' Plenty","biomesoplenty:smooth_black_sandstone_slab",2.00,6.00
"Biomes O' Plenty","biomesoplenty:smooth_black_sandstone_stairs",2.00,0.80
"Biomes O' Plenty","biomesoplenty:smooth_orange_sandstone",2.00,6.00
"Biomes O' Plenty","biomesoplenty:smooth_orange_sandstone_slab",2.00,6.00
"Biomes O' Plenty","biomesoplenty:smooth_orange_sandstone_stairs",2.00,0.80
"Biomes O' Plenty","biomesoplenty:smooth_white_sandstone",2.00,6.00
"Biomes O' Plenty","biomesoplenty:smooth_white_sandstone_slab",2.00,6.00
"Biomes O' Plenty","biomesoplenty:smooth_white_sandstone_stairs",2.00,0.80
"Biomes O' Plenty","biomesoplenty:spanish_moss",0.00,0.00
"Biomes O' Plenty","biomesoplenty:spanish_moss_plant",0.00,0.00
"Biomes O' Plenty","biomesoplenty:spider_egg",0.10,0.10
"Biomes O' Plenty","biomesoplenty:sprout",0.00,0.00
"Biomes O' Plenty","biomesoplenty:stringy_cobweb",0.00,0.00
"Biomes O' Plenty","biomesoplenty:stripped_cherry_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_cherry_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_dead_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_dead_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_fir_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_fir_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_hellbark_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_hellbark_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_jacaranda_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_jacaranda_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_magic_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_magic_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_mahogany_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_mahogany_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_palm_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_palm_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_redwood_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_redwood_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_umbran_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_umbran_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_willow_log",2.00,2.00
"Biomes O' Plenty","biomesoplenty:stripped_willow_wood",2.00,2.00
"Biomes O' Plenty","biomesoplenty:tall_lavender",0.00,0.00
"Biomes O' Plenty","biomesoplenty:toadstool",0.00,0.00
"Biomes O' Plenty","biomesoplenty:toadstool_block",0.20,0.20
"Biomes O' Plenty","biomesoplenty:umbran_button",0.50,0.50
"Biomes O' Plenty","biomesoplenty:umbran_door",3.00,3.00
"Biomes O' Plenty","biomesoplenty:umbran_fence",2.00,3.00
