"ID","Name","Description","Parent"
"alexsmobs:alexsmobs/laviathan_spyglass","[Loch-Nether Monster!]","Observe a Laviathan through the lens of a Spyglass.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/leafcutter_ant_pupa","[Ant Farm]","Obtain a Leafcutter Ant Pupa, which can be placed on dirt to start a Leafcutter Ant colony.","alexsmobs:alexsmobs/gongylidia"
"alexsmobs:alexsmobs/lost_tentacle","[A Small Price to Pay...]","Obtain a Lost Tentacle from a battle between two titans.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/maned_wolf_apple","[Hungry For Apples?]","Feed a Maned Wolf an apple.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/mantis_shrimp_bucket","[A Fistful of Water]","Sneak and give a tamed Mantis Shrimp a bucket of water so that it can live on land indefinitely","alexsmobs:alexsmobs/tame_mantis_shrimp"
"alexsmobs:alexsmobs/maraca","[Mariachi?]","Craft a Maraca with a Rattlesnake rattle","alexsmobs:alexsmobs/rattlesnake"
"alexsmobs:alexsmobs/murmur","[Flexible Schedule]","Encounter the Murmur, which is not as it seems.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/mysterious_worm","[Destroy The Child]","Create a Mysterious Worm by putting a Crimson Mosquito Larva in a Capsid.","alexsmobs:alexsmobs/capsid"
"alexsmobs:alexsmobs/novelty_hat","[He Was Number One!]","Obtain a Novelty Hat from a Skelewag.","alexsmobs:alexsmobs/skelewag_skull"
"alexsmobs:alexsmobs/orcas_might","[Free Willy]","Be granted a blessing from a wild Orca","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/pocket_sand","[Pocket Sand!]","Craft a Pocket Of Sand. Sha-sha!","alexsmobs:alexsmobs/guster"
"alexsmobs:alexsmobs/rainbow_glass","[Rainbow Road]","Craft Rainbow Glass from Rainbow Jelly and Glass.","alexsmobs:alexsmobs/rainbow_jelly"
"alexsmobs:alexsmobs/rainbow_jelly","[Taste the Rainbow]","Obtain Rainbow Jelly from a Comb Jelly. Use a sponge if you don't like what happens...","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/rattlesnake","[No Step on Snake]","Encounter a Rattlesnake","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/rocky_chestplate","[You're too Slow!]","Craft a Rock Shell Chestplate to roll into a ball.","alexsmobs:alexsmobs/rocky_shell"
"alexsmobs:alexsmobs/rocky_roller","[KEEP ROLLIN' ROLLIN' ROLLIN']","Encounter a Rocky Roller in the dripstone caves.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/rocky_shell","[Rocks Off!]","Obtain a Rocky Shell from slaying a Rocky Roller.","alexsmobs:alexsmobs/rocky_roller"
"alexsmobs:alexsmobs/root","[Alex's Mobs]","Discover the unique creatures of the world","-"
"alexsmobs:alexsmobs/save_cachalot_whale","[Save the Whales!]","Save a beached Cachalot Whale by pushing it into the water, and then have it reward you by coughing up some Ambergris","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/sculk_boomer","[Ok Boomer]","Craft a Sculk Boomer using the souls of a few Skreechers.","alexsmobs:alexsmobs/skreecher"
"alexsmobs:alexsmobs/seagull_steal","[Mine? Mine? Mine?]","Have food stolen from your inventory by a seagull.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/shattered_dimensional_carver","[Ticket to the End of the World]","Shatter a Dimensional Carver by placing it in a Capsid. Instead of opening a portal home, it will now open a portal one million blocks in any direction.","alexsmobs:alexsmobs/dimensional_carver"
"alexsmobs:alexsmobs/skelewag","[We Just Want our Hat Back]","Encounter a Skelewag near a sunken ship.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/skelewag_skull","[Smitty WerbenJagerManJensen]","Take a sword-like skull from a Skelewag.","alexsmobs:alexsmobs/skelewag"
"alexsmobs:alexsmobs/skreecher","[Sculk Cymbal]","Encounter the Skreecher, a loud and obnoxious sculk monster.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/skunk","[Hippie Smell]","Get sprayed by a Skunk.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/sopa_de_macaco","[Uma Delicia]","Craft sopa de macaco with a banana peel","alexsmobs:alexsmobs/tame_capuchin"
"alexsmobs:alexsmobs/soul_heart","[The Soul-ly Ghost]","Obtain a soul heart from slaying a bloated Soul Vulture","alexsmobs:alexsmobs/soul_vulture"
"alexsmobs:alexsmobs/soul_vulture","[Fetch Me Their Souls!]","Encounter a Soul Vulture in the nether","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/spectre","[The Iron Curtain]","Lure a Spectre in the end with a Soul Heart. Use a lead on them to hitch a ride!","alexsmobs:alexsmobs/soul_heart"
"alexsmobs:alexsmobs/spiked_scute","[Shear the Scute]","Shear a moss-covered Alligator Snapping Turtle and obtain a Spiked Scute","alexsmobs:alexsmobs/alligator_snapping_turtle"
"alexsmobs:alexsmobs/spiked_turtle_shell","[Turtle-ology Majors Be Like]","Craft a Spiked Turtle Shell","alexsmobs:alexsmobs/spiked_scute"
"alexsmobs:alexsmobs/squid_grapple","[... for Salvation]","Craft a Grappling Squok from Lost Tentacles, a crossbow and copper ingots.","alexsmobs:alexsmobs/lost_tentacle"
"alexsmobs:alexsmobs/stink_bottle","[Gamer Skunk Bath Water]","Capture skunk spray using a glass bottle.","alexsmobs:alexsmobs/skunk"
"alexsmobs:alexsmobs/stink_ray","[I SAID DART GUN!]","Craft a Stink Ray.","alexsmobs:alexsmobs/stink_bottle"
"alexsmobs:alexsmobs/stomp_leafcutter_anthill","[Ant-Agonizer]","Stomp on a Leafcutter Anthill - beware the angry denizens within!","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/straddle_saddle","[The Family Sedan]","Craft a Straddlite Saddle. Don't forget the trim!","alexsmobs:alexsmobs/straddler"
"alexsmobs:alexsmobs/straddleboard","[Surf Wax America]","Craft a Straddleboard from some Netherite and Straddlerite.","alexsmobs:alexsmobs/straddler"
"alexsmobs:alexsmobs/straddler","[Straddle My Ol' Saddle]","Encounter a Straddler in the Basalt Deltas.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/stradpole_feed","[Like Father]","Feed a Stradpole some Mosquito Larva, in hopes of turning it into a Straddler.","alexsmobs:alexsmobs/straddler"
"alexsmobs:alexsmobs/strange_fish_finder","[The Quest for the Best]","Craft a Strange Fish Finder from slimeballs, Fish Bones and an Echolocator.","alexsmobs:alexsmobs/fish_bones"
"alexsmobs:alexsmobs/sunbird_blessing","[The Power of the Sun]","Receive a blessing from the great and noble sunbird","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/tame_bald_eagle","[Freedom Intensifies]","Tame a bald eagle with fish oil.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/tame_capuchin","[Monkey Business]","Tame a capuchin monkey with bananas","alexsmobs:alexsmobs/banana"
"alexsmobs:alexsmobs/tame_cosmaw","[Its a Fish? Its a Bug? What is it?]","Tame a Cosmaw by feeding it Cosmic Cod.","alexsmobs:alexsmobs/cosmic_cod"
"alexsmobs:alexsmobs/tame_elephant","[Stampy!]","Tame an elephant by feeding it Acacia Blossoms","alexsmobs:alexsmobs/acacia_blossom"
"alexsmobs:alexsmobs/tame_elephant_tusked","[The Biggest Land Mammal]","Tame a tusked elephant when it is a baby","alexsmobs:alexsmobs/tame_elephant"
"alexsmobs:alexsmobs/tame_flutter","[A Picky Fellow]","Tame a Flutter by giving it multiple kinds of flowers.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/tame_gorilla","[In Memoriam]","Tame a gorilla with bananas","alexsmobs:alexsmobs/banana"
"alexsmobs:alexsmobs/tame_grizzly_bear","[Arcturus!]","Tame a Grizzly Bear by feeding it honey and salmon","alexsmobs:alexsmobs/grizzly_bear"
"alexsmobs:alexsmobs/tame_mantis_shrimp","[Shrimp Friend]","Tame a Mantis Shrimp with many feedings of Tropical Fish","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/tame_tarantula_hawk","[Big Iron]","Tame a Tarantula Hawk by feeding it Spider Eyes.","alexsmobs:alexsmobs/tarantula_hawk"
"alexsmobs:alexsmobs/tame_warped_toad","[It Is Wednesday]","Tame a Warped Toad, the perfect defense against any giant bug, with some larvae","alexsmobs:alexsmobs/crimson_mosquito_larva"
"alexsmobs:alexsmobs/tarantula_hawk","[Rigged from the Start]","Encounter a Tarantula Hawk in a desert.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/tigers_blessing","[Eye of the Tiger]","Receive a Tiger's Blessing after feeding it Porkchops, Chicken or other meats.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/transmutation_table","[Reality Can Be Whatever I Want]","Craft a Transmutation Table to convert materials into almost anything.","alexsmobs:alexsmobs/farseer"
"alexsmobs:alexsmobs/transmute_1000_items","[Nonequivalent Exchange]","Transmute 1000 items using the same Transmutation Table.","alexsmobs:alexsmobs/transmutation_table"
"alexsmobs:alexsmobs/underminer","[Who Undermines the Underminer?]","Break the block an Underminer is mining, revealing a hidden ore","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/void_worm_kill","[Wormy]","Destroy the Void Worm.","alexsmobs:alexsmobs/void_worm_summon"
"alexsmobs:alexsmobs/void_worm_split","[Should've Gone for the Head]","Split a void worm in half by attacking one of its body segments. More worms, more problems!","alexsmobs:alexsmobs/void_worm_summon"
"alexsmobs:alexsmobs/void_worm_summon","[A Soul for a Soul]","Toss the Mysterious Worm into the void of the End, and prepare to meet the Void Worm.","alexsmobs:alexsmobs/mysterious_worm"
"alexsmobs:alexsmobs/warped_mosco_kill","[Destroyer of Chads]","Slay the Warped Mosco, the swole defender of the Warped Forest.","alexsmobs:alexsmobs/crimson_mosquito_sick"
"autumnity:husbandry/cure_foul_taste","[Finally, Some Good Food]","Eat something good after eating foul berries","minecraft:husbandry/plant_seed"
"autumnity:husbandry/fungivore_diet","[A Fungivore Diet]","Feed a snail every type of mushroom and fungus","minecraft:husbandry/breed_an_animal"
"autumnity:husbandry/sneaky_protection","[Sneaky Protection]","Construct a snail shell chestplate","minecraft:husbandry/breed_an_animal"
"betterdeserttemples:root","[YUNG's Better Desert Temples]","Somewhere deep in the desert...","-"
"betterdeserttemples:temple_clear","[Eternal Slumber]","Slay the Pharaoh and free the Temple from his curse","betterdeserttemples:temple_entry"
"betterdeserttemples:temple_entry","[An Ancient Tomb]","Discover a Better Desert Temple","betterdeserttemples:root"
"betterdungeons:all_dungeons","[Professional Dungeoneer]","Explore all of the Better Dungeons!","betterdungeons:root"
"betterdungeons:root","[YUNG's Better Dungeons]","Adventure awaits...","-"
"betterdungeons:skeleton_dungeon","[A Bone to Pick]","Enter a Fortress of the Undead","betterdungeons:root"
"betterdungeons:small_dungeon","[Quite the Renovation]","Find an upgraded Monster Room","betterdungeons:root"
"betterdungeons:small_nether_dungeon","[A Special Addition]","Find a Small Nether Dungeon","betterdungeons:root"
"betterdungeons:spider_dungeon","[Cobweb Entanglement]","Discover a Spider Cave","betterdungeons:root"
"betterdungeons:zombie_dungeon","[When in Rome]","Set foot in a Catacomb","betterdungeons:root"
"biomesoplenty:biomesoplenty/all_biomes","[Wanderer]","Discover every biome in Biomes O' Plenty","biomesoplenty:biomesoplenty/root"
"biomesoplenty:biomesoplenty/root","[Biomes O' Plenty]","Explore the world around you","-"
"corail_woodcutter:recipes/from_acacia_planks","corail_woodcutter:recipes/from_acacia_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_birch_planks","corail_woodcutter:recipes/from_birch_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_cherry_planks","corail_woodcutter:recipes/from_cherry_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_crimson_planks","corail_woodcutter:recipes/from_crimson_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_dark_oak_planks","corail_woodcutter:recipes/from_dark_oak_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_dead_planks","corail_woodcutter:recipes/from_dead_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_fir_planks","corail_woodcutter:recipes/from_fir_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_hellbark_planks","corail_woodcutter:recipes/from_hellbark_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_jacaranda_planks","corail_woodcutter:recipes/from_jacaranda_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_jungle_planks","corail_woodcutter:recipes/from_jungle_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_magic_planks","corail_woodcutter:recipes/from_magic_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_mahogany_planks","corail_woodcutter:recipes/from_mahogany_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_mangrove_planks","corail_woodcutter:recipes/from_mangrove_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_oak_planks","corail_woodcutter:recipes/from_oak_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_palm_planks","corail_woodcutter:recipes/from_palm_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_redwood_planks","corail_woodcutter:recipes/from_redwood_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_spruce_planks","corail_woodcutter:recipes/from_spruce_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_umbran_planks","corail_woodcutter:recipes/from_umbran_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_warped_planks","corail_woodcutter:recipes/from_warped_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/from_willow_planks","corail_woodcutter:recipes/from_willow_planks","<null>","corail_woodcutter:recipes/root"
"corail_woodcutter:recipes/root","corail_woodcutter:recipes/root","<null>","-"
"corn_delight:classic_corndog","[Classic Corn Dog]","Put ketchup on corn dog, delicious.","corn_delight:corndog"
"corn_delight:corn","[Actually Maize]","Got your first maize","corn_delight:root"
"corn_delight:corn_knowleage","[Master Corn Knowledge]","Got every foods in Corn Delight, congratulations!","corn_delight:corn"
"corn_delight:cornbread","[Classic Cornbread]","Got cornbread","corn_delight:corn"
"corn_delight:corndog","[Plain Corn Dog]","Got a corn dog","corn_delight:corn"
"corn_delight:nachos","[#nachocrime]","Got Nachos","corn_delight:tortilla"
"corn_delight:popcorn","[Popcorn]","Got some popcorns","corn_delight:corn"
"corn_delight:popcorn_party","[Popcorn Party Time]","Host a popcorn party!","corn_delight:popcorn"
"corn_delight:root","[Kernal of Knowledge]","Got some corn kernals","-"
"corn_delight:stuffing_chef","[Stuffing Chef]","Got Cornbread Stuffing and Stuffed Pumpkin","corn_delight:cornbread"
"corn_delight:taco","[Taco Town!]","Got Taco","corn_delight:tortilla"
"corn_delight:tortilla","[Tortilla]","Got Tortilla","corn_delight:corn"
"culturaldelights:pickle","[Funniest thing I've ever seen!]","Pickle a cucumber in the fermenter","farmersdelight:main/craft_knife"
"endlessbiomes:a_noble_sacrifice","[A Noble Sacrifice]","Sacrifice yourself to a ruinous altar","minecraft:end/enter_end_gateway"
"endlessbiomes:crazy_bottlefulof_nothin","[Crazy Bottleful of Nothin']","Bottle some concentrated void air","endlessbiomes:a_noble_sacrifice"
"endlessbiomes:enter_the_void","[Enter the Void]","Enter the void and escape safely with a loaded core","endlessbiomes:little_green_men"
"endlessbiomes:frick_the_portals","[F*** THE PORTALS]","Tired of switching dimensions with stupid portals? Wanted to do it your own way? Well have you considered drinking a bottle of magical air you found lying on the ground instead? Sign up now at...","endlessbiomes:crazy_bottlefulof_nothin"
"endlessbiomes:glowing_green_rocks","[Glowing Green Rocks]","Collect some riftite shards","minecraft:end/root"
"endlessbiomes:its_aliveeeeee","[It's aliveeeeee!]","Summon a sentinel","minecraft:end/enter_end_gateway"
"endlessbiomes:little_green_men","[Little Green Men]","Feed a shiftling some riftite","endlessbiomes:glowing_green_rocks"
"endlessbiomes:the_darkest_hour","[The Darkest Hour]","Fail to use a netherite hoe on some dirt, ""Look upon my hoe ye mighty and despair"" - Ozymandias","minecraft:husbandry/obtain_netherite_hoe"
"endlessbiomes:unavoidable","[Una-VOID-able]","Use a void-touched blade to strike a mob from your offhand","endlessbiomes:a_noble_sacrifice"
"endlessbiomes:volcanic_glass","[Volcanic Glass]","Shattered? Glass? Ohhh I get it!!!","endlessbiomes:a_noble_sacrifice"
"farmersdelight:main/craft_knife","[Hunt and Gather]","Craft a Knife to scavenge extra goods from plants and animals","farmersdelight:main/root"
"farmersdelight:main/eat_comfort_food","[Comforting!]","Warm bowl meals will keep you healing steadily, no matter how hungry you are!","farmersdelight:main/place_cooking_pot"
"farmersdelight:main/eat_nourishing_food","[Nourishing!]","Plated meals will prevent you from getting exhausted or hungry for a while!","farmersdelight:main/eat_comfort_food"
"farmersdelight:main/get_fd_seed","[Crops of the Wild]","Four new crops may be found in the wild, across many climates... or maybe in a chest somewhere.","farmersdelight:main/root"
"farmersdelight:main/get_ham","[Wild Butcher]","Use a Knife to extract Ham from Pigs or Hoglins","farmersdelight:main/craft_knife"
"farmersdelight:main/get_mushroom_colony","[Fungus Among Us]","Shear a fully mature Mushroom Colony. To grow them like this, you'll need a very rich soil...","farmersdelight:main/get_fd_seed"
"farmersdelight:main/get_rich_soil","[Plant Food]","Organic Compost slowly decays into Rich Soil, an upgrade for your farms!","farmersdelight:main/place_organic_compost"
"farmersdelight:main/harvest_ropelogged_tomato","[Tall-mato]","Hang some rope above a tomato crop to make it grow taller","farmersdelight:main/get_fd_seed"
"farmersdelight:main/harvest_straw","[Grasping at Straws]","Harvest grass, wheat or rice with a Knife to collect Straw","farmersdelight:main/craft_knife"
"farmersdelight:main/hit_raider_with_rotten_tomato","[Boo! Hiss!]","Throw a Rotten Tomato at one of these pesky raiders!","farmersdelight:main/harvest_ropelogged_tomato"
"farmersdelight:main/master_chef","[Master Chef]","Eat a course of every meal available!","farmersdelight:main/place_feast"
"farmersdelight:main/obtain_netherite_knife","[If You Can't Take the Heat...]","Spend a whole Netherite Ingot to upgrade your knife! Or get out of the kitchen.","farmersdelight:main/use_cutting_board"
"farmersdelight:main/place_campfire","[Bonfire Lit]","Place down a Campfire to cook some food","farmersdelight:main/root"
"farmersdelight:main/place_cooking_pot","[Dinner's Served!]","Put down a Cooking Pot and start preparing meals!","farmersdelight:main/place_campfire"
"farmersdelight:main/place_feast","[A Glorious Feast]","Some meals are big enough to be placed down and shared with friends!","farmersdelight:main/eat_nourishing_food"
"farmersdelight:main/place_organic_compost","[Advanced Composting]","Place down some Organic Compost. It composts better with sun, water and mushrooms!","farmersdelight:main/harvest_straw"
