+-----+---------------------------------------+-----------------------+-----------------------+------------------------+----------------------+-------------------------+-------------------------+
|  ID | Registry name                         | Fog Color             | Sky Color             | Water Color            | Water Fog Color      | Grass Color             | Foliage Color           |
|  12 | minecraft:old_growth_birch_forest     | 0x00C0D8FF (12638463) | 0x007AA5FF (8037887)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
|  13 | minecraft:old_growth_pine_taiga       | 0x00C0D8FF (12638463) | 0x007CA3FF (8168447)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF86B87F (  -7948161) | 0xFF68A55F (  -9919137) |
|  14 | minecraft:old_growth_spruce_taiga     | 0x00C0D8FF (12638463) | 0x007DA3FF (8233983)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
|  15 | minecraft:taiga                       | 0x00C0D8FF (12638463) | 0x007DA3FF (8233983)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
|  16 | minecraft:snowy_taiga                 | 0x00C0D8FF (12638463) | 0x00839EFF (8625919)  | 0x003D57D6 (4020182)   | 0x00050533 (329011)  | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  17 | minecraft:savanna                     | 0x00C0D8FF (12638463) | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  18 | minecraft:savanna_plateau             | 0x00C0D8FF (12638463) | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  19 | minecraft:windswept_hills             | 0x00C0D8FF (12638463) | 0x007DA2FF (8233727)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|  20 | minecraft:windswept_gravelly_hills    | 0x00C0D8FF (12638463) | 0x007DA2FF (8233727)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|  21 | minecraft:windswept_forest            | 0x00C0D8FF (12638463) | 0x007DA2FF (8233727)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|  22 | minecraft:windswept_savanna           | 0x00C0D8FF (12638463) | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  23 | minecraft:jungle                      | 0x00C0D8FF (12638463) | 0x0077A8FF (7842047)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF59C93C ( -10892996) | 0xFF30BB0B ( -13583605) |
|  24 | minecraft:sparse_jungle               | 0x00C0D8FF (12638463) | 0x0077A8FF (7842047)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF64C73F ( -10172609) | 0xFF3EB80F ( -12666865) |
|  25 | minecraft:bamboo_jungle               | 0x00C0D8FF (12638463) | 0x0077A8FF (7842047)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF59C93C ( -10892996) | 0xFF30BB0B ( -13583605) |
|  26 | minecraft:badlands                    | 0x00C0D8FF (12638463) | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x0090814D (   9470285) | 0x009E814D (  10387789) |
|  27 | minecraft:eroded_badlands             | 0x00C0D8FF (12638463) | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x0090814D (   9470285) | 0x009E814D (  10387789) |
|  28 | minecraft:wooded_badlands             | 0x00C0D8FF (12638463) | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x0090814D (   9470285) | 0x009E814D (  10387789) |
|  29 | minecraft:meadow                      | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x000E4ECF (937679)    | 0x00050533 (329011)  | 0xFF83BB6D (  -8144019) | 0xFF63A948 ( -10245816) |
|  30 | minecraft:grove                       | 0x00C0D8FF (12638463) | 0x0081A0FF (8495359)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  31 | minecraft:snowy_slopes                | 0x00C0D8FF (12638463) | 0x00829FFF (8560639)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  32 | minecraft:frozen_peaks                | 0x00C0D8FF (12638463) | 0x00859DFF (8756735)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  33 | minecraft:jagged_peaks                | 0x00C0D8FF (12638463) | 0x00859DFF (8756735)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  34 | minecraft:stony_peaks                 | 0x00C0D8FF (12638463) | 0x0076A8FF (7776511)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF9ABE4B (  -6635957) | 0xFF82AC1E (  -8213474) |
|  35 | minecraft:river                       | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  36 | minecraft:frozen_river                | 0x00C0D8FF (12638463) | 0x007FA1FF (8364543)  | 0x003938C9 (3750089)   | 0x00050533 (329011)  | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  37 | minecraft:beach                       | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|  38 | minecraft:snowy_beach                 | 0x00C0D8FF (12638463) | 0x007FA1FF (8364543)  | 0x003D57D6 (4020182)   | 0x00050533 (329011)  | 0xFF83B593 (  -8145517) | 0xFF64A278 ( -10182024) |
|  39 | minecraft:stony_shore                 | 0x00C0D8FF (12638463) | 0x007DA2FF (8233727)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|  40 | minecraft:warm_ocean                  | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x0043D5EE (4445678)   | 0x00041F33 (270131)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  41 | minecraft:lukewarm_ocean              | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x0045ADF2 (4566514)   | 0x00041633 (267827)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  42 | minecraft:deep_lukewarm_ocean         | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x0045ADF2 (4566514)   | 0x00041633 (267827)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  43 | minecraft:ocean                       | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  44 | minecraft:deep_ocean                  | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  45 | minecraft:cold_ocean                  | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x003D57D6 (4020182)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  46 | minecraft:deep_cold_ocean             | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x003D57D6 (4020182)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  47 | minecraft:frozen_ocean                | 0x00C0D8FF (12638463) | 0x007FA1FF (8364543)  | 0x003938C9 (3750089)   | 0x00050533 (329011)  | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  48 | minecraft:deep_frozen_ocean           | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x003938C9 (3750089)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  49 | minecraft:mushroom_fields             | 0x00C0D8FF (12638463) | 0x0077A8FF (7842047)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF55C93F ( -11155137) | 0xFF2BBB0F ( -13911281) |
|  50 | minecraft:dripstone_caves             | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|  51 | minecraft:lush_caves                  | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  52 | minecraft:deep_dark                   | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|  53 | minecraft:nether_wastes               | 0x00330808 (3344392)  | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  54 | minecraft:warped_forest               | 0x001A051A (1705242)  | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  55 | minecraft:crimson_forest              | 0x00330303 (3343107)  | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  56 | minecraft:soul_sand_valley            | 0x001B4745 (1787717)  | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  57 | minecraft:basalt_deltas               | 0x00685F70 (6840176)  | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  58 | minecraft:the_end                     | 0x00A080A0 (10518688) | 0x00000000 (0)        | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  59 | minecraft:end_highlands               | 0x00A080A0 (10518688) | 0x00000000 (0)        | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  60 | minecraft:end_midlands                | 0x00A080A0 (10518688) | 0x00000000 (0)        | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  61 | minecraft:small_end_islands           | 0x00A080A0 (10518688) | 0x00000000 (0)        | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  62 | minecraft:end_barrens                 | 0x00A080A0 (10518688) | 0x00000000 (0)        | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  63 | desolation:charred_forest             | 0xFFCCCCCC (-3355444) | 0xFFCCCCCC (-3355444) | 0xFF666666 (-10066330) | 0x00050533 (329011)  | 0xFF666666 ( -10066330) | 0xFF1D0F00 ( -14872832) |
|  64 | blueprint:original_source_marker      | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  65 | terrablender:deferred_placeholder     | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  66 | biomesoplenty:auroral_garden          | 0x00F0FDFD (15793661) | 0x00BDECFC (12446972) | 0x003938C9 (3750089)   | 0x00050533 (329011)  | 0x00DBFCFC (  14417148) | 0x00A5F7F7 (  10876919) |
|  67 | biomesoplenty:bamboo_grove            | 0x00C0D8FF (12638463) | 0x007AA5FF (8037887)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x0085CE71 (   8769137) | 0x0063BF66 (   6537062) |
|  68 | biomesoplenty:bayou                   | 0x00C0D8FF (12638463) | 0x0077A8FF (7842047)  | 0x0062AF84 (6467460)   | 0x000C211C (794908)  | 0x006FAA50 (   7318096) | 0x008BDB67 (   9165671) |
|  69 | biomesoplenty:bog                     | 0x00C0D8FF (12638463) | 0x007DA2FF (8233727)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00A89557 (  11048279) | 0x00C67F5B (  13008731) |
|  70 | biomesoplenty:cherry_blossom_grove    | 0x00C0D8FF (12638463) | 0x007AA5FF (8037887)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x0085CE71 (   8769137) | 0x0063BF66 (   6537062) |
|  71 | biomesoplenty:clover_patch            | 0x00C0D8FF (12638463) | 0x007AA5FF (8037887)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x0088C57F (   8963455) | 0x006AB66F (   6993519) |
|  72 | biomesoplenty:cold_desert             | 0x00C0D8FF (12638463) | 0x007DA3FF (8233983)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00AD9364 (  11375460) | 0x00B5A76C (  11904876) |
|  73 | biomesoplenty:coniferous_forest       | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8DB974 (  -7489164) | 0xFF71A652 (  -9329070) |
|  74 | biomesoplenty:crag                    | 0x00C0D8FF (12638463) | 0x007AA5FF (8037887)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
|  75 | biomesoplenty:dead_forest             | 0x00C0D8FF (12638463) | 0x007DA2FF (8233727)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00BAAD64 (  12234084) | 0x00B7B763 (  12040035) |
|  76 | biomesoplenty:dryland                 | 0x00C0D8FF (12638463) | 0x009E9DFF (10395135) | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00E5DFA9 (  15065001) | 0x00DAE0B3 (  14344371) |
|  77 | biomesoplenty:dune_beach              | 0x00C0D8FF (12638463) | 0x0079A6FF (7972607)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF92BB62 (  -7160990) | 0xFF78A93A (  -8869574) |
|  78 | biomesoplenty:field                   | 0x00C0D8FF (12638463) | 0x007CA4FF (8168703)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x0063B26D (   6533741) | 0x0063B26D (   6533741) |
|  79 | biomesoplenty:fir_clearing            | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8DB974 (  -7489164) | 0xFF71A652 (  -9329070) |
|  80 | biomesoplenty:floodplain              | 0x00C0D8FF (12638463) | 0x0075AAFF (7711487)  | 0x003FAABE (4172478)   | 0x00041A2C (268844)  | 0x007FD43D (   8377405) | 0x005BCD25 (   6016293) |
|  81 | biomesoplenty:forested_field          | 0x00C0D8FF (12638463) | 0x007CA4FF (8168703)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x0063B26D (   6533741) | 0x0063B26D (   6533741) |
|  82 | biomesoplenty:fungal_jungle           | 0x00E1ED63 (14806371) | 0x0062DCEA (6479082)  | 0x003FDF64 (4185956)   | 0x00042F18 (274200)  | 0x00CCE525 (  13428005) | 0x00E0E522 (  14738722) |
|  83 | biomesoplenty:grassland               | 0x00C0D8FF (12638463) | 0x007AA5FF (8037887)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x0088C57F (   8963455) | 0x006AB66F (   6993519) |
|  84 | biomesoplenty:highland                | 0x00C0D8FF (12638463) | 0x007AA5FF (8037887)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
|  85 | biomesoplenty:highland_moor           | 0x00C0D8FF (12638463) | 0x007AA5FF (8037887)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x0071AA70 (   7449200) | 0x0078C46D (   7914605) |
|  86 | biomesoplenty:jade_cliffs             | 0x00BBD1D5 (12308949) | 0x00B7CCAD (12045485) | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x007CA568 (   8168808) | 0x008BB76E (   9156462) |
|  87 | biomesoplenty:lavender_field          | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00A1C36D (  10601325) | 0x00A1C36D (  10601325) |
|  88 | biomesoplenty:lavender_forest         | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00A1C36D (  10601325) | 0x00A1C36D (  10601325) |
|  89 | biomesoplenty:lush_desert             | 0x00C0D8FF (12638463) | 0x0077A8FF (7842047)  | 0x0045ADF2 (4566514)   | 0x00041633 (267827)  | 0x00EFE182 (  15720834) | 0x00D3D156 (  13881686) |
|  90 | biomesoplenty:lush_savanna            | 0x00C0D8FF (12638463) | 0x0077A8FF (7842047)  | 0x0045ADF2 (4566514)   | 0x00041633 (267827)  | 0x00EFE182 (  15720834) | 0x00D3D156 (  13881686) |
|  91 | biomesoplenty:maple_woods             | 0x00C0D8FF (12638463) | 0x007DA3FF (8233983)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8AB685 (  -7686523) | 0xFF6DA366 (  -9591962) |
|  92 | biomesoplenty:marsh                   | 0x00C0D8FF (12638463) | 0x0079A6FF (7972607)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF81BD61 (  -8274591) | 0xFF62AC39 ( -10310599) |
|  93 | biomesoplenty:mediterranean_forest    | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x0045ADF2 (4566514)   | 0x00041633 (267827)  | 0xFF9CBB5C (  -6505636) | 0xFF83A933 (  -8148685) |
|  94 | biomesoplenty:muskeg                  | 0x00C0D8FF (12638463) | 0x007FA1FF (8364543)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x0094966E (   9737838) | 0x008D9B6B (   9280363) |
|  95 | biomesoplenty:mystic_grove            | 0x00FFC9DA (16763354) | 0x00AAEFFF (11202559) | 0x009C3FE4 (10239972)  | 0x002E0533 (3015987) | 0x0069CFDB (   6934491) | 0x0070E0B5 (   7397557) |
|  96 | biomesoplenty:old_growth_dead_forest  | 0x00C0D8FF (12638463) | 0x007CA3FF (8168447)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00BAAD64 (  12234084) | 0x00B7B763 (  12040035) |
|  97 | biomesoplenty:old_growth_woodland     | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x009CC439 (  10273849) | 0x0085B408 (   8762376) |
|  98 | biomesoplenty:ominous_woods           | 0x007881A5 (7897509)  | 0x0084A1CC (8692172)  | 0x00312346 (3220294)   | 0x000A030C (656140)  | 0x004C4A70 (   4999792) | 0x006B487C (   7030908) |
|  99 | biomesoplenty:orchard                 | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00A9DB69 (  11131753) | 0x00C9F75D (  13236061) |
| 100 | biomesoplenty:origin_valley           | 0x00B0CFFF (11587583) | 0x008CBDFF (9223679)  | 0x000E31FF (930303)    | 0x00070059 (458841)  | 0x009AFF5F (  10157919) | 0x003AFF00 (   3866368) |
| 101 | biomesoplenty:pasture                 | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00E4EA77 (  15002231) | 0x00C7E672 (  13100658) |
| 102 | biomesoplenty:prairie                 | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00E4EA77 (  15002231) | 0x00C7E672 (  13100658) |
| 103 | biomesoplenty:pumpkin_patch           | 0x00C0D8FF (12638463) | 0x007CA4FF (8168703)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00DDBF4A (  14532426) | 0x00CED14A (  13553994) |
| 104 | biomesoplenty:rainforest              | 0x00C0D8FF (12638463) | 0x0075AAFF (7711487)  | 0x003FDF99 (4186009)   | 0x00042F26 (274214)  | 0x00A7E140 (  11002176) | 0x0088E140 (   8970560) |
| 105 | biomesoplenty:redwood_forest          | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00B5D55C (  11916636) | 0x008EBF42 (   9355074) |
| 106 | biomesoplenty:rocky_rainforest        | 0x00C0D8FF (12638463) | 0x0075AAFF (7711487)  | 0x003FDF99 (4186009)   | 0x00042F26 (274214)  | 0x00A7E140 (  11002176) | 0x0088E140 (   8970560) |
| 107 | biomesoplenty:rocky_shrubland         | 0x00C0D8FF (12638463) | 0x007AA5FF (8037887)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFA4B76E (  -5982354) | 0xFF8CA44A (  -7560118) |
| 108 | biomesoplenty:scrubland               | 0x00C0D8FF (12638463) | 0x0076A9FF (7776767)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFACBB50 (  -5457072) | 0xFF98A924 (  -6772444) |
| 109 | biomesoplenty:seasonal_forest         | 0x00C0D8FF (12638463) | 0x007CA4FF (8168703)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00DD9A4A (  14522954) | 0x00D1B24A (  13742666) |
| 110 | biomesoplenty:seasonal_orchard        | 0x00C0D8FF (12638463) | 0x007CA4FF (8168703)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00DDAB4A (  14527306) | 0x00D1C24A (  13746762) |
| 111 | biomesoplenty:shrubland               | 0x00C0D8FF (12638463) | 0x007AA5FF (8037887)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFA4B76E (  -5982354) | 0xFF8CA44A (  -7560118) |
| 112 | biomesoplenty:snowy_coniferous_forest | 0x00C0D8FF (12638463) | 0x00819FFF (8495103)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
| 113 | biomesoplenty:snowy_fir_clearing      | 0x00C0D8FF (12638463) | 0x00819FFF (8495103)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
| 114 | biomesoplenty:snowy_maple_woods       | 0x00C0D8FF (12638463) | 0x00819FFF (8495103)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
| 115 | biomesoplenty:tropics                 | 0x00B2EDFF (11726335) | 0x0066BCFF (6733055)  | 0x0043D5EE (4445678)   | 0x00041F33 (270131)  | 0xFF4ECB39 ( -11613383) | 0xFF23BD07 ( -14435065) |
| 116 | biomesoplenty:tundra                  | 0x00C0D8FF (12638463) | 0x007DA2FF (8233727)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00C08359 (  12616537) | 0x00C5975C (  12949340) |
| 117 | biomesoplenty:volcanic_plains         | 0x00C0D8FF (12638463) | 0x0077A8FF (7842047)  | 0x0045ADF2 (4566514)   | 0x00041633 (267827)  | 0x004A703B (   4878395) | 0x00547D42 (   5537090) |
| 118 | biomesoplenty:volcano                 | 0x007F7F7F (8355711)  | 0x0077A8FF (7842047)  | 0x0045ADF2 (4566514)   | 0x00041633 (267827)  | 0x004A703B (   4878395) | 0x00547D42 (   5537090) |
